,Extract,Question,Mark Scheme
680,"Vietnam's exports of fruit and vegetables to exceed US$4 billion
The value of Vietnam's fruit and vegetable exports reached US$1.3 billion in the first four months of 2018, a year-on-year increase of 30%, according to the Vietnam Ministry of Agriculture. With a high export growth rate in the past four years, the sector is expected to exceed the export target of US$4 billion set for 2018.
A government spokesperson stated that because world trade in fruit and vegetables is worth US$230 billion a year, with an annual growth rate of 3% to 5%, there is more scope for Vietnam to increase its fruit and vegetable exports. The spokesperson said that Vietnam must use more land to grow crops to export and build additional modern food processing facilities to take advantage of these opportunities.The increase in the export of fruit and vegetables will add to Vietnam's current account balance. Fig. 1.1 below shows the balance of the current account of the balance of payments for Vietnam from Q1 2016 to Q2 2018.

Fig. 1.1 Vietnam's current account balance, Q1 2016 to Q2 2018 (US$ million)
Source: tradingeconomics.com, accessed October 2019
Despite its impressive results in exporting fruit and vegetables, Vietnam faces possible risks because it relies very heavily on China, its biggest fruit and vegetable importer. China accounted for 77% of Vietnam's exports of fruit and vegetables in the first four months of 2018 while the United States, its second biggest importer, accounted for just 2.8% and Japan, its third biggest importer, accounted for 2.7%. Some analysts believe that Vietnam's agricultural sector in general, and fruit and vegetable producers in particular, should explore other potential countries for their exports.
According to the Vietnam Fruit and Vegetable Association, fruit and vegetable exporters face additional costs in complying with administrative burdens on trade, such as strict hygiene and food safety regulations. Vietnam's producers need to ensure that product quality is as high as possible and production costs as low as possible if they are to succeed.
Source: adapted from Vietnam News, 7 May 2018





",Describe the overall trend in Vietnam's current account balance between Q1 2017 and Q2 2018. [1] ,"a.i
Describe the overall trend in Vietnam's current account balance between Q1 2017 and Q2 2018. A deficit at the beginning of the period, followed by surpluses OR Generally increasing/improving balance over the period (one exception) (1 mark)
1


"
681,"Vietnam's exports of fruit and vegetables to exceed US$4 billion
The value of Vietnam's fruit and vegetable exports reached US$1.3 billion in the first four months of 2018, a year-on-year increase of 30%, according to the Vietnam Ministry of Agriculture. With a high export growth rate in the past four years, the sector is expected to exceed the export target of US$4 billion set for 2018.
A government spokesperson stated that because world trade in fruit and vegetables is worth US$230 billion a year, with an annual growth rate of 3% to 5%, there is more scope for Vietnam to increase its fruit and vegetable exports. The spokesperson said that Vietnam must use more land to grow crops to export and build additional modern food processing facilities to take advantage of these opportunities.The increase in the export of fruit and vegetables will add to Vietnam's current account balance. Fig. 1.1 below shows the balance of the current account of the balance of payments for Vietnam from Q1 2016 to Q2 2018.

Fig. 1.1 Vietnam's current account balance, Q1 2016 to Q2 2018 (US$ million)
Source: tradingeconomics.com, accessed October 2019
Despite its impressive results in exporting fruit and vegetables, Vietnam faces possible risks because it relies very heavily on China, its biggest fruit and vegetable importer. China accounted for 77% of Vietnam's exports of fruit and vegetables in the first four months of 2018 while the United States, its second biggest importer, accounted for just 2.8% and Japan, its third biggest importer, accounted for 2.7%. Some analysts believe that Vietnam's agricultural sector in general, and fruit and vegetable producers in particular, should explore other potential countries for their exports.
According to the Vietnam Fruit and Vegetable Association, fruit and vegetable exporters face additional costs in complying with administrative burdens on trade, such as strict hygiene and food safety regulations. Vietnam's producers need to ensure that product quality is as high as possible and production costs as low as possible if they are to succeed.
Source: adapted from Vietnam News, 7 May 2018





",Calculate the value of Vietnam's exports of fruit and vegetables to China in the first four months of 2018. [1],"a.ii
Calculate the value of Vietnam’s exports of fruit and vegetables to China in the first four months of 2018. US$1 billion (US$1.001 billion) (1 mark)
1
(Line one gives the total as US$1.3bn and the fourth paragraph says that China accounts for 77% of this.) Candidates do need to refer to billion, but not necessarily to US$

"
682,"Vietnam's exports of fruit and vegetables to exceed US$4 billion
The value of Vietnam's fruit and vegetable exports reached US$1.3 billion in the first four months of 2018, a year-on-year increase of 30%, according to the Vietnam Ministry of Agriculture. With a high export growth rate in the past four years, the sector is expected to exceed the export target of US$4 billion set for 2018.
A government spokesperson stated that because world trade in fruit and vegetables is worth US$230 billion a year, with an annual growth rate of 3% to 5%, there is more scope for Vietnam to increase its fruit and vegetable exports. The spokesperson said that Vietnam must use more land to grow crops to export and build additional modern food processing facilities to take advantage of these opportunities.The increase in the export of fruit and vegetables will add to Vietnam's current account balance. Fig. 1.1 below shows the balance of the current account of the balance of payments for Vietnam from Q1 2016 to Q2 2018.

Fig. 1.1 Vietnam's current account balance, Q1 2016 to Q2 2018 (US$ million)
Source: tradingeconomics.com, accessed October 2019
Despite its impressive results in exporting fruit and vegetables, Vietnam faces possible risks because it relies very heavily on China, its biggest fruit and vegetable importer. China accounted for 77% of Vietnam's exports of fruit and vegetables in the first four months of 2018 while the United States, its second biggest importer, accounted for just 2.8% and Japan, its third biggest importer, accounted for 2.7%. Some analysts believe that Vietnam's agricultural sector in general, and fruit and vegetable producers in particular, should explore other potential countries for their exports.
According to the Vietnam Fruit and Vegetable Association, fruit and vegetable exporters face additional costs in complying with administrative burdens on trade, such as strict hygiene and food safety regulations. Vietnam's producers need to ensure that product quality is as high as possible and production costs as low as possible if they are to succeed.
Source: adapted from Vietnam News, 7 May 2018





",Explain one possible demand factor and one possible supply factor that could have caused the increase in Vietnam's export sales of fruit and vegetables. [4],"b
Explain one possible demand factor and one possible supply factor that could have caused the increase in Vietnam’s export sales of fruit and vegetables. For an explanation of one possible demand reason    (Up to 2 marks) (1 mark for identification, 1 mark for further development) For an explanation of a one possible supply reason    (Up to 2 marks)(1 mark for identification, 1 mark for further development)
4
Demand factors could include: • increase in income • more effective advertising • population growth • tastes have changed in favour of the products, e.g. healthy living Supply factors could include: • use of more land • more favourable weather conditions • reduction in costs of production • improved technology

"
683,"Vietnam's exports of fruit and vegetables to exceed US$4 billion
The value of Vietnam's fruit and vegetable exports reached US$1.3 billion in the first four months of 2018, a year-on-year increase of 30%, according to the Vietnam Ministry of Agriculture. With a high export growth rate in the past four years, the sector is expected to exceed the export target of US$4 billion set for 2018.
A government spokesperson stated that because world trade in fruit and vegetables is worth US$230 billion a year, with an annual growth rate of 3% to 5%, there is more scope for Vietnam to increase its fruit and vegetable exports. The spokesperson said that Vietnam must use more land to grow crops to export and build additional modern food processing facilities to take advantage of these opportunities.The increase in the export of fruit and vegetables will add to Vietnam's current account balance. Fig. 1.1 below shows the balance of the current account of the balance of payments for Vietnam from Q1 2016 to Q2 2018.

Fig. 1.1 Vietnam's current account balance, Q1 2016 to Q2 2018 (US$ million)
Source: tradingeconomics.com, accessed October 2019
Despite its impressive results in exporting fruit and vegetables, Vietnam faces possible risks because it relies very heavily on China, its biggest fruit and vegetable importer. China accounted for 77% of Vietnam's exports of fruit and vegetables in the first four months of 2018 while the United States, its second biggest importer, accounted for just 2.8% and Japan, its third biggest importer, accounted for 2.7%. Some analysts believe that Vietnam's agricultural sector in general, and fruit and vegetable producers in particular, should explore other potential countries for their exports.
According to the Vietnam Fruit and Vegetable Association, fruit and vegetable exporters face additional costs in complying with administrative burdens on trade, such as strict hygiene and food safety regulations. Vietnam's producers need to ensure that product quality is as high as possible and production costs as low as possible if they are to succeed.
Source: adapted from Vietnam News, 7 May 2018





",Explain how complying with administrative burdens on trade will affect Vietnam's supply of fruit and vegetables for export. [2],"c
Explain how complying with administrative burdens on trade will affect Vietnam's supply of fruit and vegetables for export. Higher costs of production will shift supply to the left and decrease the amount available to export.         (Up to 2 marks)
2
Possible effects could include: • fruit and vegetable exporters could face additional costs in satisfying administrative burdens on trade • these could include strict hygiene and food safety regulations • this could bring about an increase in the price of the products • regulations could, however, lead to a higher quality of products being supplied

"
684,"Vietnam's exports of fruit and vegetables to exceed US$4 billion
The value of Vietnam's fruit and vegetable exports reached US$1.3 billion in the first four months of 2018, a year-on-year increase of 30%, according to the Vietnam Ministry of Agriculture. With a high export growth rate in the past four years, the sector is expected to exceed the export target of US$4 billion set for 2018.
A government spokesperson stated that because world trade in fruit and vegetables is worth US$230 billion a year, with an annual growth rate of 3% to 5%, there is more scope for Vietnam to increase its fruit and vegetable exports. The spokesperson said that Vietnam must use more land to grow crops to export and build additional modern food processing facilities to take advantage of these opportunities.The increase in the export of fruit and vegetables will add to Vietnam's current account balance. Fig. 1.1 below shows the balance of the current account of the balance of payments for Vietnam from Q1 2016 to Q2 2018.

Fig. 1.1 Vietnam's current account balance, Q1 2016 to Q2 2018 (US$ million)
Source: tradingeconomics.com, accessed October 2019
Despite its impressive results in exporting fruit and vegetables, Vietnam faces possible risks because it relies very heavily on China, its biggest fruit and vegetable importer. China accounted for 77% of Vietnam's exports of fruit and vegetables in the first four months of 2018 while the United States, its second biggest importer, accounted for just 2.8% and Japan, its third biggest importer, accounted for 2.7%. Some analysts believe that Vietnam's agricultural sector in general, and fruit and vegetable producers in particular, should explore other potential countries for their exports.
According to the Vietnam Fruit and Vegetable Association, fruit and vegetable exporters face additional costs in complying with administrative burdens on trade, such as strict hygiene and food safety regulations. Vietnam's producers need to ensure that product quality is as high as possible and production costs as low as possible if they are to succeed.
Source: adapted from Vietnam News, 7 May 2018





",Discuss whether the risks of Vietnam relying very heavily on the Chinese market for the export of its fruit and vegetables are greater than the potential benefits. [6],"d
Discuss whether the risks of Vietnam relying very heavily on the  Chinese market for the export of its fruit and vegetables are greater  than the potential benefits. For an explanation of the potential risks. (Up to 3 marks) For an explanation of the potential benefits. (Up to 3 marks)                              Reserve 1 mark for a conclusion
6
Potential risks of the Chinese market: • high proportion of trade in fruit and vegetables with China may mean that Vietnam is neglecting other potential trading contacts • very large gap from China (77%) to second country (US with 2.84%) and third country (Japan with 2.70%) • external shocks, or changes in the Chinese economy, such as a recession, would have a large impact on Vietnam's fruit and vegetables industry Potential benefits of the Chinese market: • with 77% of the trade in fruit and vegetables with China, close trading contacts would have been established • security of trade in fruit and vegetables resulting from these trading contacts • with established customers, discounts could be negotiated to secure future trade

"
685,"Vietnam's exports of fruit and vegetables to exceed US$4 billion
The value of Vietnam's fruit and vegetable exports reached US$1.3 billion in the first four months of 2018, a year-on-year increase of 30%, according to the Vietnam Ministry of Agriculture. With a high export growth rate in the past four years, the sector is expected to exceed the export target of US$4 billion set for 2018.
A government spokesperson stated that because world trade in fruit and vegetables is worth US$230 billion a year, with an annual growth rate of 3% to 5%, there is more scope for Vietnam to increase its fruit and vegetable exports. The spokesperson said that Vietnam must use more land to grow crops to export and build additional modern food processing facilities to take advantage of these opportunities.The increase in the export of fruit and vegetables will add to Vietnam's current account balance. Fig. 1.1 below shows the balance of the current account of the balance of payments for Vietnam from Q1 2016 to Q2 2018.

Fig. 1.1 Vietnam's current account balance, Q1 2016 to Q2 2018 (US$ million)
Source: tradingeconomics.com, accessed October 2019
Despite its impressive results in exporting fruit and vegetables, Vietnam faces possible risks because it relies very heavily on China, its biggest fruit and vegetable importer. China accounted for 77% of Vietnam's exports of fruit and vegetables in the first four months of 2018 while the United States, its second biggest importer, accounted for just 2.8% and Japan, its third biggest importer, accounted for 2.7%. Some analysts believe that Vietnam's agricultural sector in general, and fruit and vegetable producers in particular, should explore other potential countries for their exports.
According to the Vietnam Fruit and Vegetable Association, fruit and vegetable exporters face additional costs in complying with administrative burdens on trade, such as strict hygiene and food safety regulations. Vietnam's producers need to ensure that product quality is as high as possible and production costs as low as possible if they are to succeed.
Source: adapted from Vietnam News, 7 May 2018





","Using aggregate demand and aggregate supply analysis, discuss the possible impact on Vietnam's economy of a sustained increase in its net exports. [6]","e
Using aggregate demand and aggregate supply analysis, discuss the possible impact on Vietnam's economy of a sustained increase in its net exports. For an explanation of the potential advantages of a sustained increase in net exports using AD/AS analysis. (Up to 3 marks) For an explanation of the potential disadvantages of a sustained increase in net exports using AD/AS analysis. (Up to 3 marks)                             Reserve 1 mark for a conclusion
6
Potential advantages: • increase in exports would contribute positively to Vietnam's current account balance • increase in aggregate demand • increase in incomes and employment Potential disadvantages: • increase in exports could mean less is available for the domestic market • could impact on the rate of domestic inflation


"
686,"Luxembourg's answer to resource misallocation in the transport market
Congestion is unfortunately a very familiar feature of most road transport networks. It occurs when there is too much traffic relative to road capacity or more simply, when demand exceeds supply. Congestion means longer journey times and wasted fuel, which adversely affects car drivers and bus passengers. Roads are scarce resources, but usually there is no price for using them. This represents a misallocation of resources.
Fig. 1.1 shows the changes in passenger journeys by public transport in Great Britain (GB) since 1997/98. The government has tried various policies to encourage more use of bus transport in the capital city, London, as well as in the rest of GB. These policies include privatisation along with increased bus subsidies and higher taxes on car users. All have failed to improve the allocation of resources and the cost of all travel continues to rise at a faster rate than the cost of living (See Fig. 1.2). The price of using cars has risen by less than other forms of transport since 2010 and some experts have suggested that a minimum price for fuel should be introduced.

It is therefore interesting to see what Luxembourg, a relatively small European country, plans to do about its transport problems. From March 2020, the Luxembourg government has decided that all prices for public transport use (including buses and trains) will be removed, making travel by public transport free to consumers. The cost to its government is forecast to be almost US$1 billion per year.
Luxembourg's radical policy is one that should be given serious consideration in Great Britain and in other countries that face similar resource misallocation in their transport markets.
Source: Transport Statistics for Great Britain, 2018





",Use the information in Fig. 1.1 to describe the changes in the number of journeys by bus in Great Britain from 1997/98 to 2017/18. [2],"a.i
Use the information in Fig.1.1 to describe the changes in the number of journeys by bus in Great Britain from 1997/98 to 2017/18. Various possibilities including: • Bus passenger journeys outside London have fallen over the period/from c 3.2 bn to c 2.7bn • Bus passenger journeys in London increased up to 2013/14 but have then fallen slightly/overall have increased/from c 1.3 bn to c2.3 bn • Overall bus passenger journeys have increased (1 mark for any of these)
2
The data clearly shows that overall during the period bus passenger journeys outside of London have fallen BUT within London, over the same period bus passenger journeys have increased. Within London, passenger journeys increased up to 2013/14 but declined thereafter.

"
687,"Luxembourg's answer to resource misallocation in the transport market
Congestion is unfortunately a very familiar feature of most road transport networks. It occurs when there is too much traffic relative to road capacity or more simply, when demand exceeds supply. Congestion means longer journey times and wasted fuel, which adversely affects car drivers and bus passengers. Roads are scarce resources, but usually there is no price for using them. This represents a misallocation of resources.
Fig. 1.1 shows the changes in passenger journeys by public transport in Great Britain (GB) since 1997/98. The government has tried various policies to encourage more use of bus transport in the capital city, London, as well as in the rest of GB. These policies include privatisation along with increased bus subsidies and higher taxes on car users. All have failed to improve the allocation of resources and the cost of all travel continues to rise at a faster rate than the cost of living (See Fig. 1.2). The price of using cars has risen by less than other forms of transport since 2010 and some experts have suggested that a minimum price for fuel should be introduced.

It is therefore interesting to see what Luxembourg, a relatively small European country, plans to do about its transport problems. From March 2020, the Luxembourg government has decided that all prices for public transport use (including buses and trains) will be removed, making travel by public transport free to consumers. The cost to its government is forecast to be almost US$1 billion per year.
Luxembourg's radical policy is one that should be given serious consideration in Great Britain and in other countries that face similar resource misallocation in their transport markets.
Source: Transport Statistics for Great Britain, 2018





","Using the information in Fig. 1.2, explain one of the changes you have identified. [2]","a.ii
Using the information in Fig.1.2, explain one of the changes you have identified. Various possibilities including: • Public transport fares have increased above the rate of inflation • Bus passenger fares have increased faster than rail fares for most of the period • Bus fares have increased at their largest rate of growth since 2016 • Substituting bus journeys for rail journeys Identify the factor (1 mark) and explain with reference to the selected change in 1(a)(i) (1 mark)OFR applied if candidate wrongly identifies changes for part a but then provides a valid explanation 1 +1
2
Explanations are likely to focus on price elasticity of demand/consumer preferences and/or cross elasticity of demand/degree of substitutability between bus journeys and other forms of transport.

"
688,"Luxembourg's answer to resource misallocation in the transport market
Congestion is unfortunately a very familiar feature of most road transport networks. It occurs when there is too much traffic relative to road capacity or more simply, when demand exceeds supply. Congestion means longer journey times and wasted fuel, which adversely affects car drivers and bus passengers. Roads are scarce resources, but usually there is no price for using them. This represents a misallocation of resources.
Fig. 1.1 shows the changes in passenger journeys by public transport in Great Britain (GB) since 1997/98. The government has tried various policies to encourage more use of bus transport in the capital city, London, as well as in the rest of GB. These policies include privatisation along with increased bus subsidies and higher taxes on car users. All have failed to improve the allocation of resources and the cost of all travel continues to rise at a faster rate than the cost of living (See Fig. 1.2). The price of using cars has risen by less than other forms of transport since 2010 and some experts have suggested that a minimum price for fuel should be introduced.

It is therefore interesting to see what Luxembourg, a relatively small European country, plans to do about its transport problems. From March 2020, the Luxembourg government has decided that all prices for public transport use (including buses and trains) will be removed, making travel by public transport free to consumers. The cost to its government is forecast to be almost US$1 billion per year.
Luxembourg's radical policy is one that should be given serious consideration in Great Britain and in other countries that face similar resource misallocation in their transport markets.
Source: Transport Statistics for Great Britain, 2018





",Explain how opportunity cost can be applied to the Great British government's decision to subsidise public transport. [2],"b
Explain how opportunity cost can be applied to the Great British government’s decision to subsidise public transport. A simple understanding of what opportunity cost is (1 mark) Which is applied to a valid example in context (1 mark)
2
Valid examples could include money committed to subsidising public transport may have been used for new roads, education, health services etc.

"
689,"Luxembourg's answer to resource misallocation in the transport market
Congestion is unfortunately a very familiar feature of most road transport networks. It occurs when there is too much traffic relative to road capacity or more simply, when demand exceeds supply. Congestion means longer journey times and wasted fuel, which adversely affects car drivers and bus passengers. Roads are scarce resources, but usually there is no price for using them. This represents a misallocation of resources.
Fig. 1.1 shows the changes in passenger journeys by public transport in Great Britain (GB) since 1997/98. The government has tried various policies to encourage more use of bus transport in the capital city, London, as well as in the rest of GB. These policies include privatisation along with increased bus subsidies and higher taxes on car users. All have failed to improve the allocation of resources and the cost of all travel continues to rise at a faster rate than the cost of living (See Fig. 1.2). The price of using cars has risen by less than other forms of transport since 2010 and some experts have suggested that a minimum price for fuel should be introduced.

It is therefore interesting to see what Luxembourg, a relatively small European country, plans to do about its transport problems. From March 2020, the Luxembourg government has decided that all prices for public transport use (including buses and trains) will be removed, making travel by public transport free to consumers. The cost to its government is forecast to be almost US$1 billion per year.
Luxembourg's radical policy is one that should be given serious consideration in Great Britain and in other countries that face similar resource misallocation in their transport markets.
Source: Transport Statistics for Great Britain, 2018





",Explain whether public transport in Luxembourg has become a free good as a result of all prices being removed. [2],"c
Explain whether public transport in Luxembourg has become a free good as a result of all prices being removed. Explain what is meant by a free good (1 mark)Explain why this is not a free good (1 mark)
2
Explanation must refer to factors of production being needed to provide transport services i.e. there is a cost involved which is not the case with free goods Do not reward answers that clearly confuse free goods with public goods

"
690,"Luxembourg's answer to resource misallocation in the transport market
Congestion is unfortunately a very familiar feature of most road transport networks. It occurs when there is too much traffic relative to road capacity or more simply, when demand exceeds supply. Congestion means longer journey times and wasted fuel, which adversely affects car drivers and bus passengers. Roads are scarce resources, but usually there is no price for using them. This represents a misallocation of resources.
Fig. 1.1 shows the changes in passenger journeys by public transport in Great Britain (GB) since 1997/98. The government has tried various policies to encourage more use of bus transport in the capital city, London, as well as in the rest of GB. These policies include privatisation along with increased bus subsidies and higher taxes on car users. All have failed to improve the allocation of resources and the cost of all travel continues to rise at a faster rate than the cost of living (See Fig. 1.2). The price of using cars has risen by less than other forms of transport since 2010 and some experts have suggested that a minimum price for fuel should be introduced.

It is therefore interesting to see what Luxembourg, a relatively small European country, plans to do about its transport problems. From March 2020, the Luxembourg government has decided that all prices for public transport use (including buses and trains) will be removed, making travel by public transport free to consumers. The cost to its government is forecast to be almost US$1 billion per year.
Luxembourg's radical policy is one that should be given serious consideration in Great Britain and in other countries that face similar resource misallocation in their transport markets.
Source: Transport Statistics for Great Britain, 2018





",Discuss whether a minimum price for fuel would be effective in reducing the congestion caused by the demand for roads exceeding supply. [6],"d
Discuss whether a minimum price for fuel would be effective in reducing the congestion caused by the demand for roads exceeding supply. For an analysis of the effect of introducing a minimum price in a market. (up to 3 marks) For analysis which explains why a minimum price may not be effective. (up to 3 marks) MAXIMUM of 5 marks for analysis 1 mark for a justified conclusion as to whether a minimum price would be effective in reducing congestion
6
A minimum price for fuel above the equilibrium price would increase the price for car users and in theory, lead to reduced demand and reduced congestion. However, this would only be effective if the demand for fuel was price elastic. In addition, it will lead to excess supply and the possible formation of informal markets. It also depends on the ability of the government to maintain and enforce the minimum price.

"
691,"Luxembourg's answer to resource misallocation in the transport market
Congestion is unfortunately a very familiar feature of most road transport networks. It occurs when there is too much traffic relative to road capacity or more simply, when demand exceeds supply. Congestion means longer journey times and wasted fuel, which adversely affects car drivers and bus passengers. Roads are scarce resources, but usually there is no price for using them. This represents a misallocation of resources.
Fig. 1.1 shows the changes in passenger journeys by public transport in Great Britain (GB) since 1997/98. The government has tried various policies to encourage more use of bus transport in the capital city, London, as well as in the rest of GB. These policies include privatisation along with increased bus subsidies and higher taxes on car users. All have failed to improve the allocation of resources and the cost of all travel continues to rise at a faster rate than the cost of living (See Fig. 1.2). The price of using cars has risen by less than other forms of transport since 2010 and some experts have suggested that a minimum price for fuel should be introduced.

It is therefore interesting to see what Luxembourg, a relatively small European country, plans to do about its transport problems. From March 2020, the Luxembourg government has decided that all prices for public transport use (including buses and trains) will be removed, making travel by public transport free to consumers. The cost to its government is forecast to be almost US$1 billion per year.
Luxembourg's radical policy is one that should be given serious consideration in Great Britain and in other countries that face similar resource misallocation in their transport markets.
Source: Transport Statistics for Great Britain, 2018





",Discuss whether making public transport free to consumers is the best way to allocate resources in public transport markets. [6],"e
Discuss whether making public transport free to consumers is the best way to allocate resources in public transport markets. Analysis of the benefits of free public transport  (up to 3 marks) Analysis of the benefits of any other valid policy  (up to 3 marks) MAXIMUM of 5 marks for analysis Award up to 1 mark for an evaluation of which policy is likely to be the most effective
6
Various alternative policies could be – Maximum prices for bus and rail fares – Transfer payments for bus and rail transport users – Subsidies


"
692,"Rice farmers in Cambodia and Myanmar under pressure
Rice farmers across Cambodia and Myanmar, in Southeast Asia, have been left searching for new markets for their crop after the European Union (EU) announced that it will now be imposing substantial tariffs on rice from both countries for the next three years. An investigation has confirmed that the increase in rice imports from these countries has been damaging to EU rice producers.
Representatives of EU farmers welcomed the decision, as the cheap rice imported from Southeast Asia has been contributing to EU farmers and labourers leaving agriculture and migrating to towns. 
EU rice imports from the two Southeast Asian countries increased from 9000 tonnes in 2012 to 360000 tonnes in 2017, leading to a sharp fall in the price of rice in the EU. In 2018, approximately 30% of all EU rice imports came from countries with duty-free status, with most being shipped in from Cambodia and Myanmar. The increase in low-price imports has caused serious difficulties for EU rice producers. Their market share in the EU dropped substantially from 61% to 29%.
Rice is currently grown across eight EU countries including Italy, whose government initially requested that the EU investigate the issue in March 2018 to protect the EU rice industry.
Cambodia and Myanmar have enjoyed duty-free rice exports to the EU since 2010, when tariffs on the crop were removed as part of a policy which aims to promote EU trade in goods with the world’s 50 least-developed countries. Other more developed countries in Southeast Asia, including Thailand and Vietnam, have long been paying tariffs of around US$200 per tonne for rice exports to the EU. For both Cambodia and Myanmar, rice is a major export and the EU has become their most profitable market, so the new tariff has harmed their economies.
The EU is currently Cambodia's largest destination for rice exports, accounting for 43% of all exported rice. It is thought that Cambodia's rice industry could be put in a critical condition as a result of the EU tariffs. In order to offset the additional costs resulting from the tariffs, local rice farmers will have to cut production costs, and may need to grow different crops altogether. One suggestion is that government subsidies could make Cambodia's rice industry more competitive. 
The impact of the tariff will ultimately depend on the extent to which EU consumers consider rice produced in the EU to be a good substitute for Cambodian rice. Consumers in Europe may not mind paying a bit more for Cambodian rice.
Myanmar is in a similar situation, as the EU has become one of Myanmar's major rice markets. Myanmar reached an all-time high of 293000 tonnes of rice exported to the EU in 2017. But this could change now that there is a high barrier for entry to the EU rice market, forcing farmers to look closer to home for different buyers. Myanmar's Rice Federation stated that the EU's decision to levy tariffs on the country's rice exports had serious potential negative effects on Myanmar's economy.
Source: Robin Spiess, Southeast Asia Globe, 18 January 2019
Table 1.1 Myanmar and Cambodia: consumer prices (annual percentage change)



 
2016
2017
2018
2019*
2020*


Myanmar
6.8
4.0
7.1
6.8
7.5


Cambodia
3.0
2.9
2.5
2.5
2.5



*Projections
Table 1.2 Myanmar and Cambodia: current account balances: (% of national income)



 
2016
2017
2018
2019*
2020*


Myanmar
–4.3
–4.7
–2.0
–4.0
–5.0


Cambodia
–10.9
–10.5
–13.6
–12.7
–11.8



*Projections
Source: Asian Development Bank: Asian Development Outlook 2019

",Compare the change in the price level in Myanmar with that in Cambodia between 2016 and 2018. [2],"a
Compare the change in the price level in Myanmar with that in Cambodia between 2016 and 2018. Both price levels rose/both countries had inflation (1 mark)The price level rose by more in Myanmar / less in Cambodia / the rate of increase was increasing in Myanmar and declining in Cambodia / prices were increasing at a faster rate in Myanmar than in Cambodia/the change in the price level was more volatile in Myanmar (1 mark)
2
Do not credit answers that merely trawl through the data with no meaningful comparison If the candidate suggests that prices fell in Cambodia, 0 marks

"
693,"Rice farmers in Cambodia and Myanmar under pressure
Rice farmers across Cambodia and Myanmar, in Southeast Asia, have been left searching for new markets for their crop after the European Union (EU) announced that it will now be imposing substantial tariffs on rice from both countries for the next three years. An investigation has confirmed that the increase in rice imports from these countries has been damaging to EU rice producers.
Representatives of EU farmers welcomed the decision, as the cheap rice imported from Southeast Asia has been contributing to EU farmers and labourers leaving agriculture and migrating to towns. 
EU rice imports from the two Southeast Asian countries increased from 9000 tonnes in 2012 to 360000 tonnes in 2017, leading to a sharp fall in the price of rice in the EU. In 2018, approximately 30% of all EU rice imports came from countries with duty-free status, with most being shipped in from Cambodia and Myanmar. The increase in low-price imports has caused serious difficulties for EU rice producers. Their market share in the EU dropped substantially from 61% to 29%.
Rice is currently grown across eight EU countries including Italy, whose government initially requested that the EU investigate the issue in March 2018 to protect the EU rice industry.
Cambodia and Myanmar have enjoyed duty-free rice exports to the EU since 2010, when tariffs on the crop were removed as part of a policy which aims to promote EU trade in goods with the world’s 50 least-developed countries. Other more developed countries in Southeast Asia, including Thailand and Vietnam, have long been paying tariffs of around US$200 per tonne for rice exports to the EU. For both Cambodia and Myanmar, rice is a major export and the EU has become their most profitable market, so the new tariff has harmed their economies.
The EU is currently Cambodia's largest destination for rice exports, accounting for 43% of all exported rice. It is thought that Cambodia's rice industry could be put in a critical condition as a result of the EU tariffs. In order to offset the additional costs resulting from the tariffs, local rice farmers will have to cut production costs, and may need to grow different crops altogether. One suggestion is that government subsidies could make Cambodia's rice industry more competitive. 
The impact of the tariff will ultimately depend on the extent to which EU consumers consider rice produced in the EU to be a good substitute for Cambodian rice. Consumers in Europe may not mind paying a bit more for Cambodian rice.
Myanmar is in a similar situation, as the EU has become one of Myanmar's major rice markets. Myanmar reached an all-time high of 293000 tonnes of rice exported to the EU in 2017. But this could change now that there is a high barrier for entry to the EU rice market, forcing farmers to look closer to home for different buyers. Myanmar's Rice Federation stated that the EU's decision to levy tariffs on the country's rice exports had serious potential negative effects on Myanmar's economy.
Source: Robin Spiess, Southeast Asia Globe, 18 January 2019
Table 1.1 Myanmar and Cambodia: consumer prices (annual percentage change)



 
2016
2017
2018
2019*
2020*


Myanmar
6.8
4.0
7.1
6.8
7.5


Cambodia
3.0
2.9
2.5
2.5
2.5



*Projections
Table 1.2 Myanmar and Cambodia: current account balances: (% of national income)



 
2016
2017
2018
2019*
2020*


Myanmar
–4.3
–4.7
–2.0
–4.0
–5.0


Cambodia
–10.9
–10.5
–13.6
–12.7
–11.8



*Projections
Source: Asian Development Bank: Asian Development Outlook 2019

",Compare the current account balance of Myanmar with that of Cambodia in 2018. [2],"b
Compare the current account balance of Myanmar with that of Cambodia in 2018. Both are in deficit (1 mark) The deficit is a greater / more significant % of national income in Cambodia than in Myanmar (1 mark)
2
If the candidate states that the deficit is higher in Cambodia then this must not be credited. Do not allow a reference to the current account being negative/better/worse. For the second mark, the candidate must refer to % of national income as specified in the data i.e. Table 1.2

"
