,Question,Chapter,Sub-chapters
616,"Nuclei X and Y are different isotopes of the same element. 
Nucleus X is unstable and emits a β+ particle to form nucleus Z.
By comparing the number of protons in each nucleus, state and explain whether the charge of nucleus X is less than, the same as or greater than the charge of: 


nucleus Z.
...........................................................................................................................................
...........................................................................................................................................
..................................................................................................................................... [2]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
617,"Hadrons can be divided into two groups (classes), P and Q. Group P is baryons. 

State the name of group Q.
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
618,"Hadrons can be divided into two groups (classes), P and Q. Group P is baryons. 

Describe, in general terms, the quark structure of hadrons that belong to group Q.
...........................................................................................................................................
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
619,"Define the potential difference across a component.

...................................................................................................................................................
............................................................................................................................................. [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
620,"The variation with potential difference V of the current I in a semiconductor diode is shown in Fig. 6.1.


(DIAGRAM)

Use Fig. 6.1 to describe qualitatively:


the resistance of the diode in the range V = 0 to V = 0.25V

..................................................................................................................................... [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
621,"The variation with potential difference V of the current I in a semiconductor diode is shown in Fig. 6.1.


(DIAGRAM)

Use Fig. 6.1 to describe qualitatively:


the variation, if any, in the resistance of the diode as V changes from V = 0.75V to V = 1.0V.

..................................................................................................................................... [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
622,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Calculate the current in the resistance wire.



current = .......................................................A [1] 

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
623,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Determine the resistance of the variable resistor.






resistance = ...................................................... Ω [2]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
624,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Wire XY has a length of 2.0m. Point Z on the wire is a distance of 1.6m from point X.
The fixed resistor is connected to the variable resistor at point W.

Determine the potential difference between points W and Z.









potential difference = ...................................................... V [3]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
625,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


The resistance of the variable resistor is now increased.
By considering the currents in every part of the circuit, state and explain whether the total power produced by the battery decreases, increases or stays the same.

...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
..................................................................................................................................... [3]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
626,"A microphone and cathode-ray oscilloscope (CRO) are used to analyse a sound wave of frequency 5000 Hz. The trace that is displayed on the screen of the CRO is shown in Fig. 5.1. 

(DIAGRAM)



Determine the time-base setting, in s cm–1, of the CRO. 







time-base setting = ...............................................s cm–1 [2] ",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
627,"A microphone and cathode-ray oscilloscope (CRO) are used to analyse a sound wave of frequency 5000 Hz. The trace that is displayed on the screen of the CRO is shown in Fig. 5.1. 

(DIAGRAM)



The intensity of the sound detected by the microphone is now increased from its initial value of I to a new value of 3I. The frequency of the sound is unchanged. Assume that the amplitude of the trace on the CRO screen is proportional to the amplitude of the sound wave.
On Fig. 5.1, sketch the new trace shown on the screen of the CRO.  [3]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
628,"An arrangement for demonstrating interference using light is shown in Fig. 5.2.

(DIAGRAM)

The wavelength of the light from the laser is 630 nm. The light is incident normally on the double slit. The separation of the two slits is 3.6 × 10–4 m. The perpendicular distance between the double slit and the screen is D.
Coherent light waves from the slits form an interference pattern of bright and dark fringes on the screen. The distance between the centres of two adjacent bright fringes is 4.0 × 10–3 m. The central bright fringe is formed at point P.


Explain why a bright fringe is produced by the waves meeting at point P.
...........................................................................................................................................
..................................................................................................................................... [1]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
629,"An arrangement for demonstrating interference using light is shown in Fig. 5.2.

(DIAGRAM)

The wavelength of the light from the laser is 630 nm. The light is incident normally on the double slit. The separation of the two slits is 3.6 × 10–4 m. The perpendicular distance between the double slit and the screen is D.
Coherent light waves from the slits form an interference pattern of bright and dark fringes on the screen. The distance between the centres of two adjacent bright fringes is 4.0 × 10–3 m. The central bright fringe is formed at point P.


Calculate distance D.






D = ......................................................m [3]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
630,"The wavelength λ of the light in (b) is now varied. This causes a variation in the distance x between the centres of two adjacent bright fringes on the screen. The distance D and the separation of the two slits are unchanged.
On Fig. 5.3, sketch a graph to show the variation of x with λ from λ = 400 nm to λ = 700 nm. Numerical values of x are not required.  [1]

(DIAGRAM)
",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
631,"Two blocks slide directly towards each other along a frictionless horizontal surface, as shown in Fig. 4.1. The blocks collide and then move as shown in Fig. 4.2.

(DIAGRAM)

Block X initially moves to the right with a momentum of 0.37kgms–1. Block Y initially moves to the left with a momentum of 0.65kgms–1. After the blocks collide, block X moves to the left back along its original path with a momentum of 0.13kgms–1. Block Y also moves to the left after the collision.

Block X has an initial kinetic energy of 0.30J.
Calculate the mass of block X.









mass = ..................................................... kg [3]

",3. Dynamics,(AS) 3.3 Linear momentum and its conservation
632,"Two blocks slide directly towards each other along a frictionless horizontal surface, as shown in Fig. 4.1. The blocks collide and then move as shown in Fig. 4.2.

(DIAGRAM)

Block X initially moves to the right with a momentum of 0.37kgms–1. Block Y initially moves to the left with a momentum of 0.65kgms–1. After the blocks collide, block X moves to the left back along its original path with a momentum of 0.13kgms–1. Block Y also moves to the left after the collision.

Determine the magnitude of the momentum of block Y after the collision. 





momentum = ............................................ kgms–1 [1]

",3. Dynamics,(AS) 3.3 Linear momentum and its conservation
633,"Two blocks slide directly towards each other along a frictionless horizontal surface, as shown in Fig. 4.1. The blocks collide and then move as shown in Fig. 4.2.

(DIAGRAM)

Block X initially moves to the right with a momentum of 0.37kgms–1. Block Y initially moves to the left with a momentum of 0.65kgms–1. After the blocks collide, block X moves to the left back along its original path with a momentum of 0.13kgms–1. Block Y also moves to the left after the collision.

Block X exerts an average force of 7.7N on block Y during the collision.
Calculate the time that the blocks are in contact with each other.






time = ....................................................... s [2]",3. Dynamics,(AS) 3.3 Linear momentum and its conservation
634,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

State two conditions for an object to be in equilibrium.

1 ................................................................................................................................................
...................................................................................................................................................
2 ................................................................................................................................................
...................................................................................................................................................
[2]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
635,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

Show that the vertical component of the tension in the string is 13N. 




[1]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
636,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

By taking moments about end A, calculate the weight W of the beam.





W = ...................................................... N [2]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
637,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

Calculate the magnitude of the vertical component of the force exerted on the beam by the hinge.




force = ...................................................... N [1]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
638,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

The block is now moved closer to end A of the beam. Assume that the beam remains horizontal.
State whether this change will increase, decrease or have no effect on the horizontal component of the force exerted on the beam by the hinge.

............................................................................................................................................. [1]","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
639,"A motor uses a wire to raise a block, as illustrated in Fig. 2.1. 

(DIAGRAM)

The base of the block takes a time of 0.49s to move vertically upwards from level X to level Y at a constant speed of 0.64ms–1. During this time the wire has a strain of 0.0012. The wire is made of metal of Young modulus 2.2 × 1011Pa and has a uniform cross-section. 
The block has a weight of 1.4 × 104 N. Assume that the weight of the wire is negligible.

Calculate:

the cross-sectional area A of the wire





A = .................................................... m2 [2] ",6. Deformation of solids,"(AS) 5.2 Work and efficiency,  (AS) 5.3 Power,  (AS) 6.1 Stress and strain"
640,"A motor uses a wire to raise a block, as illustrated in Fig. 2.1. 

(DIAGRAM)

The base of the block takes a time of 0.49s to move vertically upwards from level X to level Y at a constant speed of 0.64ms–1. During this time the wire has a strain of 0.0012. The wire is made of metal of Young modulus 2.2 × 1011Pa and has a uniform cross-section. 
The block has a weight of 1.4 × 104 N. Assume that the weight of the wire is negligible.

Calculate:

the increase in the gravitational potential energy of the block for the movement of its base from X to Y. 






increase in gravitational potential energy = ....................................................... J [3]",6. Deformation of solids,"(AS) 5.2 Work and efficiency,  (AS) 5.3 Power,  (AS) 6.1 Stress and strain"
641,"A motor uses a wire to raise a block, as illustrated in Fig. 2.1. 

(DIAGRAM)

The base of the block takes a time of 0.49s to move vertically upwards from level X to level Y at a constant speed of 0.64ms–1. During this time the wire has a strain of 0.0012. The wire is made of metal of Young modulus 2.2 × 1011Pa and has a uniform cross-section. 
The block has a weight of 1.4 × 104 N. Assume that the weight of the wire is negligible.

The motor has an efficiency of 56%.
Calculate the input power to the motor as the base of the block moves from X to Y.





input power = ..................................................... W [3]",6. Deformation of solids,"(AS) 5.2 Work and efficiency,  (AS) 5.3 Power,  (AS) 6.1 Stress and strain"
642,"A motor uses a wire to raise a block, as illustrated in Fig. 2.1. 

(DIAGRAM)

The base of the block takes a time of 0.49s to move vertically upwards from level X to level Y at a constant speed of 0.64ms–1. During this time the wire has a strain of 0.0012. The wire is made of metal of Young modulus 2.2 × 1011Pa and has a uniform cross-section. 
The block has a weight of 1.4 × 104 N. Assume that the weight of the wire is negligible.

The base of the block now has a uniform deceleration of magnitude 1.3ms–2 from level Y until the base of the block stops at level Z.
Calculate the tension T in the wire as the base of the block moves from Y to Z.





T = ...................................................... N [3]",6. Deformation of solids,"(AS) 5.2 Work and efficiency,  (AS) 5.3 Power,  (AS) 6.1 Stress and strain"
643,"A motor uses a wire to raise a block, as illustrated in Fig. 2.1. 

(DIAGRAM)

The base of the block takes a time of 0.49s to move vertically upwards from level X to level Y at a constant speed of 0.64ms–1. During this time the wire has a strain of 0.0012. The wire is made of metal of Young modulus 2.2 × 1011Pa and has a uniform cross-section. 
The block has a weight of 1.4 × 104 N. Assume that the weight of the wire is negligible.

The base of the block is at levels X, Y and Z at times tX, tY and tZ respectively.
On Fig. 2.2, sketch a graph to show the variation with time t of the distance d of the base of the block from level X. Numerical values of d and t are not required.  [2]

(DIAGRAM)
",6. Deformation of solids,"(AS) 5.2 Work and efficiency,  (AS) 5.3 Power,  (AS) 6.1 Stress and strain"
644,"Underline all the SI base units in the following list.  [1] 

   ampere     coulomb     current     kelvin     newton

",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
645,"A toy car moves in a horizontal straight line. The displacement s of the car is given by the equation

(DIAGRAM)

where a is the acceleration of the car and v is its final velocity.
State two conditions that apply to the motion of the car in order for the above equation to be valid.
1 ................................................................................................................................................
2 ......................................................................................................................................... [2]

",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
646,"An experiment is performed to determine the acceleration of the car in (b). The following measurements are obtained:
          s = 3.89m ± 0.5%
          v = 2.75ms–1 ± 0.8%.

Calculate the acceleration a of the car.




a = ................................................ ms–2 [1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
647,"An experiment is performed to determine the acceleration of the car in (b). The following measurements are obtained:
          s = 3.89m ± 0.5%
          v = 2.75ms–1 ± 0.8%.

Determine the percentage uncertainty, to two significant figures, in a.




percentage uncertainty = ......................................................% [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
648,"An experiment is performed to determine the acceleration of the car in (b). The following measurements are obtained:
          s = 3.89m ± 0.5%
          v = 2.75ms–1 ± 0.8%.

Use your answers in (c)(i) and (c)(ii) to determine the absolute uncertainty in the calculated value of a.






absolute uncertainty = ................................................ ms–2 [1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
651,"State one difference between a hadron and a lepton.
...................................................................................................................................................
...............................................................................................................................................[1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
652,"

State the quark composition of a proton and of a neutron.
proton: ...............................................................................................................................
neutron: .............................................................................................................................
[2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
653,"

Use your answer in (i) to determine the quark composition of an α-particle.



quark composition: .........................................................................[1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
654,"The results of the α-particle scattering experiment provide evidence for the structure of the atom.
result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles.
result 2: A very small minority of α-particles are scattered through angles greater than 90°.
State what may be inferred from

result 1,
...........................................................................................................................................
.......................................................................................................................................[1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
655,"The results of the α-particle scattering experiment provide evidence for the structure of the atom.
result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles.
result 2: A very small minority of α-particles are scattered through angles greater than 90°.
State what may be inferred from

result 2.
...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
.......................................................................................................................................[2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
656,"Nuclei X and Y are different isotopes of the same element. 
Nucleus X is unstable and emits a β+ particle to form nucleus Z.
By comparing the number of protons in each nucleus, state and explain whether the charge of nucleus X is less than, the same as or greater than the charge of: 


nucleus Y
...........................................................................................................................................
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
657,"Nuclei X and Y are different isotopes of the same element. 
Nucleus X is unstable and emits a β+ particle to form nucleus Z.
By comparing the number of protons in each nucleus, state and explain whether the charge of nucleus X is less than, the same as or greater than the charge of: 


nucleus Z.
...........................................................................................................................................
...........................................................................................................................................
..................................................................................................................................... [2]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
658,"Hadrons can be divided into two groups (classes), P and Q. Group P is baryons. 

State the name of group Q.
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
659,"Hadrons can be divided into two groups (classes), P and Q. Group P is baryons. 

Describe, in general terms, the quark structure of hadrons that belong to group Q.
...........................................................................................................................................
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
660,"Define the potential difference across a component.

...................................................................................................................................................
............................................................................................................................................. [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
661,"The variation with potential difference V of the current I in a semiconductor diode is shown in Fig. 6.1.


(DIAGRAM)

Use Fig. 6.1 to describe qualitatively:


the resistance of the diode in the range V = 0 to V = 0.25V

..................................................................................................................................... [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
662,"The variation with potential difference V of the current I in a semiconductor diode is shown in Fig. 6.1.


(DIAGRAM)

Use Fig. 6.1 to describe qualitatively:


the variation, if any, in the resistance of the diode as V changes from V = 0.75V to V = 1.0V.

..................................................................................................................................... [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
663,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Calculate the current in the resistance wire.



current = .......................................................A [1] 

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
664,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Determine the resistance of the variable resistor.






resistance = ...................................................... Ω [2]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
665,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Wire XY has a length of 2.0m. Point Z on the wire is a distance of 1.6m from point X.
The fixed resistor is connected to the variable resistor at point W.

Determine the potential difference between points W and Z.









potential difference = ...................................................... V [3]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
666,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


The resistance of the variable resistor is now increased.
By considering the currents in every part of the circuit, state and explain whether the total power produced by the battery decreases, increases or stays the same.

...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
..................................................................................................................................... [3]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
667,"A microphone and cathode-ray oscilloscope (CRO) are used to analyse a sound wave of frequency 5000 Hz. The trace that is displayed on the screen of the CRO is shown in Fig. 5.1. 

(DIAGRAM)



Determine the time-base setting, in s cm–1, of the CRO. 







time-base setting = ...............................................s cm–1 [2] ",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
668,"A microphone and cathode-ray oscilloscope (CRO) are used to analyse a sound wave of frequency 5000 Hz. The trace that is displayed on the screen of the CRO is shown in Fig. 5.1. 

(DIAGRAM)



The intensity of the sound detected by the microphone is now increased from its initial value of I to a new value of 3I. The frequency of the sound is unchanged. Assume that the amplitude of the trace on the CRO screen is proportional to the amplitude of the sound wave.
On Fig. 5.1, sketch the new trace shown on the screen of the CRO.  [3]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
669,"An arrangement for demonstrating interference using light is shown in Fig. 5.2.

(DIAGRAM)

The wavelength of the light from the laser is 630 nm. The light is incident normally on the double slit. The separation of the two slits is 3.6 × 10–4 m. The perpendicular distance between the double slit and the screen is D.
Coherent light waves from the slits form an interference pattern of bright and dark fringes on the screen. The distance between the centres of two adjacent bright fringes is 4.0 × 10–3 m. The central bright fringe is formed at point P.


Explain why a bright fringe is produced by the waves meeting at point P.
...........................................................................................................................................
..................................................................................................................................... [1]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
670,"An arrangement for demonstrating interference using light is shown in Fig. 5.2.

(DIAGRAM)

The wavelength of the light from the laser is 630 nm. The light is incident normally on the double slit. The separation of the two slits is 3.6 × 10–4 m. The perpendicular distance between the double slit and the screen is D.
Coherent light waves from the slits form an interference pattern of bright and dark fringes on the screen. The distance between the centres of two adjacent bright fringes is 4.0 × 10–3 m. The central bright fringe is formed at point P.


Calculate distance D.






D = ......................................................m [3]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
671,"The wavelength λ of the light in (b) is now varied. This causes a variation in the distance x between the centres of two adjacent bright fringes on the screen. The distance D and the separation of the two slits are unchanged.
On Fig. 5.3, sketch a graph to show the variation of x with λ from λ = 400 nm to λ = 700 nm. Numerical values of x are not required.  [1]

(DIAGRAM)
",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
672,"Two blocks slide directly towards each other along a frictionless horizontal surface, as shown in Fig. 4.1. The blocks collide and then move as shown in Fig. 4.2.

(DIAGRAM)

Block X initially moves to the right with a momentum of 0.37kgms–1. Block Y initially moves to the left with a momentum of 0.65kgms–1. After the blocks collide, block X moves to the left back along its original path with a momentum of 0.13kgms–1. Block Y also moves to the left after the collision.

Block X has an initial kinetic energy of 0.30J.
Calculate the mass of block X.









mass = ..................................................... kg [3]

",3. Dynamics,(AS) 3.3 Linear momentum and its conservation
673,"Two blocks slide directly towards each other along a frictionless horizontal surface, as shown in Fig. 4.1. The blocks collide and then move as shown in Fig. 4.2.

(DIAGRAM)

Block X initially moves to the right with a momentum of 0.37kgms–1. Block Y initially moves to the left with a momentum of 0.65kgms–1. After the blocks collide, block X moves to the left back along its original path with a momentum of 0.13kgms–1. Block Y also moves to the left after the collision.

Determine the magnitude of the momentum of block Y after the collision. 





momentum = ............................................ kgms–1 [1]

",3. Dynamics,(AS) 3.3 Linear momentum and its conservation
674,"Two blocks slide directly towards each other along a frictionless horizontal surface, as shown in Fig. 4.1. The blocks collide and then move as shown in Fig. 4.2.

(DIAGRAM)

Block X initially moves to the right with a momentum of 0.37kgms–1. Block Y initially moves to the left with a momentum of 0.65kgms–1. After the blocks collide, block X moves to the left back along its original path with a momentum of 0.13kgms–1. Block Y also moves to the left after the collision.

Block X exerts an average force of 7.7N on block Y during the collision.
Calculate the time that the blocks are in contact with each other.






time = ....................................................... s [2]",3. Dynamics,(AS) 3.3 Linear momentum and its conservation
675,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

State two conditions for an object to be in equilibrium.

1 ................................................................................................................................................
...................................................................................................................................................
2 ................................................................................................................................................
...................................................................................................................................................
[2]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
676,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

Show that the vertical component of the tension in the string is 13N. 




[1]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
677,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

By taking moments about end A, calculate the weight W of the beam.





W = ...................................................... N [2]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
678,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

Calculate the magnitude of the vertical component of the force exerted on the beam by the hinge.




force = ...................................................... N [1]

","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
679,"A uniform beam AB is attached by a hinge to a wall at end A, as shown in Fig. 3.1. 

(DIAGRAM)

The beam has length 0.50m and weight W. A block of weight 12N rests on the beam at a distance of 0.15m from end B.
The beam is held horizontal and in equilibrium by a string attached between end B and a fixed point C. The string has a tension of 17N and is at an angle of 50° to the horizontal.

The block is now moved closer to end A of the beam. Assume that the beam remains horizontal.
State whether this change will increase, decrease or have no effect on the horizontal component of the force exerted on the beam by the hinge.

............................................................................................................................................. [1]","4. Forces, density and pressure","(AS) 4.1 Turning effects of forces,  (AS) 4.2 Equilibrium of forces"
680,"A motor uses a wire to raise a block, as illustrated in Fig. 2.1. 

(DIAGRAM)

The base of the block takes a time of 0.49s to move vertically upwards from level X to level Y at a constant speed of 0.64ms–1. During this time the wire has a strain of 0.0012. The wire is made of metal of Young modulus 2.2 × 1011Pa and has a uniform cross-section. 
The block has a weight of 1.4 × 104 N. Assume that the weight of the wire is negligible.

Calculate:

the cross-sectional area A of the wire





A = .................................................... m2 [2] ",6. Deformation of solids,"(AS) 5.2 Work and efficiency,  (AS) 5.3 Power,  (AS) 6.1 Stress and strain"
