,question,explanation,answer,index
856,State what is meant by internal energy. ..................................................................................... [2],The internal energy of a system is the sum of the random distribution of the kinetic and potential energies associated with the particles of the system.,(sum of) potential energy and kinetic energy of molecules/atoms/particles mention of random motion/distribution M1 A1 [2],"(278, 'a')"
857,"The variation with volume V of the pressure p of an ideal gas as it undergoes a cycle ABCA of changes is shown in Fig. 2.1.  (DIAGRAM)  The temperature of the gas at A is 290 K. The temperature at B is 870 K. Determine   the amount, in mol, of gas,  amount = .................................................. mol [2]","  Use pV = nRT  At A, p = 1.2???? 105Pa, V = 4???? 10-3 m3 (from graph)  ??? n = (1.2 ?? 105)(4 ?? 10-3)/(8.31 ?? 290) = 0.1992  Amount = 0.2 mol","pV = nRT either at A, 1.2 ?? 105 ?? 4.0 ?? 10???3??= n ?? 8.31 ?? 290 or at B, 3.6 ?? 105 ?? 4.0 ?? 10???3??= n ?? 8.31 ?? 870 n = 0.20mol??   C1 A1 [2]","(278, 'b.i')"
858,The variation with volume V of the pressure p of an ideal gas as it undergoes a cycle ABCA of changes is shown in Fig. 2.1.  (DIAGRAM)  The temperature of the gas at A is 290 K. The temperature at B is 870 K. Determine   the temperature of the gas at C.  temperature = ............................................ K [2],"  Again use pV = nRT  ??? T = pV/nR  at C: p = 1.2???? 105, V = 7.75???? 10-3 m3, n = 0.2  ??? T = (1.2 ?? 105)(7.75 ?? 10-3)/(0.2 ?? 8.31) = 559.57  Temperature = 560 K",1.2 ?? 105 ?? 7.75 ?? 10? ?3 = 0.20 ?? 8.31 ?? T or T = (7.75/4.0) ?? 290 T = 560 K (Allow tolerance from graph: 7.7? ?7.8 ?? 10? ?3 m3) C1 A1   [2],"(278, 'b.ii')"
859,Explain why the change from C to A involves external work and a change in internal energy. ............................................................................. [2],Volume decreases at constant pressure  ??? external work is done  Temperature decreases  ??? There is a decrease in internal energy,temperature changes/decreases so internal energy changes/decreases volume changes (at constant pressure) so work is done B1 B1 [2],"(278, 'c')"
860,An ideal gas occupies a container of volume 4.5??103 cm3 at a pressure of 2.5??105 Pa and a temperature of 290 K.  Show that the number of atoms of gas in the container is 2.8 ?? 1023.        [2]  ,Use pV = NkT  ??? (2.5 ?? 105)(4.5 ?? 103 ?? 10-6) = N(1.38 ?? 10-23)(290)  ??? N = 2.8???? 1023,either?? pV = NkT?? or?? pV = nRT?? and?? n = N / NA clear correct substitution e.g. 2.5 ?? 105 ?? 4.5 ?? 103 ?? 10-6 = N ?? 1.38 ?? 10-23 ?? 290 N = 2.8 ?? 1023 (allow 1 mark for calculation of n = 0.467 mol) C1  M1 A0 [2],"(280, 'a')"
861,An ideal gas occupies a container of volume 4.5??103 cm3 at a pressure of 2.5??105 Pa and a temperature of 290 K.  Atoms of a real gas each have a diameter of 1.2 ?? 10? ?10 m.  Estimate the volume occupied by 2.8 ?? 1023 atoms of this gas.        volume = ......................................... m3 [2]  ,  Volume of sphere = (4/3)? r3  = (4/3)? (0.6 ?? 10-10)3  Total volume = 2.8???? 1023???? (4/3)? (0.6 ?? 10-10)3  = 2.53???? 10-7 m3,volume = (1.2 ?? 10-10)3 ?? 2.8 ?? 1023 or?? (4/3)? r3???? 2.8 ?? 1023 ?? ?? ?? ?? ?? ?? ??= 4.8 ?? 10-7 m3 ??or ????2.53 ?? 10-7 m3 C1 A1 [2],"(280, 'b.i')"
862,"An ideal gas occupies a container of volume 4.5??103 cm3 at a pressure of 2.5??105 Pa and a temperature of 290 K.  Atoms of a real gas each have a diameter of 1.2 ?? 10? ?10 m.  By reference to your answer in (i), suggest whether the real gas does approximate to an ideal gas.  .................................................................................................................................. .................................................................................................................................. ............................................................................................................................ [2]","  Volume of container: 4.5???? 103 cm3 (Vc)  Volume of gas atoms: 2.53 ?? 10-1 cm3 (Va), so Vc > Va  i.e. volume of gas atoms is negligible compared to container volume  ??? approximates ideal gas",either 4.5 ?? 103 cm3 >> 0.48 cm3??or ratio of volumes is about 10-4 justified because volume of molecules is negligible B1 B1 [2] ?? ?? [Total: 6],"(280, 'b.ii')"
863,"Some gas, initially at a temperature of 27.2 ??C, is heated so that its temperature rises to 38.8 ??C. Calculate, in kelvin, to an appropriate number of decimal places,   the initial temperature of the gas,  initial temperature = ............................................. K [2]",  27.2 + 273.15 = 300.35 K,27.2 + 273.15 or 27.2 + 273.2 300.4 K C1 A1 [2],"(281, 'a.i')"
864,"Some gas, initially at a temperature of 27.2 ??C, is heated so that its temperature rises to 38.8 ??C. Calculate, in kelvin, to an appropriate number of decimal places,   the rise in temperature.  rise in temperature = ............................................ K [1]",  Final temperature: 38.8 + 273.15 = 311.95  ???T = 311.95 - 300.35 = 11.6 K,11.6 K A1 [1],"(281, 'a.ii')"
865,The pressure p of an ideal gas is given by the expression ?? ?? ?? ?? ??p = ?????<c2> where ?? is the density of the gas.    State the meaning of the symbol <c2>. ......................................................................[1],  <c2> is the mean square speed,(<c2> is the) mean / average square speed B1 [1],"(281, 'b.i')"
866,The pressure p of an ideal gas is given by the expression ?? ?? ?? ?? ??p = ?????<c2> where ?? is the density of the gas.    Use the expression to show that the mean kinetic energy <EK> of the atoms of an ideal gas is given by the expression ?? ?? ?? ??<EK> =  (DIAGRAM) kT.  Explain any symbols that you use. ............................................................................... [4],"  p = (1/3)??<c2>, where???? = Nm/V and N = number of molemules, m = mass of one nolecule and V = volume of gas.  So p = (1/3)(Nm/V)<c2>  ??? pV = (1/3)Nm<c2>, but pV = NkT, k = Boltzman constant with k = R/NA  So (1/3)Nm<c2> = NkT  ??? (1/2)m<c2> = (3/2)kT where (1/2)m<c2> = <EK>  ??? <EK> = (3/2)kT","?? = Nm/V with N explained so, pV = 1/3 Nm<c2> and pV = NkT with k explained so mean kinetic energy / <Ek> = ??m<c2> = 3/2 kT B1 B1 B1 B1 [4]","(281, 'b.ii')"
867,"Helium-4 may be assumed to behave as an ideal gas.?? A cylinder has a constant volume of 7.8 ?? 103 cm3 and contains helium-4 gas at a pressure of 2.1 ?? 107 Pa and at a temperature of 290 K.  Calculate, for the helium gas,   the amount of gas,  amount = ......................................... mol [2]",  Use pV = nRT  (2.1 ?? 107)(7.8 ?? 103 ?? 10-6) = n(8.31)(290)  ??? n = 67.97 = 68 mol,pV = nRT 2.1 ?? 107 ?? 7.8 ?? 10? ?3 = n ?? 8.3 ?? 290 n = 68 mol  C1 A1 [2],"(281, 'c.i')"
868,"Helium-4 may be assumed to behave as an ideal gas.?? A cylinder has a constant volume of 7.8 ?? 103 cm3 and contains helium-4 gas at a pressure of 2.1 ?? 107 Pa and at a temperature of 290 K.  Calculate, for the helium gas,   the mean kinetic energy of the atoms,  amount = ......................................... mol [2]",  <EK> = (3/2)kT = (3/2)(1.38 ?? 10-23)(290) = 6???? 10-21 J,mean kinetic energy = 3/2 kT ??= 3/2 ?? 1.38 ?? 10? ?23 ?? 290 ??= 6.0 ?? 10? ?21 J  C1 A1 [2],"(281, 'c.ii')"
869,"Helium-4 may be assumed to behave as an ideal gas.?? A cylinder has a constant volume of 7.8 ?? 103 cm3 and contains helium-4 gas at a pressure of 2.1 ?? 107 Pa and at a temperature of 290 K.  Calculate, for the helium gas,   the total internal energy.  amount = ......................................... mol [2]",  Total internal energy = total kinetic energy (Note: ideal gas)  Per atom: 6???? 10-21 J  68 mol: 68???? 6.02???? 1023 atoms  ??? total K.E. = 68???? 6.02???? 1023???? 6???? 10-21 = 245616 J = 2.46???? 105 J,realisation that total internal energy is the total kinetic energy energy = 6.0 ?? 10? ?21 ?? 68 ?? 6.02 ?? 1023 = 2.46 ?? 105??J C1 C1 A1 [3],"(281, 'c.iii')"
870,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 ?? 106 m with its mass of 6.42 ?? 1023 kg concentrated at its centre.?? A rock of mass 1.40 kg rests on the surface of Mars. For this rock,  determine its weight,  weight = ............................................ N [3]",  weight = GMm/r2  = (6.67 ?? 10-11 ?? 6.42 ?? 1023 ?? 1.40)/[(1/2) ?? 6.79 ?? 106]2  = 5.20 N,weight = GMm/r2 ??= (6.67 ?? 10? ?11 ?? 6.42 ?? 1023 ?? 1.40)/(?? ?? 6.79 ?? 106)2 ??= 5.20 N C1 C1 A1 [3],"(282, 'a.i')"
871,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 ?? 106 m with its mass of 6.42 ?? 1023 kg concentrated at its centre.?? A rock of mass 1.40 kg rests on the surface of Mars. For this rock,  show that its gravitational potential energy is ? ?1.77 ?? 107 J.?? [2]  ",  Potential energy = -GMm/r  = -(6.67 ?? 10-11 ?? 6.42 ?? 1023 ?? 1.40)/[(1/2) ?? 6.79 ?? 106]  = -1.77???? 107J,potential energy = ? ?GMm/r ??= ? ?(6.67 ?? 10? ?11 ?? 6.42 ?? 1023 ?? 1.40)/(?? ?? 6.79 ?? 106) ??= ? ?1.77 ?? 107 J?? C1 M1 A0 [2],"(282, 'a.ii')"
872,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 ?? 106 m with its mass of 6.42 ?? 1023 kg concentrated at its centre.?? A rock of mass 1.40 kg rests on the surface of Mars. For this rock,Use the information in (a)(ii) to determine the speed at which the rock must leave the surface of Mars so that it will escape the gravitational attraction of the planet.  speed = ....................................... m s? ?1 [3]",either: (1/2)mv2 = 1.77???? 107  v2 = (1.77 ?? 107 ?? 2)/1.40  v = 5.03???? 103 m/s  or: (1/2)mv2 = GMm/r  v2 = (2 ?? 6.67 ?? 10-11 ?? 6.42 ?? 1023)/[6.79 ?? 106/2]  v = 5.03 ?? 103 m/s,either ??mv2??= 1.77 ?? 107 ?? v2 = (1.77 ?? 107???? 2)/1.40 ?? v = 5.03 ?? 103??m s? ?1 C1 C1 A1 [3] or ??mv2??= GMm/r ?? v2 = (2 ?? 6.67 ?? 10? ?11 ?? 6.42 ?? 1023)/(6.79 ?? 106/2) ?? v = 5.02 ?? 103??m s? ?1 (C1) (C1) (A1) ??,"(282, 'b')"
873,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 ?? 106 m with its mass of 6.42 ?? 1023 kg concentrated at its centre.?? A rock of mass 1.40 kg rests on the surface of Mars. For this rock,The mean translational kinetic energy <Ek> of a molecule of an ideal gas is given by the expression ?? ?? ?? ?? ??<Ek> =  (DIAGRAM) kT where T is the thermodynamic temperature of the gas and k is the Boltzmann constant.   Determine the temperature at which the root-mean-square (r.m.s.) speed of hydrogen molecules is equal to the speed calculated in (b). Hydrogen may be assumed to be an ideal gas. A molecule of hydrogen has a mass of 2 u.  temperature = ............................................. K [2]",  Use (1/2)m<c2> = (3/2)kT  u = 1.66???? 10-27 kg  ??? (1/2)???? 2???? 1.66???? 10-27<c2> = (3/2)???? 1.38???? 10-23???? T  Since r.m.s. speed of??hydrogen molecules is equal to the speed calculated in (b)  ??? c = 5.03???? 103  ?????(1/2)???? 2???? 1.66???? 10-27<5.03???? 103> = (3/2)???? 1.38???? 10-23???? T  ??? T = 2028.96 K  Temperature = 2030 K,?? ?? 2 ?? 1.66 ?? 10? ?27 ?? (5.03 ?? 103)2 =  ?? 1.38 ?? 10? ?23 ?? T T = 2030 K C1 A1 [2],"(282, 'c.i')"
874,"The planet Mars may be considered to be an isolated sphere of diameter 6.79 ?? 106 m with its mass of 6.42 ?? 1023 kg concentrated at its centre.?? A rock of mass 1.40 kg rests on the surface of Mars. For this rock,The mean translational kinetic energy <Ek> of a molecule of an ideal gas is given by the expression ?? ?? ?? ?? ??<Ek> =  (DIAGRAM) kT where T is the thermodynamic temperature of the gas and k is the Boltzmann constant.   State and explain one reason why hydrogen molecules may escape from Mars at temperatures below that calculated in (i). ........................................................................ [2]",  There is a range of speeds  Some molecules have a higher speed,either because there is a range of speeds ?? some molecules have a higher speed or some escape from point above planet surface ?? so initial potential energy is higher M1 A1 (M1) (A1) [2],"(282, 'c.ii')"
875,"The kinetic theory of gases is based on some simplifying assumptions. The molecules of the gas are assumed to behave as hard elastic identical spheres. State the assumption about ideal gas molecules based on   the nature of their movement, ....................................................................... [1]",  Molecules are in random motion,either?? ??random motion or?? ??constant velocity until hits wall/other molecule B1 [1],"(283, 'a.i')"
876,The kinetic theory of gases is based on some simplifying assumptions. The molecules of the gas are assumed to behave as hard elastic identical spheres. State the assumption about ideal gas molecules based on   their volume. ....................................................................... [2],  The volume of the molecules is negligible compared to the volume of the containing vessel,(total) volume of molecules is negligible compared to volume of containing vessel or radius/diameter of a molecule is negligible compared to the average intermolecular distance M1 A1  (M1) (A1) [2],"(283, 'a.ii')"
877,"A cube of volume V contains N molecules of an ideal gas. Each molecule has a component cX of velocity normal to one side S of the cube, as shown in Fig. 2.1. ?? ?? ??  (DIAGRAM)  The pressure p of the gas due to the component cX of velocity is given by the expression ?? ?? pV = NmcX2 where m is the mass of a molecule. Explain how the expression leads to the relation  ?? ??pV = ???Nm<c2> where <c2> is the mean square speed of the molecules. [3]  ","Detailed:  For a molecule moving with velocity c,  Pythagoras theorem in 3 dimensions gives the relation between c and the three components of velocity cx, cy and cz  i.e. c2 = cx2 + cy2 + cz2  Because we are dealing with a large number of molecules in random motion, the average value of the components in the x direction will be the same as for those in the y direction and z direction  ??? taking the averages <cX2> = <cY2> = <cZ2> and <cX2> = (1/3)<c2>  the equation becomes pV = (1/3)Nm<c2>  Note: <cX2> means average value of cX2.","either?? molecule has component of velocity in three directions or?? c2 = cX2 + cY2 + cZ2 random motion and averaging, so <cX2> = <cY2> = <cZ2> <c2> = 3<cX2> so, pV = ???Nm<c2>  M1 M1 A1 A0 [3]","(283, 'b')"
878,The molecules of an ideal gas have a root-mean-square (r.m.s.) speed of 520 m s? ?1 at a temperature of 27 ??C.  Calculate the r.m.s. speed of the molecules at a temperature of 100 ??C.  r.m.s. speed = ....................................... m s? ?1 [3],We know <c2>????? T  ??? crms??????????T  (Note: <c2> = 3kT/m)   (DIAGRAM)   r.m.s. speed = 580 m/s,<c2> ??? T?? or crms ??? ???T temperatures are 300K and 373K crms = 580 ms? ?1 (Do not allow any marks for use of temperature in units of ??C instead of K) C1 C1 A1   [3],"(283, 'c')"
879,"The product of the pressure ?? and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.State the meaning of the symbol  N, ...............................................................[1]",  The total number of molecule,N: (total) number of molecules B1 [1],"(284, 'a.i')"
880,The product of the pressure ?? and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.State the meaning of the symbol  <c2> ................................................................[1],  The mean square speed,<c2>: mean square speed/velocity B1 [1],"(284, 'a.ii')"
881,"The product of the pressure ?? and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.The product pV is also given by the expression ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ????V = NkT. Deduce an expression, in terms of the Boltzmann constant k and the thermodynamic??temperature T, for the mean kinetic energy of a molecule of the ideal gas. [2]  ",So (1/3)Nm<c2> = NkT  ??? <c2> = 3kT/m  <Ec> = (1/2)m<c2>  ??? (1/2)m(3kT/m) = (3/2)kT  Where <Ek> = mean KE of a molecule,pV = ???Nm<c2> = NkT (mean) kinetic energy = ??m<c2> algebra clear leading to ??m<c2> = (3/2)kT  C1 A1 [2],"(284, 'b')"
882,The product of the pressure ?? and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.A cylinder contains 1.0 mol of an ideal gas.  The volume of the cylinder is constant. Calculate the energy required to raise the temperature of the gas by 1.0 kelvin.  energy = ............................................ J [2],"  for 1 molecule: Energy = (3/2)KT, T = 1????? (3/2)K = (3/2)(1.38 ?? 10-23) = 2.07???? 10-23  1 mole: 6.02???? 1023 molecules  ??? Energy required = 6.02???? 1023???? 2.07???? 10-23 = 12.4614 J  ??? Energy = 12.5 J",either energy required = (3/2) ?? 1.38 ?? 10? ?23 ?? 1.0 ?? 6.02 ?? 1023 ?? = 12.5 J?? (12J if 2 s.f.) or energy = (3/2) ?? 8.31 ?? 1.0 ?? = 12.5 J C1 A1 (C1) (A1) [2],"(284, 'c.i')"
883,The product of the pressure ?? and the volume V of an ideal gas is given by the expression pV =  (DIAGRAM) Nm<c2> where m is the mass of one molecule of the gas.A cylinder contains 1.0 mol of an ideal gas.  The volume of the cylinder is now allowed to increase so that the gas remains??at constant pressure when it is heated. Explain whether the energy required to raise the temperature of the gas by 1.0??kelvin is now different from your answer in (i).  ..................................................................................[2],  Energy required is greater. This is because energy is needed to do work against the atmosphere.,energy is needed to push back atmosphere/do work against atmosphere so total energy required is greater M1 A1 [2],"(284, 'c.ii')"
884,The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.Show that the linear speed v of the satellite is given by the expression ?? ?? ?? ?? ?? ?? ?? (DIAGRAM)  [2]  ,Centripetal force is provided by the gravitational force  ??? GMm/r2 = mv2/r  ??? GM/r = v2  ??? v =?????(GM/r),centripetal force is provided by gravitational force mv2??/ r = GMm / r2 hence v = ???(GM / r) B1 B1 A0 [2],"(285, 'a')"
885,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.For this satellite, write down expressions, in terms of G, M, m and r, for  its kinetic energy,  kinetic energy = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?. [1]",  EK = (1/2)mv2 = (1/2)m(GM/r) = GMm/2r,EK (= ??mv2) = GMm / 2r B1 [1],"(285, 'b.i')"
886,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.For this satellite, write down expressions, in terms of G, M, m and r, for  its gravitational potential energy,  potential energy = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?. [1]??",  EP = -GMm/r,EP = - GMm / r B1 [1],"(285, 'b.ii')"
887,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.For this satellite, write down expressions, in terms of G, M, m and r, for  its total energy.  total energy = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?. [2]",  T = EK + EP = (GMm/2r) - (GMm/r)  = (GMm/r)[(1/2) - 1]  = -GMm/2r,ET = - GMm / r + GMm / 2r ?? ?? = - GMm / 2r. C1 A1 [2]??,"(285, 'b.iii')"
888,"The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.The total energy of the satellite gradually decreases. State and explain the effect of this decrease on   the radius r of the orbit,  ............................................................................. [2]","  r decreases. As ET, the total energy decreases, -(GMm/2r) becomes more negative i.e. GMm/2r becomes larger  ??? r must decrease",if ET decreases then - GMm / 2r becomes more negative or GMm / 2r becomes larger so r decreases M1 A1 [2],"(285, 'c.i')"
889,The Earth may be considered to be a uniform sphere with its mass M concentrated at its centre. A satellite of mass m orbits the Earth such that the radius of the circular orbit is r.The total energy of the satellite gradually decreases. State and explain the effect of this decrease on   the linear speed v of the satellite.  ............................................................................. [2],"  v increases. When r decreases, EK = GMm/2r increases i.e. the kinetic energy increases  Since KE = (1/2)mv2, v must increase",EK = GMm / 2r and r decreases so (EK and) v increases M1 A1 [2],"(285, 'c.ii')"
890,Define gravitational field strength. .......................................................................... [1],The gravitational field strength at a point is the gravitational force per unit mass at that point,force per unit mass (ratio idea essential)?? B1 [1],"(287, 'a')"
891,A spherical planet has diameter 1.2 ?? 104 km. The gravitational field strength at the surface of the planet is 8.6 N kg? ?1. The planet may be assumed to be isolated in space and to have its mass concentrated at its centre. Calculate the mass of the planet.  mass = .......................................... kg [3],Use GMm/R2 = mg  ??? g = GM/R2  ??? M = gR2/G  = [(8.6)(0.6 ?? 107)2]/(6.67 ?? 10-4)  = 4.6417???? 1024 kg,g = GM / R2 8.6 ?? (0.6 ?? 107)2??= M ?? 6.67 ?? 10? ?11 M = 4.6 ?? 1024 kg C1 C1 A1 [3],"(287, 'b')"
892,"The gravitational potential at a point X above the surface of the planet in (b) is ? ? 5.3 ?? 107 J kg? ?1. For point Y above the surface of the planet, the gravitational potential is ? ? 6.8 ?? 107 J kg? ?1.   State, with a reason, whether point X or point Y is nearer to the planet. .................................................................... [2]",  Y is rearer to the planet. That's because potential at infinity = 0 and?????x is closer to 0,either?? potential decreases as distance from planet decreases or?? potential zero at infinity and X is closer to zero or?? potential ?? ? ?1/r and Y more negative so point Y is closer to planet.   M1 A1 [2],"(287, 'c.i')"
893,"The gravitational potential at a point X above the surface of the planet in (b) is ? ? 5.3 ?? 107 J kg? ?1. For point Y above the surface of the planet, the gravitational potential is ? ? 6.8 ?? 107 J kg? ?1.   A rock falls radially from rest towards the planet from one point to the other. Calculate the final speed of the rock.  speed = ...................................... m s? ?1 [2]","  |??????| = 6.8???? 107 - 5.3???? 107 = 1.5???? 107 J  ???Ep = m??????,?????Ek = (1/2)mv2  Equating m?????? = (1/2)mv2  ??????????? = (1/2)v2  ??? v =?????(2??????) =?????(2 ?? 1.5 ?? 107) = 5477.22 m/s = 5.5???? 103 m/s",idea of ????? = ??v2 (6.8 ? ? 5.3) ?? 107??= ??v2 v = 5.5 ?? 103??ms? ?1 C1  A1 [2],"(287, 'c.ii')"
894,"The Earth may be considered to be a uniform sphere of radius 6.38??103 km, with??its mass concentrated at its centre.  Define gravitational field strength. ............................................................... [1]",  The gravitational field strength at a point is the gravitational force per unit mass at that point,force per (unit) mass ? ?? ?(ratio idea essential) B1 [1],"(288, 'a.i')"
895,"The Earth may be considered to be a uniform sphere of radius 6.38??103 km, with??its mass concentrated at its centre.  By considering the gravitational field strength at the surface of the Earth, show that the mass of the Earth is 5.99??1024 kg. [2]  ","  GMm/R2 = mg  ??? g = GM/R2, M = mass of earth  ??? M = gR2/G  = [(9.81)(6.38 ?? 106)2]/(6.67 ?? 10-11)  = 5.987???? 1024  = 5.99???? 1024 kg",g = GM / R2 9.81 = (6.67 ?? 10-11 ?? M) / (6.38 ?? 106)2??? ?? ?(all 3 s.f) M = 5.99 ?? 1024 kg C1 M1 A0 [2],"(288, 'a.ii')"
896,The Global Positioning System (GPS) is a navigation system that can be used anywhere on Earth. It uses a number of satellites that orbit the Earth in circular orbits at a distance of 2.22??104 km above its surface.  Use data from (a) to calculate the angular speed of a GPS satellite in its orbit.  angular speed = ..................................... rad s? ?1 [3],"  GMm/r2 = mr??2  ??? GM = r3??2, M = mass of earth  Note: r = 2.22???? 107 + 6.38???? 106 = 28580000   (DIAGRAM)   Angular speed = 1.3???? 10-4 rad/s",either?? GM = ??2r3?? or?? gR2 = ??2r3 either?? 6.67 ?? 10-11 x 5.99 ?? 1024 = ??2 ?? (2.86 ?? 107)3 or?? 9.81 ?? (6.38 ?? 106)2 = ??2 ?? (2.86 ?? 107)3 ?? = 1.3 ?? 10-4 rad s-1 (use of r = 2.22 ?? 107 m scores max 2 marks) C1  C1 A1   [3],"(288, 'b.i')"
897,The Global Positioning System (GPS) is a navigation system that can be used anywhere on Earth. It uses a number of satellites that orbit the Earth in circular orbits at a distance of 2.22??104 km above its surface.  Use your answer in (i) to show that the satellites are not in geostationary orbits. [3]  ,  ?? = 2? /T  ??? T = 2? /?? = 2? /(1.3 ?? 10-4) = 48332 s = 13.4 hours  Period for geostationary orbit = 24 hours  ??? Satellites not in geostationary orbits,period of orbit = 2?  / ?? ?? ??= 4.8 ?? 104??s (= 13.4 hours) period for geostationary satellite is 24 hours (= 8.6 ?? 104??s) so no C1 A1 A1 A0 [3],"(288, 'b.ii')"
898,The planes of the orbits of the GPS satellites in (b) are inclined at an angle of 55????to the Equator. Suggest why the satellites are not in equatorial orbits. ...................................................................... [1],So that they can provide coverage at the poles.,satellite can then provide cover at Poles B1 [1],"(288, 'c')"
899,State Newton's law of gravitation. ........................................................................ [2],Newton's law??of universal??gravitation??states that every particle attracts every other particle in the universe with a force which is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,F ??? Mm / R2??? ?..? ?(words or explained symbols) either M and m are point masses or R >> diameter of masses ? ?(do not allow 'size')  M1  A1 [2],"(289, 'a')"
900,The Earth may be considered to be a uniform sphere of radius R equal to 6.4 ?? 106 m. A satellite is in a geostationary orbit.   Describe what is meant by a geostationary orbit. ............................................................... [3]??,"  A geostationary orbit is directly above the equator, orbiting in the same direction as the earth spins and has an orbital period of 24 hours",equatorial orbit period 24 hours / same angular speed from west to east / same direction of rotation (allow one of the last two marks for 'always overhead' if 2nd or 3rd marks not scored) B1 B1 B1   [3],"(289, 'b.i')"
901,The Earth may be considered to be a uniform sphere of radius R equal to 6.4 ?? 106 m. A satellite is in a geostationary orbit.   Show that the radius x of the geostationary orbit is given by the expression ?? ?? ?? ?? ??gR2 = x3??2 where g is the acceleration of free fall at the Earth's surface and ?? is the angular speed of the satellite about the centre of the Earth. [3]  ,"  Gravitational force supplies the centripetal force  GMm/x2 = mx??2, M = mass of earth  ??? GM = x3??2  ??? gR2 = x3??2  GMm/R2 = mg  ??? GM = gR2",gravitational force provides centripetal force / gives rise to centripetal acceleration ? ?.(in 'words') GM / x2??= x??2 g = GM / R2 to give gR2 = x3??2  B1 M1 M1 A0 [3],"(289, 'b.ii')"
902,The Earth may be considered to be a uniform sphere of radius R equal to 6.4 ?? 106 m. A satellite is in a geostationary orbit.   Determine the radius x of the geostationary orbit.  radius = ........................................... m [3],  ?? = 2? /T = 2? /(24 ?? 3600) = 7.272???? 10-5 rad/s  from x3 = gR2/??2   (DIAGRAM) ,"?? = 2?  / (24 ?? 3600) = 7.27 ?? 10-5 rad s-1 9.81 ?? (6.4 ?? 106)2 = x3 ?? (7.27 ?? 10-5)2 x3??= 7.6 ?? 1022 x = 4.2 ?? 107??m (use of g = 10 m s-2, loses 1 mark but once only in the Paper) C1 C1  A1   [3] ?? ?? [Total: 11]","(289, 'b.iii')"
903,Define the radian.  .......................................................................................................................................... .......................................................................................................................................... ......................................................................................................................................[2]  ,Radian is the angle subtended at the centre of a circle by an arc equal in length to the radius,angle (subtended) at centre of circle (by) arc equal in length to radius B1 B1 [2],"(290, 'a')"
904,"A stone of weight 3.0 N is fixed, using glue, to one end P of a rigid rod CP, as shown in Fig. 1.1.  (DIAGRAM)  The rod is rotated about end C so that the stone moves in a vertical circle of radius 85 cm. The angular speed ?? of the rod and stone is gradually increased from zero until the glue snaps. The glue fixing the stone snaps when the tension in it is 18 N. For the position of the stone at which the glue snaps,   on the dotted circle of Fig. 1.1, mark with the letter S the position of the stone, [1]   ",   (DIAGRAM)   ,point S shown below C B1 [1],"(290, 'b.i')"
905,"A stone of weight 3.0 N is fixed, using glue, to one end P of a rigid rod CP, as shown in Fig. 1.1.  (DIAGRAM)  The rod is rotated about end C so that the stone moves in a vertical circle of radius 85 cm. The angular speed ?? of the rod and stone is gradually increased from zero until the glue snaps. The glue fixing the stone snaps when the tension in it is 18 N. For the position of the stone at which the glue snaps,   calculate the angular speed ?? of the stone.        angular speed = ................................... rad s? ?1 [4]",    (DIAGRAM)   Towards the centre: mr??2  T - mg = mr??2  ??? 18 - 3 = (3/9.81)(85/100)??2  ??????? = 7.596 rad/s  Angular speed = 7.6 rad/s,(max) force / tension = weight + centripetal force centripetal force = mr??2 15 = 3.0/9.8 ?? 0.85 ?? ??2?? ?? = 7.6 rad s? ?1 C1 C1 C1 A1 [4],"(290, 'b.ii')"
906,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ?? and T respectively.State  what is meant by angular velocity, ....................................................................[2]","  For an object moving in a circle, it is the angle swept out in unit time by the radius joining the object to the circle centre. It is the rate of change of angle swept out by the radius.",rate of change of angle / angular displacement swept out by radius M1 A1 [2],"(291, 'a.i')"
