,Question,Mark Scheme,Explanation
271,"An electric heater has a constant resistance and is rated as 1.20kW, 230V. The heater is connected to a 230V supply by means of a cable that is 9.20m long, as illustrated in Fig. 8.1.  (DIAGRAM)  The two copper wires that make up the cable each have a circular cross-section of diameter 0.900 mm. The resistivity of copper is 1.70×10–8 Ω m.The current in the cable and heater is switched on. Determine, to three significant figures, the power dissipated in the heater.  power = .......................................... W [3]",current = 230 /44.6 power = (230 /44.6)2 × 44.1            = 1170W (allow full credit for solution based on potential divider) C1 C1 A1   [3],"The heater's resistance is calculated using \( R = \frac{V^2}{P} \):  
\( R = \frac{230^2}{1200} = 44.1 \, \Omega \).  

The cable has two copper wires. Each wire’s resistance is \( R = \frac{\rho L}{A} \):  
Radius \( r = \frac{0.900}{2} \times 10^{-3} = 4.50 \times 10^{-4} \, \text{m} \),  
Area \( A = \pi r^2 = \pi (4.50 \times 10^{-4})^2 = 6.36 \times 10^{-7} \, \text{m}^2 \),  
Resistance per wire \( = \frac{(1.70 \times 10^{-8})(9.20)}{6.36 \times 10^{-7}} = 0.246 \, \Omega \).  
Total cable resistance \( = 2 \times 0.246 = 0.492 \, \Omega \).  

Total circuit resistance \( = 44.1 + 0.492 = 44.6 \, \Omega \).  
Current \( I = \frac{230}{44.6} = 5.16 \, \text{A} \).  

Power in heater \( = I^2 R = (5.16)^2 \times 44.1 = 1170 \, \text{W} \).  

**power = 1170 W**  

[3]"
272,"An electric heater has a constant resistance and is rated as 1.20kW, 230V. The heater is connected to a 230V supply by means of a cable that is 9.20m long, as illustrated in Fig. 8.1.  (DIAGRAM)  The two copper wires that make up the cable each have a circular cross-section of diameter 0.900 mm. The resistivity of copper is 1.70×10–8 Ω m.Suggest two disadvantages of connecting the heater to the 230 V supply using a cable consisting of two thinner copper wires. 1. ........................................................................ 2. ........................................................................ [2]","e.g. less power dissipated in the heater / smaller p.d. across heater / more power loss in cable / current lower cable becomes heated / melts (any two sensible suggestions, 1 each, max 2)  B1 B1 [2]","1. The thinner wires have higher resistance, causing more power to be dissipated as heat in the cable itself (I²R loss), reducing efficiency and potentially overheating the cable.  
2. The increased cable resistance leads to a larger voltage drop (IR drop) across the cable, reducing the effective voltage across the heater and decreasing its power output.  

[2]"
273,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.For the thermistor at 22.5 ℃, calculate  the total resistance between points A and B on Fig. 6.2,  resistance = ......................................... Ω [2]","at 22.5 °C, RT = 1600Ω or 1.6kΩ total resistance = 800Ω C1 A1 [2]","At 22.5°C, the thermistor’s resistance \( R_T \) is 1600 Ω (from Fig. 6.1). In Fig. 6.2, the thermistor is connected in **parallel** with another resistor of equal value (1600 Ω).  

For parallel resistors:  
\[
\frac{1}{R_{\text{total}}} = \frac{1}{1600} + \frac{1}{1600} = \frac{2}{1600}  
\]  
\[
R_{\text{total}} = \frac{1600}{2} = 800 \, \Omega  
\]  

Total resistance between A and B is **800 Ω**."
274,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.For the thermistor at 22.5 ℃, calculate  the reading on the voltmeter.  voltmeter reading = ...........................V [2]",either use of potential divider formula  or current = 9 / 2000 (4.5mA) V = (0.8/2.0) × 9  or  V = (9/2000) × 800    = 3.6V                       = 3.6V C1  A1 [2],"To calculate the voltmeter reading when the thermistor is at 22.5°C:  
The total resistance in the circuit is the sum of the fixed resistor (1200 Ω) and the thermistor (800 Ω at 22.5°C), giving 2000 Ω. Using the potential divider formula:  
\( V = \left( \frac{800}{2000} \right) \times 9.0 = 3.6 \, \text{V} \).  
Alternatively, the current \( I = \frac{9.0}{2000} = 4.5 \, \text{mA} \), so \( V = 4.5 \times 10^{-3} \times 800 = 3.6 \, \text{V} \).  

**Voltmeter reading = 3.6 V**  
[2]"
275,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.The temperature of the thermistor is changed. The voltmeter now reads 4.0V. Determine  the total resistance between points A and B on Fig. 6.2,  resistance = ......................................... Ω [2]",total resistance = 4/5 × 1200 = 960 Ω C1 A1 [2],"The voltmeter reading of 4.0V is across the thermistor. The remaining 5.0V is across the fixed resistor (9.0V − 4.0V).  
Using the potential divider principle:  
\( \frac{V_{\text{thermistor}}}{V_{\text{fixed}}} = \frac{R_{\text{thermistor}}}{R_{\text{fixed}}} \).  
Substituting values:  
\( \frac{4.0}{5.0} = \frac{R_{\text{thermistor}}}{1200} \).  
Solving:  
\( R_{\text{thermistor}} = \frac{4}{5} \times 1200 = 960 \, \Omega \).  
Total resistance between A and B is **960 Ω**.  

[2]"
276,The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.The temperature of the thermistor is changed. The voltmeter now reads 4.0V. Determine  the temperature of the thermistor.  temperature = ......................................°C [2],"for parallel combination, 1/960 = 1/1600 + 1/RT RT = 2400Ω / 2.4kΩ temperature = 11°C  C1 A1 [2]","The voltmeter reading of 4.0V indicates the potential difference across the parallel combination of the thermistor \( R_T \) and a 1600Ω resistor. Using the voltage divider principle, the equivalent resistance \( R_{\text{parallel}} \) of these two components is calculated as follows:  
\[
\frac{1}{R_{\text{parallel}}} = \frac{1}{1600} + \frac{1}{R_T} \quad \Rightarrow \quad R_{\text{parallel}} = 960 \, \Omega.
\]  
Solving for \( R_T \):  
\[
R_T = 2400 \, \Omega \, (2.4 \, \text{k}\Omega).
\]  
From the given \( R_T \)-temperature graph (Fig. 6.1), \( R_T = 2400 \, \Omega \) corresponds to a temperature of **11°C**.  

Temperature = **11°C**.  

[2]"
277,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.A student suggests that the voltmeter, reading up to 10 V, could be calibrated to measure temperature. Suggest two disadvantages of using the circuit of Fig. 6.2 with this voltmeter for the measurement of temperature in the range 0 ℃ to 25℃. 1. .......................................................................... 2. .......................................................................... [2]","e.g. only small part of scale used / small sensitivity        non-linear (any two sensible suggestions, 1 each, max 2) B1 B1   [2]","1. The voltmeter's scale would only use a small portion (e.g., a narrow voltage range) over 0–25°C, resulting in low sensitivity and difficulty detecting small temperature changes.  
2. The relationship between temperature and voltage is non-linear due to the thermistor’s resistance-temperature characteristics, causing uneven calibration and reduced accuracy.  

[2]"
278,Distinguish between the electromotive force (e.m.f.) of a cell and the potential difference (p.d.) across a resistor. ........................................................................ [3],"both measure (energy / work) / charge for e.m.f., transfer of chemical energy to electrical energy for p.d., transfer of electrical energy to thermal energy / other forms B1 B1 B1 [3]","The electromotive force (e.m.f.) of a cell and the potential difference (p.d.) across a resistor both represent energy per unit charge. The e.m.f. refers to the energy transferred from chemical energy to electrical energy per unit charge within the cell. In contrast, the p.d. across a resistor represents the energy transferred from electrical energy to thermal energy (or other forms) per unit charge as charge flows through the resistor. 

[3]"
279,"Fig. 7.1. is an electrical circuit containing two cells of e.m.f. E1 and E2.  (DIAGRAM)  The cells are connected to resistors of resistance R1, R2 and R3 and the currents in the branches of the circuit are I1, I2 and I3, as shown.   Use Kirchhoff's first law to write down an expression relating I1, I2 and I3. .................................................................... [1]",I1 + I2 = I3 B1 [1],"Using Kirchhoff's first law (junction rule), the sum of currents entering a junction equals the sum leaving. At the junction where \( I_1 \), \( I_2 \), and \( I_3 \) meet, \( I_1 \) and \( I_2 \) are entering, while \( I_3 \) is leaving. Therefore:  
\( I_1 + I_2 = I_3 \).  

[1]"
280,"Fig. 7.1. is an electrical circuit containing two cells of e.m.f. E1 and E2.  (DIAGRAM)  The cells are connected to resistors of resistance R1, R2 and R3 and the currents in the branches of the circuit are I1, I2 and I3, as shown.   Use Kirchhoff's second law to write down an expression relating 1. E2, R2, R3, I2 and I3 in the loop XBCYX,  .................................................................... [1] 2. E1, E2, R1, R2, I1 and I2 in the loop AXYDA. .................................................................... [1]",1. E2 = I2R2 + I3R3 B1 [1] 2. E1 - E2 = I1R1 - I2R2 B1 [1],"1. For loop XBCYX:  
Applying Kirchhoff's second law, the sum of e.m.f.s equals the sum of potential differences. Traversing the loop clockwise, the e.m.f. \( E_2 \) is opposed by the p.d.s across \( R_2 \) and \( R_3 \). Since \( I_2 \) flows through \( R_2 \) and \( I_3 \) through \( R_3 \),  
\[ E_2 = I_2 R_2 + I_3 R_3 \]  

2. For loop AXYDA:  
Traversing the loop clockwise, \( E_1 \) is a forward e.m.f. while \( E_2 \) is a backward e.m.f. Current \( I_1 \) (through \( R_1 \)) aligns with the loop direction, but \( I_2 \) (through \( R_2 \)) opposes it. Thus,  
\[ E_1 - E_2 = I_1 R_1 - I_2 R_2 \]  

[2]"
281,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)  State, with a reason, whether the resistance of component C increases or decreases with increasing potential difference. .................................................................... [2]","resistance is ratio V/I (at a point)  either gradient increases or I increases more rapidly than V (If states R = reciprocal of gradient, then 0/2 marks here) B1 B1   [2]","The resistance of component C **decreases** with increasing potential difference.  

Resistance is given by \( R = \frac{V}{I} \) at any point on the I-V graph. As \( V \) increases, the graph shows that \( I \) increases **more rapidly** than \( V \) (e.g., the gradient \( \frac{dI}{dV} \) becomes steeper). Since \( I \) grows disproportionately compared to \( V \), the ratio \( \frac{V}{I} \) becomes smaller, meaning resistance decreases.  

[2]  

(Explanation: The upward-curving I-V graph indicates a non-Ohmic component. The steeper gradient at higher \( V \) implies \( I \) increases faster than \( V \), reducing \( R \).)"
282,Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)  Determine the resistance of component C at a potential difference of 4.0 V.   resistance = …………………….. Ω [2],current = 2.00 mA resistance = 2 000 Ω C1 A1 [2],"To determine the resistance at 4.0 V:  
From the graph, at **V = 4.0 V**, the corresponding **current I = 2.00 mA**.  
Convert current to amps: \( I = 2.00 \, \text{mA} = 0.00200 \, \text{A} \).  
Using \( R = \frac{V}{I} \):  
\( R = \frac{4.0}{0.00200} = 2000 \, \Omega \).  

Resistance = **2000 Ω**.  

[2]"
283,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)Component C is connected in parallel with a resistor R of resistance 1500 Ω and a battery of e.m.f. E and negligible internal resistance, as shown in Fig. 6.2.  (DIAGRAM)    On Fig. 6.1, draw a line to show the variation with potential difference V of the current I in resistor R. [2]  ","straight line from origin passing through (6.0 V, 4.0 mA)  (allow ½ square tolerance) M1 A1 [2]","To plot the I-V characteristic for resistor R:  
Using Ohm's Law, \( I = \frac{V}{R} \). For \( R = 1500 \, \Omega \):  
At \( V = 6.0 \, \text{V} \), \( I = \frac{6.0}{1500} = 0.004 \, \text{A} = 4.0 \, \text{mA} \).  

(DIAGRAM: Draw a straight line starting at the origin (0,0) and passing through the point (6.0 V, 4.0 mA). The line should have a constant positive slope, reflecting the linear relationship of an Ohmic resistor.)  

[2]"
284,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)Component C is connected in parallel with a resistor R of resistance 1500 Ω and a battery of e.m.f. E and negligible internal resistance, as shown in Fig. 6.2.  (DIAGRAM)    Hence, or otherwise, use Fig. 6.1 to determine the current in the battery for an e.m.f. of 2.0 V.  current = ……………………… A [2]",individual currents are 0.75 mA and 1/33 mA current in battery = 2.1 mA (allow argument in terms of P = I2R or IV)  C1 A1   [2],"To determine the total current from the battery at 2.0 V:  
1. **Current through resistor R**: Using Ohm’s Law, \( I_R = \frac{V}{R} = \frac{2.0}{1500} = 1.33 \, \text{mA} \).  
2. **Current through component C**: From Fig. 6.1 at \( V = 2.0 \, \text{V} \), \( I_C = 0.75 \, \text{mA} \).  
3. **Total current**: \( I_{\text{total}} = I_R + I_C = 1.33 + 0.75 = 2.1 \, \text{mA} \).  

**Answer**: 2.1 mA (0.0021 A).  

[2]"
285,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)The resistor R of resistance 1500 Ω and the component C are now connected in series across a supply of e.m.f. 7.0 V and negligible internal resistance. Using information from Fig. 6.1, state and explain which component, R or C, will dissipate thermal energy at a greater rate. .............................................................................. [3] ","same current in R and in C p.d. across C is larger than that across R so since power = VI, greater in C (allow argument in terms of P = I2R or IV) M1 M1 A1   [3]","The components R and C are in series, so the current I is the same through both. The total p.d. across them is 7.0 V, so \( V_R + V_C = 7.0 \, \text{V} \). For resistor R, \( V_R = IR = 1500I \). From the graph (Fig. 6.1), at this current I, the p.d. across component C (\( V_C \)) is greater than \( V_R \). Since power dissipated is \( P = VI \) and I is identical for both, the component with the larger p.d. (C) dissipates more thermal energy. 

**Answer:**  
Component C dissipates thermal energy at a greater rate. In the series circuit, the current is the same in both R and C. From the graph, the p.d. across C is larger than that across R. Since power \( P = VI \), and I is equal, the component with the higher p.d. (C) dissipates more power.  

[3]"
286,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.For the heater operating at 240 V,   show that the current in the heater is 5.0 A,  ",P = Vi  1200 = 240 × i  i = 5.0 C1 M1 A0 [4],"To show that the current is **5.0 A** when the heater operates at 240 V:  

Using the power equation \( P = VI \):  
\( 1.2 \, \text{kW} = 1200 \, \text{W} \).  
Rearranging for current \( I \):  
\( I = \frac{P}{V} = \frac{1200}{240} = 5.0 \, \text{A} \).  

The calculation confirms the current is **5.0 A**.  

[4]"
287,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.For the heater operating at 240 V,   calculate its resistance.   resistance=……………..Ω [4]",V = iR 240 = 5.0 × R R = 48Ω  C1 A1,"To calculate the resistance of the heater, use the power formula \( P = \frac{V^2}{R} \). Rearranging for resistance:  
\[
R = \frac{V^2}{P} = \frac{(240)^2}{1200} = \frac{57\,600}{1200} = 48 \, \Omega.  
\]  
Alternatively, calculate current \( I = \frac{P}{V} = \frac{1200}{240} = 5.0 \, \text{A} \), then apply Ohm’s law:  
\[
R = \frac{V}{I} = \frac{240}{5.0} = 48 \, \Omega.  
\]  
**Resistance = 48 Ω**"
288,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.The heater in (a) is connected to a mains supply by means of two long cables, as illustrated in Fig. 7.1.  (DIAGRAM)  The cables have a total resistance of 4.0 Ω. The voltage of the mains supply is adjusted so that the heater operates normally at 240V. Using your answers in (a), where appropriate, calculate  the potential difference across the cables,   potential difference = .......................................... V",p.d. = (5.0 × 4.0 =) 20 V A1 [3],"The heater operates normally at 240 V, 1.2 kW.  
Current \( I = \frac{P}{V} = \frac{1200}{240} = 5.0 \, \text{A} \).  

The cables have total resistance \( R = 4.0 \, \Omega \).  
Potential difference across cables:  
\( V_{\text{cables}} = I \times R = 5.0 \times 4.0 = 20 \, \text{V} \).  

**Potential difference = 20 V**  

[3]"
289,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.The heater in (a) is connected to a mains supply by means of two long cables, as illustrated in Fig. 7.1.  (DIAGRAM)  The cables have a total resistance of 4.0 Ω. The voltage of the mains supply is adjusted so that the heater operates normally at 240V. Using your answers in (a), where appropriate, calculate  the voltage of the mains supply,   voltage = ..................................................V",mains voltage = (240 + 20 =) 260 V A1,"The heater operates at 240 V with power 1.2 kW.  
Current \( I = \frac{P}{V} = \frac{1200}{240} = 5.0 \, \text{A} \).  
Voltage lost in cables: \( V_{\text{cables}} = IR = 5.0 \times 4.0 = 20 \, \text{V} \).  
Mains supply voltage = heater voltage + cable voltage = \( 240 + 20 = 260 \, \text{V} \).  

**Voltage = 260 V**"
290,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.The heater in (a) is connected to a mains supply by means of two long cables, as illustrated in Fig. 7.1.  (DIAGRAM)  The cables have a total resistance of 4.0 Ω. The voltage of the mains supply is adjusted so that the heater operates normally at 240V. Using your answers in (a), where appropriate, calculate  the power dissipated in the cables.   power dissipated = ......................................... W [3]",P = (20 × 5.0 =) 100 W A1,"The heater's resistance is calculated using \( R = \frac{V^2}{P} = \frac{240^2}{1200} = 48 \, \Omega \).  
The current through the heater (and cables) is \( I = \frac{P}{V} = \frac{1200}{240} = 5.0 \, \text{A} \).  
Power dissipated in the cables is \( P = I^2 R = 5.0^2 \times 4.0 = 25 \times 4.0 = 100 \, \text{W} \).  

Power dissipated = **100** W  

[3]"
291,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.Using information from (b), determine the efficiency e at which power is transferred from the supply to the heater. That is, calculate ε = power dissipated in heater / power input from supply.  efficiency = .................................................. [2]",power input = 1200 + 100 = 1300 W efficiency = 1200/1300 = 0.92 C1 A1 [2],"The efficiency ε is calculated as the ratio of power dissipated in the heater to the total power input. The heater dissipates **1200 W** (1.2 kW). Assuming a power loss of **100 W** from part (b), the total input power is **1200 + 100 = 1300 W**.  

Efficiency = 1200 / 1300 = **0.92** (or 92%).  

[2]"
292,"Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.  On Fig. 5.1, draw an arrow to indicate the direction of the electric field between plates A and B.  ",arrow from B towards A B1 [3],"(DIAGRAM: An arrow drawn perpendicular to the plates, starting from plate B and pointing towards plate A.)  
The electric field direction is from the higher potential (positive plate) to the lower potential (negative plate). Assuming the battery establishes plate B as positive and plate A as negative, the arrow points **from B to A**.  

[Correct direction shown as per the electric field convention.]"
293,Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.  Calculate the electric field strength between A and B.  field strength = ...........................N C–1 [3],E = V/d    = 450/(9.0 × 10-2)    = 5.0 × 103 N C-1 (accept 1 sig. fig)  C1 A1,"The electric field strength \( E \) is calculated using \( E = \frac{V}{d} \).  
Converting distance \( d = 9.0 \, \text{cm} = 0.090 \, \text{m} \):  
\[
E = \frac{450 \, \text{V}}{0.090 \, \text{m}} = 5.0 \times 10^3 \, \text{N C}^{-1}.
\]  
**Answer:** \( 5.0 \times 10^3 \, \text{N C}^{-1} \).  

[3]"
294,Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.An electron is released from rest at the surface of plate A.   Show that the change in electric potential energy in moving from plate A to plate B is 7.2 × 1017 J.  ,energy = qV or Eqd    = 1.6 × 10-19 × 450    = 7.2 × 10-17 J C1 A1 A0 [4],"The change in electric potential energy (ΔU) of the electron is calculated using ΔU = qV, where q is the charge of the electron and V is the potential difference.  

Substituting values:  
ΔU = (−1.6 × 10⁻¹⁹ C) × 450 V  
ΔU = −7.2 × 10⁻¹⁷ J  

The magnitude of the energy change is **7.2 × 10⁻¹⁷ J**, as required. The distance between the plates is not needed here because the potential difference (V) already accounts for the electric field over the distance.  

[4]"
295,Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.An electron is released from rest at the surface of plate A.   Determine the speed of the electron on reaching plate B.  speed = ............................................. m s–1 [4],Ek = ½mv2  7.2 × 10-17 = ½ × 9.1 × 10-31 × v2 v = 1.26 × 107 m s-1  C1 A1,"The electron accelerates due to the electric field between the plates. The work done by the field equals its kinetic energy gain.  

Work done = \( qV = (1.6 \times 10^{-19} \, \text{C})(450 \, \text{V}) = 7.2 \times 10^{-17} \, \text{J} \).  

Using \( \frac{1}{2}mv^2 = 7.2 \times 10^{-17} \):  
\( v^2 = \frac{2 \times 7.2 \times 10^{-17}}{9.1 \times 10^{-31}} = 1.58 \times 10^{14} \).  
\( v = \sqrt{1.58 \times 10^{14}} = 1.26 \times 10^7 \, \text{m s}^{-1} \).  

Speed = **1.26 × 10⁷ m s⁻¹**.  

[4]"
296,"Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.On the axes of Fig. 5.2, sketch a graphic show the variation with distance d from plate A of the speed v of the electron. [1]  (DIAGRAM) ","line from origin, curved in correct direction but not 'level out' B1 [1]","(DIAGRAM: A graph with distance d (from 0 to 9 cm) on the x-axis and speed v on the y-axis. The graph starts at the origin (0,0) and curves upwards with a decreasing slope, forming a concave-down curve. The curve increases continuously without flattening, as the electron accelerates uniformly across the plates.)  

The electron experiences a constant electric force \( F = qE \), leading to uniform acceleration \( a = \frac{qV}{md} \). Since \( v^2 = 2ad \) (from kinematics), \( v \propto \sqrt{d} \). The graph of \( v \) against \( d \) is therefore a curve starting at the origin, rising with decreasing gradient, and not levelling out within the 9 cm range.  

[1]"
297,"A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.Determine  the electromotive force (e.m.f.) of the battery,   e.m.f. = …………………………………….. V",e.m.f = energy / change = (1.6 × 105) / (1.8 × 104) = 8.9 V C1  A1 [4],"The e.m.f. of the battery is calculated using the formula:  
\[
\text{e.m.f.} = \frac{\text{Energy}}{\text{Charge}} = \frac{1.6 \times 10^5 \, \text{J}}{1.8 \times 10^4 \, \text{C}}.
\]  
Performing the division:  
\[
\frac{1.6}{1.8} \times 10^{5-4} = 0.888... \times 10^1 = 8.888... \, \text{V}.
\]  
Rounding to two significant figures gives **8.9 V**.  

The resistors (15 Ω and 45 Ω) and time (1.3 × 10⁵ s) are irrelevant here, as e.m.f. depends solely on energy and charge.  

**e.m.f. = 8.9 V**  
[4]"
298,A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.Determine  the average current in the circuit.   current = …………………………………….. A [4],current = ΔQ / Δt = (1.80 × 104) / (1.3 × 105) = 0.14 A C1  A1,"The average current is calculated using \( I = \frac{Q}{t} \).  
Given:  
\( Q = 1.8 \times 10^4 \, \text{C}, \quad t = 1.3 \times 10^5 \, \text{s} \).  
Substitute values:  
\( I = \frac{1.8 \times 10^4}{1.3 \times 10^5} = 0.138 \, \text{A} \).  
Rounded to two significant figures:  
**Current = 0.14 A**.  

[4]"
299,"A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.During the time for which the charge is moving, 1.1×105 J of energy is dissipated in the 45 Ω resistor.  Determine the energy dissipated in the 15 Ω resistor during the same time.  energy = …………………………………. J",energy ∝ R (or formula) energy = (15/45) × 1.14 × 105              = 3.7 × 104 J C1 C1 A1 [4],"The resistors are in series, so the current \( I \) is the same through both. Energy dissipated in a resistor is \( E = I^2Rt \). Since \( I \) and \( t \) are constant, \( E \propto R \). The ratio of resistances is \( \frac{15}{45} = \frac{1}{3} \). Thus, the energy in the 15 Ω resistor is:  
\( \frac{1}{3} \times 1.1 \times 10^5 = 3.7 \times 10^4 \, \text{J} \).  

energy = \(\boxed{3.7 \times 10^4}\) J"
300,"A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.During the time for which the charge is moving, 1.1×105 J of energy is dissipated in the 45 Ω resistor.  Suggest why the total energy provided is greater than that dissipated in the two resistors. ......................................................................... [4]",energy dissipated in internal resistance (of battery)  OR in extra resistance in circuit B1,"The total energy provided by the battery (1.6×10⁵ J) is the sum of energy dissipated in **all** resistances in the circuit. The 45 Ω resistor dissipates 1.1×10⁵ J, and the 15 Ω resistor dissipates I²Rt = (0.138 A)² × 15 Ω × 1.3×10⁵ s ≈ 3.7×10⁴ J. Combined, these total ≈1.47×10⁵ J. The remaining energy (≈1.3×10⁴ J) is dissipated in the **internal resistance** of the battery itself, which converts some electrical energy into heat due to the battery’s non-ideal nature. Thus, the total energy supplied exceeds the energy dissipated in the two external resistors.  

[4]"
301,Define potential difference (p.d.). ..............................................................................[1] , (from electrical to other forms) B1 [1],"Potential difference is the work done per unit charge in converting electrical energy into other forms of energy when charge moves between two points.  

[1]"
302,"A battery of electromotive force 20 V and zero internal resistance is connected in series with two resistors R1 and R2, as shown in Fig. 6.1.  (DIAGRAM)  The resistance of R2 is 600 Ω. The resistance of R1 is varied from 0 to 400 Ω. Calculate   the maximum p.d. across R2,   maximum p.d. = .............................................. V [1]",maximum 20V A1 [1],"The maximum potential difference across \( R_2 \) occurs when \( R_1 \) is minimised (0 Ω).  
In this case, the total resistance is \( R_2 = 600 \, \Omega \), and the full battery voltage appears across \( R_2 \).  
Thus, maximum p.d. across \( R_2 = 20 \, \text{V} \).  

**20 V**  
[1]"
303,"A battery of electromotive force 20 V and zero internal resistance is connected in series with two resistors R1 and R2, as shown in Fig. 6.1.  (DIAGRAM)  The resistance of R2 is 600 Ω. The resistance of R1 is varied from 0 to 400 Ω. Calculate   the minimum p.d. across R2.   minimum p.d. = .............................................. V [2]",minimum = (600 / 1000) × 20    = 12 V C1 A1 [2],"To find the minimum p.d. across R₂:  
The circuit is a series combination of R₁ (variable: 0–400 Ω) and R₂ (fixed: 600 Ω).  
The p.d. across R₂ is given by:  
\( V_2 = \left( \frac{R_2}{R_1 + R_2} \right) \times 20 \, \text{V} \).  

The minimum \( V_2 \) occurs when \( R_1 \) is **maximum** (400 Ω), as this minimises the fraction \( \frac{R_2}{R_1 + R_2} \).  
Substituting \( R_1 = 400 \, \Omega \):  
\( V_2 = \left( \frac{600}{400 + 600} \right) \times 20 = \frac{600}{1000} \times 20 = 12 \, \text{V} \).  

Minimum p.d. = **12 V**.  

[2]"
304,"A light-dependent resistor (LDR) is connected in parallel with R2, as shown in Fig. 6.2.  (DIAGRAM)  When the light intensity is varied, the resistance of the LDR changes from 5.0 kΩ to 1.2 kΩ.   For the maximum light intensity, calculate the total resistance of R2 and the LDR.  total resistance = ............................................. Ω [2]","use of 1.2kΩ 1/1200 + 1/600 = 1/R, R = 400Ω M1 A1 [2]","To calculate the total resistance of R₂ (600 Ω) and the LDR (1.2 kΩ = 1200 Ω) in parallel:  
Use the formula for parallel resistors:  
\[
\frac{1}{R_{\text{total}}} = \frac{1}{1200} + \frac{1}{600} = \frac{1}{1200} + \frac{2}{1200} = \frac{3}{1200} = \frac{1}{400}.
\]  
Thus, \( R_{\text{total}} = 400 \, \Omega \).  

Total resistance = **400** Ω.  

[2]"
