,Question,Mark Scheme,Explanation
83,"Negatively-charged particles are moving through a vacuum in a parallel beam. The particles have speed v. The particles enter a region of uniform magnetic field of flux density 930 μT. Initially, the particles are travelling at right-angles to the magnetic field. The path of a single particle is shown in Fig. 7.1.   (DIAGRAM)   The negatively-charged particles follow a curved path of radius 7.9 cm in the magnetic field.  A uniform electric field is then applied in the same region as the magnetic field. For an electric field strength of 12 kV m–1, the particles are undeviated as they pass through the region of the fields.On Fig. 7.1, mark with an arrow the direction of the electric field. [1]  ",arrow pointing up the page B1 [1],"(DIAGRAM) An arrow pointing upwards, perpendicular to the direction of the particle's motion and the magnetic field. Since the negatively charged particles are initially deflected by the magnetic field, the electric field must exert a force in the opposite direction to cancel it. The magnetic force direction (determined via the left-hand rule for negative charges) and the required electric field direction (upwards) ensure the net force is zero."
84,"Negatively-charged particles are moving through a vacuum in a parallel beam. The particles have speed v. The particles enter a region of uniform magnetic field of flux density 930 μT. Initially, the particles are travelling at right-angles to the magnetic field. The path of a single particle is shown in Fig. 7.1.   (DIAGRAM)   The negatively-charged particles follow a curved path of radius 7.9 cm in the magnetic field.  A uniform electric field is then applied in the same region as the magnetic field. For an electric field strength of 12 kV m–1, the particles are undeviated as they pass through the region of the fields.Calculate, for the negatively-charged particles,  the speed v,  v = ....................................... m s–1 [3]",Eq = Bqv v = (12 × 103) / (930 × 10–6)     = 1.3 × 107 m s–1 C1 C1 A1 [3],"v = E / B  
= (12 × 10³) / (930 × 10⁻⁶)  
= 1.3 × 10⁷ m s⁻¹"
85,"Negatively-charged particles are moving through a vacuum in a parallel beam. The particles have speed v. The particles enter a region of uniform magnetic field of flux density 930 μT. Initially, the particles are travelling at right-angles to the magnetic field. The path of a single particle is shown in Fig. 7.1.   (DIAGRAM)   The negatively-charged particles follow a curved path of radius 7.9 cm in the magnetic field.  A uniform electric field is then applied in the same region as the magnetic field. For an electric field strength of 12 kV m–1, the particles are undeviated as they pass through the region of the fields.Calculate, for the negatively-charged particles,  the ratio  (DIAGRAM)   ratio = .................................... C kg–1 [3]",Bqv = mv2 / r q/m = (1.3 × 107) / (7.9 × 10–2 × 930 × 10–6) = 1.8 × 1011 C kg–1 C1 C1 A1 [3],"The charge-to-mass ratio \( \frac{q}{m} \) can be found using the balance of electric and magnetic forces. When undeviated, \( Eq = Bqv \) ⇒ \( v = \frac{E}{B} \). Substituting \( v \) into \( \frac{q}{m} = \frac{v}{Br} \) gives \( \frac{q}{m} = \frac{E}{B^2 r} \).

Plugging in values:
- \( E = 12 \times 10^3 \, \text{V/m} \)
- \( B = 930 \times 10^{-6} \, \text{T} \)
- \( r = 7.9 \times 10^{-2} \, \text{m} \)

\[
\frac{q}{m} = \frac{12 \times 10^3}{(930 \times 10^{-6})^2 \times 7.9 \times 10^{-2}} = 1.8 \times 10^{11} \, \text{C kg}^{-1}
\]

ratio = \( 1.8 \times 10^{11} \, \text{C kg}^{-1} \)"
86,"A proton of mass m and charge +q is travelling through a vacuum in a straight line with speed v. It enters a region of uniform magnetic field of magnetic flux density B, as shown in Fig. 4.1.  (DIAGRAM)  The magnetic field is normal to the direction of motion of the proton.Explain why the path of the proton in the magnetic field is an arc of a circle. ........................................................................[2]",force on proton is normal to velocity and field provides centripetal force (for circular motion) M1 A1 [2],"The magnetic force acting on the proton is perpendicular to its velocity. Since the force provides a centripetal acceleration, it continuously changes the direction of the proton’s motion without altering its speed. This results in the proton following a circular path. The observed arc occurs because the proton only travels through a section of the magnetic field before exiting, tracing part of the full circle."
87,"A proton of mass m and charge +q is travelling through a vacuum in a straight line with speed v. It enters a region of uniform magnetic field of magnetic flux density B, as shown in Fig. 4.1.  (DIAGRAM)  The magnetic field is normal to the direction of motion of the proton.The angular speed of the proton in the magnetic field is ω. Derive an expression for ω in terms of B, q and m. [4]",magnetic force = Bqv centripetal force = mrω2 or mv2/r v = rω Bqv = Bqrω = mrω2 ω = Bq/m B1 B1 B1  A1 [4],"The magnetic force acting on the proton provides the centripetal force for circular motion. Equating the two forces:  
Bqv = m(v²⁄r).  
Since the linear speed v is related to angular speed ω by v = rω, substitute this into the equation:  
Bq(rω) = m(rω)²⁄r.  
Simplifying the right-hand side:  
Bqrω = mrω².  
Cancelling rω from both sides gives:  
Bq = mω.  
Rearranging for ω:  
ω = Bq⁄m."
88,"A stiff straight copper wire XY is held fixed in a uniform magnetic field of flux density 2.6 × 10−3 T, as shown in Fig. 6.1.  (DIAGRAM)  The wire XY has length 4.7 cm and makes an angle of 34° with the magnetic field.Calculate the force on the wire due to a constant current of 5.4 A in the wire.  force = ..................................................... N [2]",F = BILsinθ   = 2.6 × 10–3 × 5.4 × 4.7 × 10–2 × sin 34°   = 3.69 × 10–4N (allow 1 mark for use of cos 34°) C1  A1   [2],"force = BILsinθ  
= 2.6 × 10⁻³ × 5.4 × 4.7 × 10⁻² × sin34°  
= 2.6 × 10⁻³ × 5.4 × 0.047 × 0.559  
= 3.69 × 10⁻⁴ N  

force = 3.7 × 10⁻⁴ N [2]"
89,"A stiff straight copper wire XY is held fixed in a uniform magnetic field of flux density 2.6 × 10−3 T, as shown in Fig. 6.1.  (DIAGRAM)  The wire XY has length 4.7 cm and makes an angle of 34° with the magnetic field.The current in the wire is now changed to an alternating current of r.m.s. value 1.7 A. Determine the total variation in the force on the wire due to the alternating current.  variation in force = .............................. N [3]",peak current = 1.7 × √2   = 2.4A C1 [3] max. force = 2.6 × 10–3 × 2.4 × 4.7 × 10–2 × sin 34°   = 1.64 × 10–4N C1 variation = 2 × 1.64 × 10–4   = 3.3 × 10–4N A1,"The total variation in force is calculated by first determining the peak current from the r.m.s. value:  
\( I_{\text{peak}} = 1.7 \times \sqrt{2} = 2.4 \, \text{A} \).  

The maximum force on the wire is:  
\( F_{\text{max}} = B I_{\text{peak}} L \sin \theta = 2.6 \times 10^{-3} \times 2.4 \times 4.7 \times 10^{-2} \times \sin 34^\circ \).  
Calculating \( \sin 34^\circ \approx 0.559 \):  
\( F_{\text{max}} = 2.6 \times 10^{-3} \times 2.4 \times 0.047 \times 0.559 = 1.64 \times 10^{-4} \, \text{N} \).  

The total variation is twice the maximum force (from \( +F_{\text{max}} \) to \( -F_{\text{max}} \)):  
\( \text{Variation} = 2 \times 1.64 \times 10^{-4} = 3.3 \times 10^{-4} \, \text{N} \).  

variation in force = **3.3 × 10⁻⁴** N [3]"
90,"State the type of field, or fields, that may cause a force to be exerted on a particle that is  uncharged and moving, ......................................................................... [1]",gravitational B1 [1],gravitational	B1 [1]
91,"State the type of field, or fields, that may cause a force to be exerted on a particle that is  charged and stationary, ......................................................................... [1]",gravitational and electric B1 [1],gravitational and electric
92,"State the type of field, or fields, that may cause a force to be exerted on a particle that is  charged and moving at right-angles to the field. ......................................................................... [2]","magnetic and one other field given magnetic, graviational and electric B1 B1 [2]","magnetic and electric  
magnetic and gravitational"
93,"A particle X has mass 3.32×10−26 kg and charge +1.60×10−19 C. The particle is travelling in a vacuum with speed 7.60×104 m s−1. It enters a region of uniform magnetic field that is normal to the direction of travel of the particle. The particle travels in a semicircle of diameter 12.2 cm, as shown in Fig. 6.1.  (DIAGRAM)  For the uniform magnetic field,  state its direction, ........................................................................ [1]","out of (plane of) paper/page (not ""upwards"")  B1 [1]","The direction of the magnetic field is out of the plane of the paper. 

(Using the right-hand rule for a positive charge: the particle’s initial velocity is tangential to the semicircle, and the centripetal force towards the centre of the semicircle requires the magnetic field to be directed perpendicularly out of the page.)"
94,"A particle X has mass 3.32×10−26 kg and charge +1.60×10−19 C. The particle is travelling in a vacuum with speed 7.60×104 m s−1. It enters a region of uniform magnetic field that is normal to the direction of travel of the particle. The particle travels in a semicircle of diameter 12.2 cm, as shown in Fig. 6.1.  (DIAGRAM)  For the uniform magnetic field,  calculate the magnetic flux density.  magnetic flux density = ................................... T [3]",B = mv /qr    = (3.32 × 10–26 × 7.6 × 104)/(1.6 × 10–19 × 6.1 × 10–2)    = 0.26 T C1 C1 A1 [3],"The magnetic flux density can be calculated using the formula \( B = \frac{mv}{qr} \).  
Given:  
\( m = 3.32 \times 10^{-26} \, \text{kg}, \, v = 7.60 \times 10^{4} \, \text{m/s}, \, q = 1.60 \times 10^{-19} \, \text{C}, \, \text{diameter} = 12.2 \, \text{cm} \).  
Radius \( r = \frac{12.2}{2} = 6.1 \, \text{cm} = 0.061 \, \text{m} \).  

Substitute into the formula:  
\( B = \frac{(3.32 \times 10^{-26})(7.60 \times 10^{4})}{(1.60 \times 10^{-19})(0.061)} \).  

Calculate numerator:  
\( 3.32 \times 7.60 = 25.232 \Rightarrow 25.232 \times 10^{-22} \).  

Calculate denominator:  
\( 1.60 \times 0.061 = 0.0976 \Rightarrow 0.0976 \times 10^{-19} \).  

Divide:  
\( \frac{25.232 \times 10^{-22}}{0.0976 \times 10^{-19}} = 258.5 \times 10^{-3} = 0.2585 \, \text{T} \).  

Rounded to two significant figures:  
**Magnetic flux density = 0.26 T**."
95,"A second particle Y has mass less than that of particle X in (b) and the same charge. It enters the region of uniform magnetic field in (b) with the same speed and along the same initial path as particle X. On Fig. 6.1, draw the path of particle Y in the region of the magnetic field. [1]",sketch: semicircle with diameter < 12.2cm  B1 [1],"The path of particle Y is a semicircle with a smaller diameter than that of particle X. Since Y has less mass but the same charge and speed, its radius of curvature in the magnetic field is smaller (r ∝ m). The direction of deflection remains the same as X (same charge). (DIAGRAM: Draw a semicircle inside the original path of X, curving in the same direction but with a reduced radius, resulting in a diameter less than 12.2 cm.)"
96,Define potential at a point in an electric field. [2]  ,work done in moving unit (positive) charge from infinity to the point and charge is positive M1 A1 [2],The potential at a point in an electric field is defined as the work done in moving a unit positive charge from infinity to that point. The charge moved is positive.
97,"An isolated metal sphere of radius r carries a charge +Q. The charge may be assumed to be concentrated at the centre of the sphere.  [3]  State, in terms of r and Q, the electric potential V at the surface of the sphere. Identify any other symbols you use.",V = Q/4πε0r  where ε0 is permittivity (of free space) B1 [3],"The electric potential \( V \) at the surface of the sphere is given by  
\( V = \frac{Q}{4\pi \varepsilon_0 r} \),  
where \( \varepsilon_0 \) is the permittivity of free space."
98,"An isolated metal sphere of radius r carries a charge +Q. The charge may be assumed to be concentrated at the centre of the sphere.  [3]  Write down the relationship between capacitance C, charge Q and potential V.",C = Q/V B1,C = Q/V
99,An isolated metal sphere of radius r carries a charge +Q. The charge may be assumed to be concentrated at the centre of the sphere.  [3]  Hence show that the capacitance C of the sphere is given by C = 4πε0r.  ,hence C = 4πε0r B1,"The capacitance \( C \) is defined as the charge \( Q \) stored per unit potential \( V \), so \( C = \frac{Q}{V} \). For an isolated metal sphere, the potential \( V \) at its surface is given by \( V = \frac{Q}{4\pi \varepsilon_0 r} \), where \( r \) is the radius. Substituting this into \( C \):  
\[
C = \frac{Q}{\frac{Q}{4\pi \varepsilon_0 r}} = 4\pi \varepsilon_0 r.
\]
Thus, the capacitance of the sphere is \( C = 4\pi \varepsilon_0 r \)."
100,"The sphere in (b) has a radius of 15 cm and carries a charge of 2.0 × 10–6C. [4] Calculate   the capacitance of the sphere,",C = 4π × 8.85 × 10–11 × 0.15    = 1.67 × 10–5 µF B1 [4],"The capacitance of the sphere can be calculated using the formula \( C = 4\pi\epsilon_0 r \).  
Substituting \( \epsilon_0 = 8.85 \times 10^{-12} \, \text{F/m} \) and radius \( r = 0.15 \, \text{m} \):  
\( C = 4 \times 3.1416 \times 8.85 \times 10^{-12} \times 0.15 \).  
Calculating: \( 4 \times 3.1416 = 12.566 \),  
\( 12.566 \times 8.85 \times 10^{-12} = 1.112 \times 10^{-10} \),  
\( 1.112 \times 10^{-10} \times 0.15 = 1.67 \times 10^{-11} \, \text{F} \).  
Converting to microfarads: \( 1.67 \times 10^{-11} \, \text{F} = 1.67 \times 10^{-5} \, \mu\text{F} \).  

**Capacitance = \( 1.67 \times 10^{-5} \, \mu\text{F} \).**"
101,The sphere in (b) has a radius of 15 cm and carries a charge of 2.0 × 10–6C. [4] Calculate   the energy stored on the sphere.,energy = ½CV2  or  ½QV potential = (2.0 × 10–6) / (1.67 × 10–11) = 1.2 × 105 V energy = ½ × 1.67 × 10–11 × (1.2 × 105)2             = 0.12 J C1 C1  A1,"The capacitance of the sphere is calculated using \( C = 4\pi\epsilon_0 r \). Substituting \( \epsilon_0 = 8.85 \times 10^{-12} \, \text{Fm}^{-1} \) and \( r = 0.15 \, \text{m} \):  
\[
C = 4\pi \times 8.85 \times 10^{-12} \times 0.15 = 1.67 \times 10^{-11} \, \text{F}.
\]  
The potential \( V \) is found using \( V = \frac{Q}{C} \):  
\[
V = \frac{2.0 \times 10^{-6}}{1.67 \times 10^{-11}} = 1.2 \times 10^{5} \, \text{V}.
\]  
Energy stored is calculated with \( E = \frac{1}{2} QV \):  
\[
E = \frac{1}{2} \times 2.0 \times 10^{-6} \times 1.2 \times 10^{5} = 0.12 \, \text{J}.
\]  
Final answer: **0.12 J**."
102,  State what is meant by electric potential at a point. ................................................................. [2],work done moving unit positive charge from infinity to the point M1 A1 [2],The electric potential at a point is the work done per unit positive charge to move it from infinity to that point.
103,  Define capacitance. .................................................................. [1],charge / potential (difference)  (ratio must be clear) B1 [1],Capacitance is the ratio of the charge stored on a conductor to the potential difference across it.
104,"The variation of the potential V of an isolated metal sphere with charge Q on its surface is shown in Fig. 4.1.  (DIAGRAM)  An isolated metal sphere has capacitance.  Use Fig. 4.1 to determine   the capacitance of the sphere,  capacitance = ...................................... F [2]",capacitance = (2.7 × 10–6) / (150 × 103) (allow any appropriate values) capacitance = 1.8 × 10–11   (allow 1.8 ±0.05) C1  A1 [2],"The capacitance is found using C = Q/V. From the graph, when Q = 2.7 × 10⁻⁶ C, the corresponding V is 150 × 10³ V. Substituting these values: C = (2.7 × 10⁻⁶) / (150 × 10³) = 1.8 × 10⁻¹¹ F. The unit is farads (F)."
105,The variation of the potential V of an isolated metal sphere with charge Q on its surface is shown in Fig. 4.1.  (DIAGRAM)  An isolated metal sphere has capacitance.  Use Fig. 4.1 to determine   the electric potential energy stored on the sphere when charged to a potential of 150 kV.  energy = ............................................. J [2],either energy = ½CV2  or  energy = ½QV  and  Q = CV energy = ½ × 1.8 × 10–11 × (150 × 103)2 or ½ × 2.7 × 10–6 × 150 × 103    = 0.20 J C1  A1 [2],"The energy stored can be calculated using \( E = \frac{1}{2}CV^2 \). From the graph, the capacitance \( C \) is determined by \( C = \frac{Q}{V} \). At \( V = 150 \, \text{kV} \), \( Q = 2.7 \times 10^{-6} \, \text{C} \), so \( C = \frac{2.7 \times 10^{-6}}{150 \times 10^3} = 1.8 \times 10^{-11} \, \text{F} \). Substituting into \( E = \frac{1}{2} \times 1.8 \times 10^{-11} \times (150 \times 10^3)^2 = 0.20 \, \text{J} \). 

energy = 0.20 J [2]"
106,A spark reduces the potential of the sphere from 150 kV to 75 kV. Calculate the energy lost from the sphere.  energy = ............................................. J [2],"either  since energy ∝ V2, capacitor has (½)2 of its energy left or  full formula treatment energy lost = 0.15 J C1 A1 [2]","energy lost = ½ C (V₁² - V₂²)  
= 0.5 × 7.0×10⁻¹¹ × (150,000² - 75,000²)  
= 0.5 × 7.0×10⁻¹¹ × (2.25×10¹⁰ - 5.625×10⁹)  
= 0.5 × 7.0×10⁻¹¹ × 1.6875×10¹⁰  
= 0.5 × 1.18125  
= 0.15 J"
107,"A sinusoidal alternating voltage supply is connected to a bridge rectifier consisting of four ideal diodes. The output of the rectifier is connected to a resistor R and a capacitor C as shown in Fig. 6.1.  (DIAGRAM)  The function of C is to provide some smoothing to the potential difference across R. The variation with time t of the potential difference V across the resistor R is shown in Fig. 6.2.  (DIAGRAM)Use Fig. 6.2 to determine, for the alternating supply,  the peak voltage,  peak voltage = ............................................. V [1]",peak voltage = 4.0V A1 [1],"The peak voltage can be determined from the maximum value of the potential difference \( V \) shown on the graph in Fig. 6.2. The highest point reached by the smoothed waveform corresponds to the peak voltage of the alternating supply. From the graph, the maximum \( V \) is 4.0 V. Since the diodes are ideal (no voltage loss), this is the peak voltage of the supply. 

peak voltage = 4.0 V"
108,"A sinusoidal alternating voltage supply is connected to a bridge rectifier consisting of four ideal diodes. The output of the rectifier is connected to a resistor R and a capacitor C as shown in Fig. 6.1.  (DIAGRAM)  The function of C is to provide some smoothing to the potential difference across R. The variation with time t of the potential difference V across the resistor R is shown in Fig. 6.2.  (DIAGRAM)Use Fig. 6.2 to determine, for the alternating supply,  the root-mean-square (r.m.s.) voltage,  r.m.s. voltage = ............................................. V [1]",r.m.s. voltage (= 4.0/√2) = 2.8V A1 [1],"The peak voltage from the rectified output is 4.0 V. Since the r.m.s. voltage of the original sinusoidal supply is V₀/√2, where V₀ is the peak voltage, we calculate 4.0/√2 = 2.8 V. Therefore, the r.m.s. voltage is 2.8 V. 

r.m.s. voltage = 2.8 V [1]"
109,"A sinusoidal alternating voltage supply is connected to a bridge rectifier consisting of four ideal diodes. The output of the rectifier is connected to a resistor R and a capacitor C as shown in Fig. 6.1.  (DIAGRAM)  The function of C is to provide some smoothing to the potential difference across R. The variation with time t of the potential difference V across the resistor R is shown in Fig. 6.2.  (DIAGRAM)Use Fig. 6.2 to determine, for the alternating supply,  the frequency. Show your working.  frequency = ........................................... Hz [2] ",period T = 20 ms frequency = 1 / (20 × 10–3) frequency = 50Hz M1 M1 A0 [2],"From Fig. 6.2, the time between two consecutive peaks of the unsmoothed output is 20 ms. The period \( T \) of the alternating supply is 20 ms.  
Frequency \( f = \frac{1}{T} = \frac{1}{20 \times 10^{-3}} = 50 \, \text{Hz} \).  

\( \text{frequency} = 50 \, \text{Hz} \)"
110,"A sinusoidal alternating voltage supply is connected to a bridge rectifier consisting of four ideal diodes. The output of the rectifier is connected to a resistor R and a capacitor C as shown in Fig. 6.1.  (DIAGRAM)  The function of C is to provide some smoothing to the potential difference across R. The variation with time t of the potential difference V across the resistor R is shown in Fig. 6.2.  (DIAGRAM)The capacitor C has capacitance 5.0 μF. For a single discharge of the capacitor through the resistor R, use Fig. 6.2 to   determine the change in potential difference,  change = ............................................. V [1]",change = 4.0 – 2.4 = 1.6V A1 [1],"The change in potential difference is found by subtracting the minimum voltage from the maximum voltage during one discharge cycle observed in Fig. 6.2. From the graph, the maximum V is 4.0 V and the minimum V is 2.4 V. Therefore, the change is 4.0 V − 2.4 V = 1.6 V. 

change = 1.6 V [1]"
111,"A sinusoidal alternating voltage supply is connected to a bridge rectifier consisting of four ideal diodes. The output of the rectifier is connected to a resistor R and a capacitor C as shown in Fig. 6.1.  (DIAGRAM)  The function of C is to provide some smoothing to the potential difference across R. The variation with time t of the potential difference V across the resistor R is shown in Fig. 6.2.  (DIAGRAM)The capacitor C has capacitance 5.0 μF. For a single discharge of the capacitor through the resistor R, use Fig. 6.2 to   determine the change in charge on each plate of the capacitor,  change = ............................................ C [2]",∆Q = C∆V or Q = CV    = 5.0 × 10–6 × 1.6 = 8.0 × 10–6C C1 A1 [2],"The change in charge is calculated using ΔQ = CΔV. From the graph, the potential difference decreases by 1.6 V during discharge. Substituting C = 5.0 × 10⁻⁶ F and ΔV = 1.6 V gives ΔQ = (5.0 × 10⁻⁶)(1.6) = 8.0 × 10⁻⁶ C. 

change = 8.0 × 10⁻⁶ C [2]"
112,"A sinusoidal alternating voltage supply is connected to a bridge rectifier consisting of four ideal diodes. The output of the rectifier is connected to a resistor R and a capacitor C as shown in Fig. 6.1.  (DIAGRAM)  The function of C is to provide some smoothing to the potential difference across R. The variation with time t of the potential difference V across the resistor R is shown in Fig. 6.2.  (DIAGRAM)The capacitor C has capacitance 5.0 μF. For a single discharge of the capacitor through the resistor R, use Fig. 6.2 to   show that the average current in the resistor is 1.1 × 10–3 A. [2]",discharge time = 7ms current = (8.0 × 10–6) / (7.0 × 10–3)             = 1.1(4) × 10–3A C1 M1 A0 [2],"The average current is calculated using \( I = \frac{\Delta Q}{\Delta t} \). From the graph, the discharge time \( \Delta t \) is 7 ms. The charge \( \Delta Q \) discharged is found using \( \Delta Q = C \Delta V \). With \( C = 5.0 \, \mu\text{F} \) and \( \Delta V = 1.6 \, \text{V} \) (from the graph), \( \Delta Q = 5.0 \times 10^{-6} \times 1.6 = 8.0 \times 10^{-6} \, \text{C} \). Thus, \( I = \frac{8.0 \times 10^{-6}}{7.0 \times 10^{-3}} = 1.1 \times 10^{-3} \, \text{A} \)."
113,A sinusoidal alternating voltage supply is connected to a bridge rectifier consisting of four ideal diodes. The output of the rectifier is connected to a resistor R and a capacitor C as shown in Fig. 6.1.  (DIAGRAM)  The function of C is to provide some smoothing to the potential difference across R. The variation with time t of the potential difference V across the resistor R is shown in Fig. 6.2.  (DIAGRAM)Use Fig. 6.2 and the value of the current given in (b)(iii) to estimate the resistance of resistor R.  resistance = ............................................. Ω [2],average p.d. = 3.2V resistance = 3.2 / (1.1 × 10–3)                 = 2900Ω (allow 2800Ω) C1  A1 [3],"The average potential difference across R from Fig. 6.2 is 3.2 V. Using Ohm’s law, R = V/I = 3.2 / (1.1 × 10⁻³) = 2909 Ω ≈ 2900 Ω. 

resistance = ............................................. 2900 Ω [2]"
114,"Two point charges A and B each have a charge of + 6.4 × 10–19 C. They are separated in a vacuum by a distance of 12.0 μm, as shown in Fig. 4.1.  (DIAGRAM)  Points P and Q are situated on the line AB. Point P is 3.0 μm from charge A and point Q is 3.0 μm from charge B.Calculate the force of repulsion between the charges A and B.        force = .......................................... N [3]  ",force = q1q2 / 4πε0x2  = (6.4 × 10–19)2 / (4π × 8.85 × 10–12 × {12 × 10–6}2)   = 2.56 × 10–17 N C1 C1 A1 [3],"force = (6.4 × 10⁻¹⁹)² / (4π × 8.85 × 10⁻¹² × (12 × 10⁻⁶)²  
= (40.96 × 10⁻³⁸) / (4π × 8.85 × 10⁻¹² × 144 × 10⁻¹²)  
= 40.96 × 10⁻³⁸ / (1.602 × 10⁻²⁰)  
= 2.56 × 10⁻¹⁷ N  

force = 2.56 × 10⁻¹⁷ N [3]"
115,"Two point charges A and B each have a charge of + 6.4 × 10–19 C. They are separated in a vacuum by a distance of 12.0 μm, as shown in Fig. 4.1.  (DIAGRAM)  Points P and Q are situated on the line AB. Point P is 3.0 μm from charge A and point Q is 3.0 μm from charge B.Explain why, without any calculation, when a small test charge is moved from point P to point Q, the net work done is zero.  .......................................................................................................................................... .......................................................................................................................................... .................................................................................................................................... [2]  ",potential at P is same as potential at Q  work done = q∆V  ∆V = 0 so zero work done  B1 M1 A0 [2],"The two charges are identical and the points P and Q are symmetrically positioned relative to the charges. The potential at P due to charge A (at 3.0 μm) and charge B (at 9.0 μm) is equal to the potential at Q due to charge B (at 3.0 μm) and charge A (at 9.0 μm). Since the potential at P equals the potential at Q, the potential difference ∆V between them is zero. Work done is given by W = q∆V, so when ∆V = 0, the net work done is zero."
116,"Two point charges A and B each have a charge of + 6.4 × 10–19 C. They are separated in a vacuum by a distance of 12.0 μm, as shown in Fig. 4.1.  (DIAGRAM)  Points P and Q are situated on the line AB. Point P is 3.0 μm from charge A and point Q is 3.0 μm from charge B.Calculate the work done by an electron in moving from the midpoint of line AB to point P.        work done = ........................................... J [4]","at midpoint, potential is 2 × (6.4 × 10–19) / (4πε0 × 6 × 10–6) at P, potential is (6.4 × 10–19) / (4πε0 × 3 × 10–6) + (6.4 × 10–19) / (4πε0 × 9 × 10–6) change in potential = (6.4 × 10–19) / (4πε0 × 9 × 10–6) energy = 1.6 × 10–19 × (6.4 × 10–19) / (4πε0 × 9 × 10–6)  = 1.0 × 10–22 J C1 C1  C1 A1 [4]","The work done is calculated by finding the potential difference between the midpoint and point P, then multiplying by the electron's charge.  

The potential at the midpoint (6.0 μm from each charge) is:  
V_mid = 2 × (k × 6.4 × 10⁻¹⁹)/(6.0 × 10⁻⁶) = (2 × 8.99 × 10⁹ × 6.4 × 10⁻¹⁹)/(6.0 × 10⁻⁶) = 1.918 × 10⁻⁴ V.  

At point P (3.0 μm from A and 9.0 μm from B), the potential is:  
V_P = (k × 6.4 × 10⁻¹⁹)/(3.0 × 10⁻⁶) + (k × 6.4 × 10⁻¹⁹)/(9.0 × 10⁻⁶)  
= (8.99 × 10⁹ × 6.4 × 10⁻¹⁹)/(3.0 × 10⁻⁶) + (8.99 × 10⁹ × 6.4 × 10⁻¹⁹)/(9.0 × 10⁻⁶)  
= 1.918 × 10⁻⁴ V + 6.393 × 10⁻⁵ V = 2.557 × 10⁻⁴ V.  

Potential difference: ΔV = V_P − V_mid = (2.557 − 1.918) × 10⁻⁴ = 6.39 × 10⁻⁵ V.  

Work done by the electron:  
W = e × ΔV = (1.6 × 10⁻¹⁹ C) × (6.4 × 10⁻¹⁹)/(4πε₀ × 9.0 × 10⁻⁶)  
= 1.6 × 10⁻¹⁹ × (6.4 × 10⁻¹⁹)/(8.99 × 10⁹ × 9.0 × 10⁻⁶)  
= 1.0 × 10⁻²² J.  

work done = **1.0 × 10⁻²²** J [4]"
117,Define electric potential at a point. ...............................................................................[2],work done in bringing unit positive charge from infinity (to that point) M1 A1 [2],The electric potential at a point is the work done in bringing a unit positive charge from infinity to that point.
118,"Two small spherical charged particles P and Q may be assumed to be point charges located at their centres. The particles are in a vacuum. Particle P is fixed in position. Particle Q is moved along the line joining the two charges, as illustrated in Fig. 4.1.  (DIAGRAM)  The variation with separation x of the electric potential energy EP of particle Q is shown in Fig. 4.2.  (DIAGRAM)    State how the magnitude of the electric field strength is related to potential gradient. ...........................................................................[1]",field strength is potential gradient B1  ,The magnitude of the electric field strength is equal to the potential gradient.
119,"Two small spherical charged particles P and Q may be assumed to be point charges located at their centres. The particles are in a vacuum. Particle P is fixed in position. Particle Q is moved along the line joining the two charges, as illustrated in Fig. 4.1.  (DIAGRAM)  The variation with separation x of the electric potential energy EP of particle Q is shown in Fig. 4.2.  (DIAGRAM)    Use your answer in (i) to show that the force on particle Q is proportional to the gradient of the curve of Fig. 4.2. ...........................................................................[2]",field strength proportional to force (on particle Q) potential gradient proportional to gradient of (potential energy) graph so force is proportional to the gradient of the graph B1 B1 A0 [2],"The force on particle Q is equal to the negative gradient of its electric potential energy, since \( F = -\frac{dE_P}{dx} \). Therefore, the force is directly proportional to the gradient of the \( E_P \)-x curve, with the negative sign indicating the direction of the force opposes the increase in potential energy."
120,The magnitude of the charge on each of the particles P and Q is 1.6 × 10–19 C. Calculate the separation of the particles at the point where particle Q has electric potential energy equal to –5.1 eV.  separation = ............................................ m [4],energy = 5.1 × 1.6 × 10–19 (J) potential energy = Q1Q2 / 4πε0r 5.1 × 1.6 × 10–19 = (1.6 × 10–19)2 / 4π × 8.85 × 10–12 × r r = 2.8 × 10–10m C1 C1 C1 A1 [4],"The electric potential energy (U) is given by \( U = \frac{Q_1 Q_2}{4\pi \varepsilon_0 r} \). Converting \(-5.1 \, \text{eV}\) to joules:  
\( U = 5.1 \times 1.6 \times 10^{-19} \, \text{J} = 8.16 \times 10^{-19} \, \text{J} \).  

Rearranging for \( r \):  
\( r = \frac{(1.6 \times 10^{-19})^2}{4\pi \varepsilon_0 \times 8.16 \times 10^{-19}} \).  

Substituting \( \varepsilon_0 = 8.85 \times 10^{-12} \, \text{F m}^{-1} \):  
\( r = \frac{2.56 \times 10^{-38}}{4\pi \times 8.85 \times 10^{-12} \times 8.16 \times 10^{-19}} \).  

Calculating denominator:  
\( 4\pi \times 8.85 \times 8.16 \times 10^{-31} \approx 907.5 \times 10^{-31} = 9.075 \times 10^{-29} \).  

Thus, \( r = \frac{2.56 \times 10^{-38}}{9.075 \times 10^{-29}} \approx 2.82 \times 10^{-10} \, \text{m} \).  

**separation = 2.8 × 10⁻¹⁰ m**"
