,question,explanation,answer,index
252,Define electrical resistance. ..................................................................... [1],resistance = potential difference / current,resistance = potential difference / current B1 [1],"(86, 'a')"
253,A circuit is set up to measure the resistance R of a metal wire. The potential difference (p.d.) V across the wire and the current І in the wire are to be measured.  Draw a circuit diagram of the apparatus that could be used to make these measurements. [3]  ,  metal wire in series with power supply and ammeter voltmeter in parallel with metal wire rheostat in series with power supply or potential divider arrangement or variable power supply,metal wire in series with power supply and ammeter voltmeter in parallel with metal wire rheostat in series with power supply or potential divider arrangement  or variable power supply B1 B1  B1 [3],"(86, 'b.i')"
254,"A circuit is set up to measure the resistance R of a metal wire. The potential difference (p.d.) V across the wire and the current І in the wire are to be measured.  Readings for p.d. V and the corresponding current І are obtained. These are shown in Fig. 2.1.  (DIAGRAM)  Explain how Fig. 2.1 indicates that the readings are subject to 1. a systematic uncertainty,     ............................................................. [1] 2. random uncertainties.     ............................................................. [1]",  1. intercept on graph 2. scatter of readings about the best fit line,1. intercept on graph B1 [1] 2. scatter of readings about the best fit line B1 [1],"(86, 'b.ii')"
255,A circuit is set up to measure the resistance R of a metal wire. The potential difference (p.d.) V across the wire and the current І in the wire are to be measured.  Use data from Fig. 2.1 to determine R. Explain your working.  R = ............................................. Ω [3],  correction for zero error explained use of V and corrected І values from graph resistance = V/ І = 22.(2)Ω [e.g. 4.0 / 0.18],correction for zero error explained use of V and corrected І values from graph resistance = V / І = 22.(2)Ω [e.g. 4.0 / 0.18] B1 C1 A1 [3],"(86, 'b.iii')"
256,"In another experiment, a value of R is determined from the following data: Current І = 0.64 ± 0.01 A and p.d. V = 6.8 ± 0.1 V. Calculate the value of R, together with its uncertainty. Give your answer to an appropriate number of significant figures.  R = ..................... ± .................... Ω [3]",R = 6.8 / 0.64 = 10.625 %R = %V + %І     = (0.1 / 6.8) × 100 + (0.01 / 0.64) × 100     = 1.47% + 1.56% ∆R = 0.0303 × 10.625 = 0.32Ω R = 10.6 ± 0.3 Ω,R = 6.8 / 0.64 = 10.625 %R = %V + %І  = (0.1 / 6.8) × 100 + (0.01 / 0.64) × 100  = 1.47% + 1.56% ∆R = 0.0303 × 10.625 = 0.32Ω R = 10.6 ± 0.3 Ω C1   C1  A1 [3],"(86, 'c')"
257,Distinguish between potential difference (p.d.) and electromotive force (e.m.f.) in terms of energy transformations. ........................................................................[2],p.d. = energy transformed from electrical to other forms / unit charge e.m.f. = energy transformed from other forms to electrica / unit charge, B1 [2]  B1,"(87, 'a')"
258,"Two cells A and B are connected in series with a resistor R of resistance 5.5 Ω, as shown in Fig. 4.1.  (DIAGRAM)  Cell A has e.m.f. 4.4 V and internal resistance 2.3 Ω. Cell B has e.m.f. 2.1 V and internal resistance 1.8 Ω.   State Kirchhoff's second law.  ................................................................ [1]",  sum of e.m.f.s (in a closed circuit) = sum of potential differences,sum of e.m.f.s (in a closed circuit) = sum of potential differences B1 [1],"(87, 'b.i')"
259,"Two cells A and B are connected in series with a resistor R of resistance 5.5 Ω, as shown in Fig. 4.1.  (DIAGRAM)  Cell A has e.m.f. 4.4 V and internal resistance 2.3 Ω. Cell B has e.m.f. 2.1 V and internal resistance 1.8 Ω.   Calculate the current in the circuit.   current = ............................................. A [2]",  4.4 – 2.1 = I × (1.8 + 5.5 + 2.3)  I = 0.24 A,4.4 – 2.1 = I × (1.8 + 5.5 + 2.3) I = 0.24 A M1 A1 [2],"(87, 'b.ii')"
260,"Two cells A and B are connected in series with a resistor R of resistance 5.5 Ω, as shown in Fig. 4.1.  (DIAGRAM)  Cell A has e.m.f. 4.4 V and internal resistance 2.3 Ω. Cell B has e.m.f. 2.1 V and internal resistance 1.8 Ω.   On Fig. 4.1, draw an arrow to show the direction of the current in the circuit. Label this arrow I. [1]  ",  arrow (labelled) I shown anticlockwise,arrow (labelled) I shown anticlockwise A1 [1],"(87, 'b.iii')"
261,"Two cells A and B are connected in series with a resistor R of resistance 5.5 Ω, as shown in Fig. 4.1.  (DIAGRAM)  Cell A has e.m.f. 4.4 V and internal resistance 2.3 Ω. Cell B has e.m.f. 2.1 V and internal resistance 1.8 Ω.   Calculate 1. the p.d. across resistor R,      p.d. = ............................................. V [1] 2. the terminal p.d. across cell A,      p.d. = ............................................. V [1] 3. the terminal p.d. across cell B.      p.d. = ............................................. V [2]",  1. V = I × R = 0.24 × 5.5 = 1.3(2)V 2. VA = 4.4 – (I × 2.3) = 3.8(5)V 3. either VB = 2.1 + (I × 1.8) or VB = 3.8 – 1.3     = 2.5(3) V ,1. V = I × R = 0.24 × 5.5 = 1.3(2)V A1 [1] 2. VA = 4.4 – (I × 2.3) = 3.8(5)V A1 [1] 3. either VB = 2.1 + (I × 1.8) or  VB = 3.8 – 1.3     = 2.5(3)V C1 A1 [2],"(87, 'b.iv')"
262,Define the ohm. ................................................................ [1],ohm = volt / ampere,ohm = volt / ampere B1 [1],"(88, 'a')"
263,Determine the SI base units of resistivity.   base units of resistivity = ........................................... [3],ρ = RA / l or unit is Ωm units: VA–1m2m–1 = NmC–1A–1m2m–1  = kgm2 s–2A–1 s–1A–1m2m–1 = kgm3 s–3A–2 ,ρ = RA / l or unit is Ωm units: VA–1m2m–1 = NmC–1A–1m2m–1           = kgm2 s–2A–1 s–1A–1m2m–1           = kgm3 s–3A–2 C1 C1  A1 [3],"(88, 'b')"
264,"A cell of e.m.f. 2.0 V and negligible internal resistance is connected to a variable resistor R and a metal wire, as shown in Fig. 5.1.             (DIAGRAM)  The wire is 900 mm long and has an area of cross-section of 1.3×10–7 m2. The resistance of the wire is 3.4 Ω.   Calculate the resistivity of the metal wire.   resistivity = ................................................. [2]",  ρ = [3.4 × 1.3 × 10–7] / 0.9 = 4.9 × 10–7 (Ωm) ,ρ = [3.4 × 1.3 × 10–7] / 0.9    = 4.9 × 10–7 (Ωm) C1 A1 [2],"(88, 'c.i')"
265,"A cell of e.m.f. 2.0 V and negligible internal resistance is connected to a variable resistor R and a metal wire, as shown in Fig. 5.1.             (DIAGRAM)  The wire is 900 mm long and has an area of cross-section of 1.3×10–7 m2. The resistance of the wire is 3.4 Ω.   The resistance of R may be varied between 0 and 1500 Ω. Calculate the maximum potential difference (p.d.) and minimum p.d. possible across the wire.  maximum p.d. = ............................................ V minimum p.d. = .............................................. V [2]",  max = 2.(0) V min = 2 × (3.4 /1503.4) = 4.5 × 10–3 V,max = 2.(0) V min = 2 × (3.4 /1503.4) = 4.5 × 10–3 V A1 A1 [2],"(88, 'c.ii')"
266,"A cell of e.m.f. 2.0 V and negligible internal resistance is connected to a variable resistor R and a metal wire, as shown in Fig. 5.1.             (DIAGRAM)  The wire is 900 mm long and has an area of cross-section of 1.3×10–7 m2. The resistance of the wire is 3.4 Ω.   Calculate the power transformed in the wire when the potential difference across the wire is 2.0 V.  power = ............................................. W [2]",  P = V2 / R  or  P = VI  and  V = IR = (2)2 / 3.4  = 1.18 (allow 1.2) W,P = V2 / R or P = VI and V = IR    = (2)2 / 3.4   = 1.18 (allow 1.2) W C1  A1 [2],"(88, 'c.iii')"
267,"Resistance R in (c) is now replaced with a different variable resistor Q. State the power transformed in Q, for Q having  zero resistance,   power = ............................................. W [1]",  power in Q is zero when R = 0,power in Q is zero when R = 0 B1 [1],"(88, 'd.i')"
268,"Resistance R in (c) is now replaced with a different variable resistor Q. State the power transformed in Q, for Q having  infinite resistance.   power = ............................................. W [1]",  power in Q = 0 / tends to zero as R = infinity,power in Q = 0 / tends to zero as R = infinity B1 [1],"(88, 'd.ii')"
269,"An electric heater has a constant resistance and is rated as 1.20kW, 230V. The heater is connected to a 230V supply by means of a cable that is 9.20m long, as illustrated in Fig. 8.1.  (DIAGRAM)  The two copper wires that make up the cable each have a circular cross-section of diameter 0.900 mm. The resistivity of copper is 1.70×10–8 Ω m.Show that  the resistance of the heater is 44.1 Ω, [2]  ",  either P = V2/ R      R = 2302/ 1200 = 44.1Ω or I = 1200 / 230 or 5.22      R = (230 × 230) / 1200     R = 230 / 5.22 = 44.1 Ω,either P = V2 / R  or  I = 1200 / 230 or 5.22                                 R = (230 × 230) / 1200 R = 2302 / 1200 or R = 230 / 5.22    = 44.1Ω                  = 44.1Ω C1  M1 A0 [2],"(89, 'a.i')"
270,"An electric heater has a constant resistance and is rated as 1.20kW, 230V. The heater is connected to a 230V supply by means of a cable that is 9.20m long, as illustrated in Fig. 8.1.  (DIAGRAM)  The two copper wires that make up the cable each have a circular cross-section of diameter 0.900 mm. The resistivity of copper is 1.70×10–8 Ω m.Show that  the total resistance of the cable is 0.492 Ω. [2]  ",  R = ρL / A    = (1.7 × 10–8 × 9.2 × 2) / (π × {0.45 × 10–3}2)     = 0.492 Ω,R = ρL / A    = (1.7 × 10–8 × 9.2 × 2) / (π × {0.45 × 10–3}2)    = 0.492Ω C1 M1 A0 [2],"(89, 'a.ii')"
271,"An electric heater has a constant resistance and is rated as 1.20kW, 230V. The heater is connected to a 230V supply by means of a cable that is 9.20m long, as illustrated in Fig. 8.1.  (DIAGRAM)  The two copper wires that make up the cable each have a circular cross-section of diameter 0.900 mm. The resistivity of copper is 1.70×10–8 Ω m.The current in the cable and heater is switched on. Determine, to three significant figures, the power dissipated in the heater.  power = .......................................... W [3]",current = 230 /44.6 power = (230 /44.6)2 × 44.1 = 1170 W (allow full credit for solution based on potential divider),current = 230 /44.6 power = (230 /44.6)2 × 44.1            = 1170W (allow full credit for solution based on potential divider) C1 C1 A1   [3],"(89, 'b')"
272,"An electric heater has a constant resistance and is rated as 1.20kW, 230V. The heater is connected to a 230V supply by means of a cable that is 9.20m long, as illustrated in Fig. 8.1.  (DIAGRAM)  The two copper wires that make up the cable each have a circular cross-section of diameter 0.900 mm. The resistivity of copper is 1.70×10–8 Ω m.Suggest two disadvantages of connecting the heater to the 230 V supply using a cable consisting of two thinner copper wires. 1. ........................................................................ 2. ........................................................................ [2]","e.g. less power dissipated in the heater / smaller p.d. across heater / more power loss in cable / current lower cable becomes heated / melts (any two sensible suggestions, 1 each, max 2)","e.g. less power dissipated in the heater / smaller p.d. across heater / more power loss in cable / current lower cable becomes heated / melts (any two sensible suggestions, 1 each, max 2)  B1 B1 [2]","(89, 'c')"
273,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.For the thermistor at 22.5 ℃, calculate  the total resistance between points A and B on Fig. 6.2,  resistance = ......................................... Ω [2]","  at 22.5 °C, RT = 1600 Ω or 1.6 kΩ total resistance = 800 Ω","at 22.5 °C, RT = 1600Ω or 1.6kΩ total resistance = 800Ω C1 A1 [2]","(90, 'a.i')"
274,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.For the thermistor at 22.5 ℃, calculate  the reading on the voltmeter.  voltmeter reading = ...........................V [2]",  either use of potential divider formula  V = (0.8/2.0) × 9    = 3.6 V  or current = 9 / 2000 (4.5 mA)     V = (9/2000) × 800        = 3.6 V,either use of potential divider formula  or current = 9 / 2000 (4.5mA) V = (0.8/2.0) × 9  or  V = (9/2000) × 800    = 3.6V                       = 3.6V C1  A1 [2],"(90, 'a.ii')"
275,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.The temperature of the thermistor is changed. The voltmeter now reads 4.0V. Determine  the total resistance between points A and B on Fig. 6.2,  resistance = ......................................... Ω [2]",  total resistance = 4/5 × 1200 = 960 Ω,total resistance = 4/5 × 1200 = 960 Ω C1 A1 [2],"(90, 'b.i')"
276,The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.The temperature of the thermistor is changed. The voltmeter now reads 4.0V. Determine  the temperature of the thermistor.  temperature = ......................................°C [2],"  for parallel combination, 1/960 = 1/1600 + 1/RT RT = 2400 Ω / 2.4 kΩ temperature = 11 °C","for parallel combination, 1/960 = 1/1600 + 1/RT RT = 2400Ω / 2.4kΩ temperature = 11°C  C1 A1 [2]","(90, 'b.ii')"
277,"The variation with temperature of the resistance RT of a thermistor is shown in Fig. 6.1.  (DIAGRAM)  The thermistor is connected into the circuit of Fig. 6.2.  (DIAGRAM)  The battery has e.m.f. 9.0V and negligible internal resistance. The voltmeter has infinite resistance.A student suggests that the voltmeter, reading up to 10 V, could be calibrated to measure temperature. Suggest two disadvantages of using the circuit of Fig. 6.2 with this voltmeter for the measurement of temperature in the range 0 ℃ to 25℃. 1. .......................................................................... 2. .......................................................................... [2]","e.g. only small part of scale used / small sensitivity non-linear (any two sensible suggestions, 1 each, max 2)","e.g. only small part of scale used / small sensitivity        non-linear (any two sensible suggestions, 1 each, max 2) B1 B1   [2]","(90, 'c')"
278,Distinguish between the electromotive force (e.m.f.) of a cell and the potential difference (p.d.) across a resistor. ........................................................................ [3],"both measure (energy / work) / charge  for e.m.f., transfer of chemical energy to electrical energy for p.d., transfer of electrical energy to thermal energy / other forms","both measure (energy / work) / charge for e.m.f., transfer of chemical energy to electrical energy for p.d., transfer of electrical energy to thermal energy / other forms B1 B1 B1 [3]","(92, 'a')"
279,"Fig. 7.1. is an electrical circuit containing two cells of e.m.f. E1 and E2.  (DIAGRAM)  The cells are connected to resistors of resistance R1, R2 and R3 and the currents in the branches of the circuit are I1, I2 and I3, as shown.   Use Kirchhoff's first law to write down an expression relating I1, I2 and I3. .................................................................... [1]",  I1 + I2 = I3,I1 + I2 = I3 B1 [1],"(92, 'b.i')"
280,"Fig. 7.1. is an electrical circuit containing two cells of e.m.f. E1 and E2.  (DIAGRAM)  The cells are connected to resistors of resistance R1, R2 and R3 and the currents in the branches of the circuit are I1, I2 and I3, as shown.   Use Kirchhoff's second law to write down an expression relating 1. E2, R2, R3, I2 and I3 in the loop XBCYX,  .................................................................... [1] 2. E1, E2, R1, R2, I1 and I2 in the loop AXYDA. .................................................................... [1]",  1. E2 = I2R2 + I3R3 2. E1 - E2 = I1R1 - I2R2,1. E2 = I2R2 + I3R3 B1 [1] 2. E1 - E2 = I1R1 - I2R2 B1 [1],"(92, 'b.ii')"
281,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)  State, with a reason, whether the resistance of component C increases or decreases with increasing potential difference. .................................................................... [2]","  resistance is ratio V/I (at a point) either gradient increases or I increases more rapidly than V (If states R = reciprocal of gradient, then 0/2 marks here) ","resistance is ratio V/I (at a point)  either gradient increases or I increases more rapidly than V (If states R = reciprocal of gradient, then 0/2 marks here) B1 B1   [2]","(93, 'a.i')"
282,Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)  Determine the resistance of component C at a potential difference of 4.0 V.   resistance = …………………….. Ω [2],  current = 2.00 mA  resistance = 2 000 Ω ,current = 2.00 mA resistance = 2 000 Ω C1 A1 [2],"(93, 'a.ii')"
283,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)Component C is connected in parallel with a resistor R of resistance 1500 Ω and a battery of e.m.f. E and negligible internal resistance, as shown in Fig. 6.2.  (DIAGRAM)    On Fig. 6.1, draw a line to show the variation with potential difference V of the current I in resistor R. [2]  ","  straight line from origin passing through (6.0 V, 4.0 mA)    (allow ½ square tolerance) ","straight line from origin passing through (6.0 V, 4.0 mA)  (allow ½ square tolerance) M1 A1 [2]","(93, 'b.i')"
284,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)Component C is connected in parallel with a resistor R of resistance 1500 Ω and a battery of e.m.f. E and negligible internal resistance, as shown in Fig. 6.2.  (DIAGRAM)    Hence, or otherwise, use Fig. 6.1 to determine the current in the battery for an e.m.f. of 2.0 V.  current = ……………………… A [2]",  individual currents are 0.75 mA and 1/33 mA current in battery = 2.1 mA (allow argument in terms of P = I2R or IV),individual currents are 0.75 mA and 1/33 mA current in battery = 2.1 mA (allow argument in terms of P = I2R or IV)  C1 A1   [2],"(93, 'b.ii')"
285,"Fig. 6.1 shows the variation with applied potential difference V of the current I in an electrical component C.  (DIAGRAM)The resistor R of resistance 1500 Ω and the component C are now connected in series across a supply of e.m.f. 7.0 V and negligible internal resistance. Using information from Fig. 6.1, state and explain which component, R or C, will dissipate thermal energy at a greater rate. .............................................................................. [3] ","same current in R and in C p.d. across C is larger than that across R so since power = VI, greater in C (allow argument in terms of P = I2R or IV) ","same current in R and in C p.d. across C is larger than that across R so since power = VI, greater in C (allow argument in terms of P = I2R or IV) M1 M1 A1   [3]","(93, 'c')"
286,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.For the heater operating at 240 V,   show that the current in the heater is 5.0 A,  ",  P = Vi 1200 = 240 × i i = 5.0 A,P = Vi  1200 = 240 × i  i = 5.0 C1 M1 A0 [4],"(94, 'a.i')"
287,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.For the heater operating at 240 V,   calculate its resistance.   resistance=……………..Ω [4]",  V = iR 240 = 5.0 × R R = 48 Ω,V = iR 240 = 5.0 × R R = 48Ω  C1 A1,"(94, 'a.ii')"
288,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.The heater in (a) is connected to a mains supply by means of two long cables, as illustrated in Fig. 7.1.  (DIAGRAM)  The cables have a total resistance of 4.0 Ω. The voltage of the mains supply is adjusted so that the heater operates normally at 240V. Using your answers in (a), where appropriate, calculate  the potential difference across the cables,   potential difference = .......................................... V",  p.d. = (5.0 × 4.0 =) 20 V,p.d. = (5.0 × 4.0 =) 20 V A1 [3],"(94, 'b.i')"
289,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.The heater in (a) is connected to a mains supply by means of two long cables, as illustrated in Fig. 7.1.  (DIAGRAM)  The cables have a total resistance of 4.0 Ω. The voltage of the mains supply is adjusted so that the heater operates normally at 240V. Using your answers in (a), where appropriate, calculate  the voltage of the mains supply,   voltage = ..................................................V",  mains voltage = (240 + 20 =) 260 V,mains voltage = (240 + 20 =) 260 V A1,"(94, 'b.ii')"
290,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.The heater in (a) is connected to a mains supply by means of two long cables, as illustrated in Fig. 7.1.  (DIAGRAM)  The cables have a total resistance of 4.0 Ω. The voltage of the mains supply is adjusted so that the heater operates normally at 240V. Using your answers in (a), where appropriate, calculate  the power dissipated in the cables.   power dissipated = ......................................... W [3]",  P = (20 × 5.0 =) 100 W,P = (20 × 5.0 =) 100 W A1,"(94, 'b.iii')"
291,"An electric heater is rated as 240 V, 1.2 kW and has constant resistance.Using information from (b), determine the efficiency e at which power is transferred from the supply to the heater. That is, calculate ε = power dissipated in heater / power input from supply.  efficiency = .................................................. [2]",power input = 1200 + 100 = 1300 W efficiency = 1200/1300 = 0.92,power input = 1200 + 100 = 1300 W efficiency = 1200/1300 = 0.92 C1 A1 [2],"(94, 'c')"
292,"Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.  On Fig. 5.1, draw an arrow to indicate the direction of the electric field between plates A and B.  ",  arrow from B towards A,arrow from B towards A B1 [3],"(95, 'a.i')"
293,Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.  Calculate the electric field strength between A and B.  field strength = ...........................N C–1 [3],  E = V/d    = 450/(9.0 × 10-2)    = 5.0 × 103 N C-1 (accept 1 sig. fig),E = V/d    = 450/(9.0 × 10-2)    = 5.0 × 103 N C-1 (accept 1 sig. fig)  C1 A1,"(95, 'a.ii')"
294,Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.An electron is released from rest at the surface of plate A.   Show that the change in electric potential energy in moving from plate A to plate B is 7.2 × 1017 J.  ,  energy = qV or Eqd = 1.6 × 10-19 × 450 = 7.2 × 10-17 J,energy = qV or Eqd    = 1.6 × 10-19 × 450    = 7.2 × 10-17 J C1 A1 A0 [4],"(95, 'b.i')"
295,Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.An electron is released from rest at the surface of plate A.   Determine the speed of the electron on reaching plate B.  speed = ............................................. m s–1 [4],  Ek = ½mv2  7.2 × 10-17 = ½ × 9.1 × 10-31 × v2 v = 1.26 × 107 m s-1,Ek = ½mv2  7.2 × 10-17 = ½ × 9.1 × 10-31 × v2 v = 1.26 × 107 m s-1  C1 A1,"(95, 'b.ii')"
296,"Two large flat metal plates A and B are placed 9.0 cm apart in vacuum as illustrated in Fig. 5.1.  (DIAGRAM)  A potential difference of 450 V is maintained between the plates by means of a battery.On the axes of Fig. 5.2, sketch a graphic show the variation with distance d from plate A of the speed v of the electron. [1]  (DIAGRAM) ","line from origin, curved in correct direction but not 'level out'","line from origin, curved in correct direction but not 'level out' B1 [1]","(95, 'c')"
297,"A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.Determine  the electromotive force (e.m.f.) of the battery,   e.m.f. = …………………………………….. V",  e.m.f = energy / change = (1.6 × 105) / (1.8 × 104) = 8.9 V,e.m.f = energy / change = (1.6 × 105) / (1.8 × 104) = 8.9 V C1  A1 [4],"(96, 'a.i')"
298,A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.Determine  the average current in the circuit.   current = …………………………………….. A [4],  current = ΔQ / t = (1.80 × 104) / (1.3 × 105) = 0.14 A,current = ΔQ / Δt = (1.80 × 104) / (1.3 × 105) = 0.14 A C1  A1,"(96, 'a.ii')"
299,"A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.During the time for which the charge is moving, 1.1×105 J of energy is dissipated in the 45 Ω resistor.  Determine the energy dissipated in the 15 Ω resistor during the same time.  energy = …………………………………. J",  energy ∝ R (or formula) energy = (15/45) × 1.14 × 105 = 3.7 × 104 J,energy ∝ R (or formula) energy = (15/45) × 1.14 × 105              = 3.7 × 104 J C1 C1 A1 [4],"(96, 'b.i')"
300,"A student set up the circuit shown in Fig. 7.1.  (DIAGRAM)  The resistors are of resistance 15 Ω and 45 Ω. The battery is found to provide 1.6×105 J of electrical energy when a charge of 1.8×104 C passes through the ammeter in a time of 1.3 × 105 s.During the time for which the charge is moving, 1.1×105 J of energy is dissipated in the 45 Ω resistor.  Suggest why the total energy provided is greater than that dissipated in the two resistors. ......................................................................... [4]",  energy dissipated in internal resistance (of battery) OR in extra resistance in circuit,energy dissipated in internal resistance (of battery)  OR in extra resistance in circuit B1,"(96, 'b.ii')"
301,Define potential difference (p.d.). ..............................................................................[1] ,p.d. = (work done / energy transformed)/charge  (from electrical to other forms), (from electrical to other forms) B1 [1],"(97, 'a')"
302,"A battery of electromotive force 20 V and zero internal resistance is connected in series with two resistors R1 and R2, as shown in Fig. 6.1.  (DIAGRAM)  The resistance of R2 is 600 Ω. The resistance of R1 is varied from 0 to 400 Ω. Calculate   the maximum p.d. across R2,   maximum p.d. = .............................................. V [1]",  maximum 20 V,maximum 20V A1 [1],"(97, 'b.i')"
303,"A battery of electromotive force 20 V and zero internal resistance is connected in series with two resistors R1 and R2, as shown in Fig. 6.1.  (DIAGRAM)  The resistance of R2 is 600 Ω. The resistance of R1 is varied from 0 to 400 Ω. Calculate   the minimum p.d. across R2.   minimum p.d. = .............................................. V [2]",  minimum = (600 / 1000) × 20 = 12 V ,minimum = (600 / 1000) × 20    = 12 V C1 A1 [2],"(97, 'b.ii')"
304,"A light-dependent resistor (LDR) is connected in parallel with R2, as shown in Fig. 6.2.  (DIAGRAM)  When the light intensity is varied, the resistance of the LDR changes from 5.0 kΩ to 1.2 kΩ.   For the maximum light intensity, calculate the total resistance of R2 and the LDR.  total resistance = ............................................. Ω [2]","  use of 1.2 k Ω 1/1200 + 1/600 = 1/R, R = 400 Ω","use of 1.2kΩ 1/1200 + 1/600 = 1/R, R = 400Ω M1 A1 [2]","(97, 'c.i')"
305,"A light-dependent resistor (LDR) is connected in parallel with R2, as shown in Fig. 6.2.  (DIAGRAM)  When the light intensity is varied, the resistance of the LDR changes from 5.0 kΩ to 1.2 kΩ.   The resistance of R1 is varied from 0 to 400 Ω in the circuits of Fig. 6.1 and Fig. 6.2. State and explain the difference, if any, between the minimum p.d. across R2 in each circuit. Numerical values are not required. ..........................................................................[2]",  total parallel resistance (R2 + LDR) is less than R2 (minimum) p.d. is reduced ,total parallel resistance (R2 + LDR) is less than R2 (minimum) p.d. is reduced M1 A1 [2],"(97, 'c.ii')"
306,Define charge. ..............................................................................[1],charge = current × time,charge = current × time B1 [1],"(98, 'a')"
307,"A heater is made from a wire of resistance 18.0 Ω and is connected to a power supply of 240 V. The heater is switched on for 2.60 Ms. Calculate  the power transformed in the heater,  power = ............................................. W [2]",  P = V2/ R = (240)2/ 18 = 3200 W,P = V2 / R    = (240)2 / 18 = 3200W C1 A1 [2],"(98, 'b.i')"
308,"A heater is made from a wire of resistance 18.0 Ω and is connected to a power supply of 240 V. The heater is switched on for 2.60 Ms. Calculate  the current in the heater,  current = .............................................. A [1]",  I = V / R = 240 / 18 = 13.3A,I = V / R = 240 / 18 = 13.3A A1 [1],"(98, 'b.ii')"
309,"A heater is made from a wire of resistance 18.0 Ω and is connected to a power supply of 240 V. The heater is switched on for 2.60 Ms. Calculate  the charge passing through the heater in this time,  charge = ............................................. C [2]",  charge = It = 13.3 × 2.6 × 106 = 3.47 × 107 C ,charge = It = 13.3 × 2.6 × 106      = 3.47 × 107 C C1 A1 [2],"(98, 'b.iii')"
310,A heater is made from a wire of resistance 18.0 Ω and is connected to a power supply of 240 V. The heater is switched on for 2.60 Ms. Calculate  the number of electrons per second passing a given point in the heater.  number = ........................................... s–1 [2],  number of electrons = 3.47 × 107 / 1.6 × 10–19 (= 2.17 × 1026) number of electrons per second = 2.17 × 1026 / 2.6 × 106 = 8.35 × 1019,number of electrons = 3.47 × 107 / 1.6 × 10–19 (= 2.17 × 1026) number of electrons per second = 2.17 × 1026 / 2.6 × 106 = 8.35 × 1019 C1 A1 [2],"(98, 'b.iv')"
311,"Two resistors A and B have resistances R1 and R2 respectively. The resistors are connected in series with a battery, as shown in Fig. 6.1.  (DIAGRAM)  The battery has electromotive force (e.m.f.) E and zero internal resistance.State the energy transformation that occurs in  the battery,  ....................................................................... [1]",  chemical to electrical,chemical to electrical B1 [1],"(99, 'a.i')"
312,"Two resistors A and B have resistances R1 and R2 respectively. The resistors are connected in series with a battery, as shown in Fig. 6.1.  (DIAGRAM)  The battery has electromotive force (e.m.f.) E and zero internal resistance.State the energy transformation that occurs in  the resistors.  ....................................................................... [1]",  electrical to thermal / heat or heat and light,electrical to thermal / heat or heat and light B1 [1],"(99, 'a.ii')"
