,Prompt,Response
142,"Illustration showing the same set of particles before and after compression. The particles are closer together after compression, but the number of particles is identical.","\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[scale=1, every node/.style={font=\small}]

% Before compression
\foreach \x in {0,1.5,3,4.5}
  \fill (\x,1.5) circle (2pt) node[above=3pt] {particle};
\node[align=center] at (2.25,0.8) {Before Compression};

% After compression
\foreach \x in {0,1,2,3}
  \fill (\x,0) circle (2pt) node[above=3pt] {particle};
\node[align=center] at (1.5,-0.7) {After Compression};

% Brackets
\draw[thick] (-0.5,1.8) -- ++(0,0.2) -| (4.5,1.8) -- ++(0,0.2);
\draw[thick] (-0.5,0.3) -- ++(0,-0.2) -| (3,0.3) -- ++(0,-0.2);

\end{tikzpicture}
\end{document}"
143,"Arrow downward labeled ""Weight = mg"", arrow upward labeled ""Air resistance"", both acting on a ball.","\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[scale=1, >=Stealth]
    % Draw ball
    \draw (0,0) circle (0.5cm);
    
    % Draw forces
    \draw[->, line width=1.5pt] (0,-0.5) -- (0,-2.5) node[midway, right=2mm] {Weight = mg};
    \draw[->, line width=1.5pt] (0,0.5) -- (0,2.5) node[midway, right=2mm] {Air resistance};
\end{tikzpicture}
\end{document}"
144,"A rectangle with rulers aligned along its edges. The horizontal ruler shows markings from 0 cm to 28 cm, and the vertical ruler shows 0 cm to 25 cm.","\begin{tikzpicture}[x=1cm, y=1cm]
    % Draw rectangle
    \draw (0,0) rectangle (28,25);
    
    % Horizontal ruler (bottom)
    \draw (0,-0.5) -- (28,-0.5);
    \foreach \x in {0,1,...,28} {
        \ifnum \x=28
            \draw (\x,-0.5) -- (\x,-0.8); % Major tick at 28
            \node[below, font=\footnotesize] at (\x, -0.8) {28};
        \else
            \ifnum \numexpr\x mod 5 = 0
                \draw (\x,-0.5) -- (\x,-0.8); % Major tick
                \node[below, font=\footnotesize] at (\x, -0.8) {\x};
            \else
                \draw (\x,-0.5) -- (\x,-0.65); % Minor tick
            \fi
        \fi
    }
    
    % Vertical ruler (left)
    \draw (-0.5,0) -- (-0.5,25);
    \foreach \y in {0,1,...,25} {
        \ifnum \numexpr\y mod 5 = 0
            \draw (-0.5,\y) -- (-0.8,\y); % Major tick
            \node[left, font=\footnotesize] at (-0.8, \y) {\y};
        \else
            \draw (-0.5,\y) -- (-0.65,\y); % Minor tick
        \fi
    }
\end{tikzpicture}"
145,A simple chart of the electromagnetic spectrum showing gamma rays at the high-frequency/short-wavelength end,"\begin{tikzpicture}[scale=0.7, every node/.style={font=\footnotesize}]
  % Draw spectrum axis with direction indicators
  \draw[<->, line width=0.8pt] (0,0) -- (12,0);
  
  % Draw boundary ticks
  \foreach \x in {0,1.5,3,4.5,6,8,10,12} {
    \draw (\x,0.2) -- (\x,-0.2);
  }
  
  % Label EM regions
  \node[above] at (0.75,0.5) {Gamma rays};
  \node[above] at (2.25,0.5) {X-rays};
  \node[above] at (3.75,0.5) {Ultraviolet};
  \node[above] at (5.25,0.5) {Visible light};
  \node[above] at (7,0.5) {Infrared};
  \node[above] at (9,0.5) {Microwaves};
  \node[above] at (11,0.5) {Radio waves};
  
  % Label spectrum properties
  \node[above left, align=center] at (0,0) {High \\ frequency};
  \node[below left, align=center] at (0,0) {Short \\ wavelength};
  \node[above right, align=center] at (12,0) {Low \\ frequency};
  \node[below right, align=center] at (12,0) {Long \\ wavelength};
\end{tikzpicture}"
146,OR gate with inputs A and B → Output connected to NOT gate → Final output Y,"\begin{circuitikz}
    \node[or port] (or) at (0,0) {};
    \node[not port, anchor=in] (not) at (2,0) {};
    
    \draw (or.out) -- (not.in);
    \draw (or.in 1) -- ++(-0.5,0) node[left] {A};
    \draw (or.in 2) -- ++(-0.5,0) node[left] {B};
    \draw (not.out) -- ++(0.5,0) node[right] {Y};
\end{circuitikz}"
147,Circuit 1: Three lamps connected in series to a 12V supply. Circuit 2: Three lamps connected in parallel to a 12V supply.,"\begin{circuitikz}[european]
  % Circuit 1: Series lamps
  \draw (0,0) to [battery1, l=12V] (0,3) -- (2,3)
        to [lamp] (2,2)
        to [lamp] (2,1)
        to [lamp] (2,0) -- (0,0);
  \node[below, align=center] at (1,-0.5) {Circuit 1: Three lamps\\connected in series};

  % Circuit 2: Parallel lamps
  \draw (5,0) to [battery1, l=12V] (5,3) -- (6,3);
  \draw (6,3) -- (8,3); % Top rail
  \draw (6,0) -- (8,0); % Bottom rail
  \draw (6,0) -- (5,0); % Connect bottom rail to battery
  \draw (6,3) to [lamp] (6,0);
  \draw (7,3) to [lamp] (7,0);
  \draw (8,3) to [lamp] (8,0);
  \node[below, align=center] at (6.5,-0.5) {Circuit 2: Three lamps\\connected in parallel};
\end{circuitikz}"
148,A battery connected to the two outer terminals of the potentiometer. The lamp bridges one outer terminal and the sliding contact.,"\begin{circuitikz}[european]
    \node [pR] (pot) at (0,0) {};
    \draw (pot.left) -- ++(0,1.5) coordinate (lefttop);
    \draw (pot.right) -- ++(0,1.5) coordinate (righttop);
    \draw (lefttop) to [battery1] (righttop);
    \draw (pot.left) to [lamp] (pot.wiper);
\end{circuitikz}"
149,"Two vertical plastic strips close together, both labeled ""–"". Arrows show the strips bending away from each other, indicating repulsion.","\begin{tikzpicture}
    % Left plastic strip (curved outward)
    \draw[line width=1.5pt] (-0.5,0) .. controls (-1.2,2.5) .. (-0.5,5);
    \node[above] at (-0.5,5) {--};
    
    % Right plastic strip (curved outward)
    \draw[line width=1.5pt] (0.5,0) .. controls (1.2,2.5) .. (0.5,5);
    \node[above] at (0.5,5) {--};
    
    % Repulsion arrows
    \draw[-latex, line width=0.8pt] (-0.8,2.5) -- (-1.5,2.5); % Left arrow
    \draw[-latex, line width=0.8pt] (0.8,2.5) -- (1.5,2.5);   % Right arrow
\end{tikzpicture}"
150,"A coil with arrows showing current direction, soft iron core inside, and magnetic field lines concentrated through the core. Nails cling to the ends of the bar.","\begin{tikzpicture}[>=latex, decoration={markings, mark=at position 0.5 with {\arrow{>}}}]
  % Iron core
  \fill[lightgray] (0,-0.8) rectangle (4,0.8);
  \draw[thick] (0,-0.8) rectangle (4,0.8);

  % Coil left vertical
  \draw[postaction={decorate}] (0,-1) -- (0,1);
  % Coil top arcs
  \draw[postaction={decorate}] (0,1) 
    \foreach \i in {1,2,3,4} {arc (180:0:0.25)};
  % Coil right vertical
  \draw[postaction={decorate}] (4,1) -- (4,-1);
  % Coil bottom arcs
  \draw[postaction={decorate}] (4,-1) 
    \foreach \i in {1,2,3,4} {arc (0:-180:0.25)};

  % Magnetic field lines
  \draw[->, thick, blue] (0,0.6) -- (4,0.6);
  \draw[->, thick, blue] (4,0.6) .. controls (5,0.6) and (5,-0.6) .. (4,-0.6);
  \draw[->, thick, blue] (4,-0.6) -- (0,-0.6);
  \draw[->, thick, blue] (0,-0.6) .. controls (-1,-0.6) and (-1,0.6) .. (0,0.6);

  % Nails
  \draw[ultra thick] (0,0) -- (-0.5,0);
  \draw[ultra thick] (-0.5,-0.2) -- (-0.5,0.2);
  \draw[ultra thick] (4,0) -- (4.5,0);
  \draw[ultra thick] (4.5,-0.2) -- (4.5,0.2);
\end{tikzpicture}"
151,"Sketch showing Sun, Moon, and Earth aligned. Parallel rays of IR, visible light, and UV hitting the Moon’s surface simultaneously. All rays are blocked at the same instant where the Moon’s shadow falls.","\begin{tikzpicture}[scale=0.8]
    % Celestial bodies
    \filldraw [yellow] (0,0) circle (0.5) node[below=5mm] {Sun};
    \filldraw [gray] (4,0) circle (0.3) node[below=5mm] {Moon};
    \filldraw [blue!30] (8,0) circle (0.4) node[below=5mm] {Earth};

    % Shadow region (umbra)
    \fill [gray!30] (4,0.3) -- (8,0.1) -- (8,-0.1) -- (4,-0.3) -- cycle;
    \node at (6,0) {Shadow};

    % Rays (IR, Visible, UV)
    \draw[->, >=stealth, red] (0,0.1) -- node[above, near start] {IR} (3.717,0.1);
    \draw[->, >=stealth, green!70!black] (0,0.2) -- node[above, near start] {Visible} (3.776,0.2);
    \draw[->, >=stealth, violet] (0,0.25) -- node[above, near start] {UV} (3.834,0.25);
\end{tikzpicture}"
152,"In Diagram C, parallel wavefronts approach a wide gap. After passing through, the wavefronts remain mostly parallel, showing minimal curvature or spreading.","\begin{tikzpicture}
    % Incident wavefronts (left of the gap)
    \draw (-3,-3) -- (-3,3);
    \draw (-2,-3) -- (-2,3);
    \draw (-1,-3) -- (-1,3);
    
    % Barriers with wide gap
    \draw[very thick] (0,-3) -- (0,-0.5); % Lower barrier
    \draw[very thick] (0,0.5) -- (0,3);   % Upper barrier
    
    % Transmitted wavefronts (right of the gap, minimal spreading)
    \draw (1,-0.5) -- (1,0.5);
    \draw (2,-0.5) -- (2,0.5);
    \draw (3,-0.5) -- (3,0.5);
\end{tikzpicture}"
153,"A kettle with wavy ""heat"" lines rising from it. Red arrows show warm air expanding and rising upward above the kettle. Blue arrows show cooler air sinking toward the kettle from the sides.","\begin{tikzpicture}[>=Stealth]
    % Draw kettle body
    \draw[thick] (-1.5,0) rectangle (1.5,2);
    \draw[thick] (-1.5,2) arc (180:0:1.5 and 0.5);
    
    % Draw handle
    \draw[thick] (-1.5,1) .. controls (-2.2,1) and (-2.2,1.5) .. (-1.5,1.5);
    
    % Draw heat waves
    \foreach \x in {-0.5,0,0.5} {
        \draw[decorate, decoration={snake, segment length=4, amplitude=2}] (\x,2.2) -- (\x,3.5);
    }
    
    % Warm air arrows (red, rising)
    \foreach \x in {-0.4,0,0.4} {
        \draw[->, red, thick] (\x,2.5) -- (\x,4);
    }
    
    % Cool air arrows (blue, sinking)
    \draw[->, blue, thick] (-3,3.8) .. controls (-3,3) and (-2,2.5) .. (-1.2,2.3);
    \draw[->, blue, thick] (3,3.8) .. controls (3,3) and (2,2.5) .. (1.2,2.3);
    \draw[->, blue, thick] (-2.8,3) .. controls (-2.8,2.2) and (-1.8,1.8) .. (-1,1.6);
    \draw[->, blue, thick] (2.8,3) .. controls (2.8,2.2) and (1.8,1.8) .. (1,1.6);
\end{tikzpicture}"
154,"Metal structure showing a regular lattice of atoms with ""free"" electrons moving between them. Plastic structure showing tangled polymer chains with no free electrons.","\documentclass[tikz,border=3.14mm]{standalone}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[scale=1.5]

% Metal structure (left)
\begin{scope}[shift={(-3,0)}]
    % Title
    \node at (0,4.5) {\textbf{Metal Structure}};

    % Lattice atoms
    \foreach \x in {0,1,2,3} {
        \foreach \y in {0,1,2,3} {
            \filldraw[fill=gray!30] (\x,\y) circle (0.2);
        }
    }

    % Free electrons (random paths with arrowheads)
    \draw[-latex, blue, thick] (0.5,0.2) to[out=30,in=190] (1.7,1.8);
    \draw[-latex, red, thick] (2.3,0.8) to[out=60,in=240] (0.8,2.5);
    \draw[-latex, green!70!black, thick] (1.2,0.5) to[out=10,in=200] (2.5,2.2);
    \draw[-latex, orange, thick] (0.3,1.5) to[out=330,in=130] (2.8,0.7);

    % Electron labels
    \node[blue] at (0.3,-0.3) {Free electrons};
    \node at (1.5,-0.3) {Regular lattice};
\end{scope}

% Plastic structure (right)
\begin{scope}[shift={(3,0)}]
    % Title
    \node at (0,4.5) {\textbf{Plastic Structure}};

    % Polymer chains (random tangled paths)
    \draw[purple, thick] plot[smooth, tension=1] coordinates {(-1,0) (0.5,1) (0,2.5) (1.5,3) (2.5,2)};
    \draw[brown, thick] plot[smooth, tension=0.8] coordinates {(-1.5,3) (0,2) (1,0.5) (0.5,-0.5)};
    \draw[teal, thick] plot[smooth, tension=1.2] coordinates {(1.5,0) (0,1.5) (2,2.5) (3,1)};
    \draw[magenta, thick] plot[smooth, tension=0.7] coordinates {(-0.5,1) (1.2,2) (3,0.5)};

    % Labels
    \node[purple] at (1.5,-0.3) {Tangled polymer chains};
    \node at (1.5,-0.8) {No free electrons};
\end{scope}

\end{tikzpicture}
\end{document}"
155,"A large block labeled ""high thermal capacity"" with a thermometer rising from 20°C to 40°C, showing energy flowing into the block.","\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{decorations.pathmorphing, arrows.meta}
\begin{document}
\begin{tikzpicture}
    % Block with high thermal capacity
    \draw[thick] (0,0) rectangle (4,2);
    \node at (2,1) {high thermal capacity};

    % Thermometer bulb
    \draw[thick] (3,2) circle (0.3);
    \fill[red] (3,2) circle (0.3);

    % Thermometer tube
    \draw[thick] (2.7,2.3) rectangle (3.3,5);
    \fill[red] (2.72,2.3) rectangle (3.28,4.0); % Liquid column up to 40°C

    % Temperature marks and labels
    \draw[dashed] (2.6,3.0) -- (3.4,3.0);
    \node[anchor=west] at (3.4,3.0) {20°C};
    \draw (2.6,4.0) -- (3.4,4.0);
    \node[anchor=west] at (3.4,4.0) {40°C};

    % Rise indicator arrow
    \draw[-Stealth, thick] (3.35,3.0) -- (3.35,4.0);

    % Energy flow (heat waves)
    \draw[->, decorate, decoration={snake, amplitude=0.5mm, segment length=2mm}, thick] (-1,1.5) -- (0,1.5);
    \draw[->, decorate, decoration={snake, amplitude=0.5mm, segment length=2mm}, thick] (-1,0.5) -- (0,0.5);
\end{tikzpicture}
\end{document}"
157,"Box with two horizontal arrows: one forward labeled ""3.0 N applied force,"" one backward labeled ""1.0 N friction."" Distance arrow below the box shows ""2.0 m.""","\begin{tikzpicture}
    % Draw the box
    \draw[thick] (-0.5,-0.5) rectangle (0.5,0.5);
    
    % Applied force (rightward)
    \draw[->, line width=1.5pt] (0.5,0) -- (3.5,0) node[midway, above] {3.0 N applied force};
    
    % Friction force (leftward)
    \draw[->, line width=1.5pt] (-0.5,0) -- (-1.5,0) node[midway, above] {1.0 N friction};
    
    % Distance arrow (below)
    \draw[->, line width=1.5pt] (0,-1.5) -- (2,-1.5) node[midway, above] {2.0 m};
\end{tikzpicture}"
158,"A ball moving east labeled ""p = 10 kg·m/s east"" and an identical ball moving west labeled ""p = 10 kg·m/s west"". This shows equal magnitude but opposite directions → vector nature.","\documentclass[tikz,border=3mm]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>=Stealth]
    % Left ball (moving east)
    \draw[fill=gray!20] (0,0) circle (0.5cm);
    \draw[->, line width=1pt] (0,0.7) -- node[above] {p = 10 kg·m/s east} (2,0.7);
    
    % Right ball (moving west)
    \draw[fill=gray!20] (5,0) circle (0.5cm);
    \draw[->, line width=1pt] (5,0.7) -- node[above] {p = 10 kg·m/s west} (3,0.7);
    
    % Direction labels
    \node at (1,-1) {East};
    \draw[->] (0,-1) -- (2,-1);
    \node at (4,-1) {West};
    \draw[->] (5,-1) -- (3,-1);
\end{tikzpicture}
\end{document}"
159,"Sketch of the three objects with labeled dimensions and masses:  
- X: Cube, side 2 cm, mass 80 g  
- Y: Cuboid, 4 cm × 2 cm × 1 cm, mass 160 g  
- Z: Cube, side 3 cm, mass 270 g","\begin{tikzpicture}[scale=0.8]
  % Object X: Cube (2cm side)
  \draw (0,0) rectangle (2,2);
  \draw[dashed] (0,0) -- (0.5,0.5);
  \draw[dashed] (2,0) -- (2.5,0.5);
  \draw[dashed] (0,2) -- (0.5,2.5);
  \draw (0.5,0.5) -- (0.5,2.5) -- (2.5,2.5) -- (2.5,0.5) -- cycle;
  \draw (2,2) -- (2.5,2.5);
  \node at (1,1) {X};
  \draw[<->] (0,-0.3) -- (2,-0.3) node[midway,below] {2 cm};
  \node at (1,-1) {80 g};

  % Object Y: Cuboid (4×2×1 cm)
  \draw (4,0) rectangle (8,2);
  \draw[dashed] (4,0) -- (4.3,0.3);
  \draw[dashed] (8,0) -- (8.3,0.3);
  \draw[dashed] (4,2) -- (4.3,2.3);
  \draw (4.3,0.3) -- (4.3,2.3) -- (8.3,2.3) -- (8.3,0.3) -- cycle;
  \draw (8,2) -- (8.3,2.3);
  \node at (6,1) {Y};
  \draw[<->] (4,-0.3) -- (8,-0.3) node[midway,below] {4 cm};
  \draw[<->] (8.5,0) -- (8.5,2) node[midway,right] {2 cm};
  \node at (6,-1) {160 g};

  % Object Z: Cube (3cm side)
  \draw (11,0) rectangle (14,3);
  \draw[dashed] (11,0) -- (11.5,0.5);
  \draw[dashed] (14,0) -- (14.5,0.5);
  \draw[dashed] (11,3) -- (11.5,3.5);
  \draw (11.5,0.5) -- (11.5,3.5) -- (14.5,3.5) -- (14.5,0.5) -- cycle;
  \draw (14,3) -- (14.5,3.5);
  \node at (12.5,1.5) {Z};
  \draw[<->] (11,-0.3) -- (14,-0.3) node[midway,below] {3 cm};
  \node at (12.5,-1) {270 g};
\end{tikzpicture}"
166,"A soft iron bar shown with arrows representing tiny magnetic domains pointing in random directions, illustrating an unmagnetized state.","\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>=Stealth]
    % Draw soft iron bar
    \draw[fill=gray!20, draw=black, thick] (0,0) rectangle (6,1);
    
    % Draw random magnetic domains
    \foreach \i in {1,...,80} {
        \pgfmathsetmacro{\x}{0.2 + 5.6*rand}
        \pgfmathsetmacro{\y}{0.2 + 0.6*rand}
        \pgfmathsetmacro{\angle}{360*rand}
        \draw[->, thick] (\x,\y) -- ++(\angle:0.3);
    }
\end{tikzpicture}
\end{document}"
167,"Earth, Moon, and Sun in a straight line. The Moon is between Earth and Sun, casting a shadow on Earth. Arrows labeled ""IR,"" ""UV,"" and ""visible light"" all strike the Moon's surface simultaneously and stop.","\begin{tikzpicture}
    % Draw the Sun
    \draw[fill=yellow] (0,0) circle (0.5) node {Sun};
    
    % Draw the Moon
    \draw[fill=gray!50] (5,0) circle (0.3) node {Moon};
    
    % Draw the Earth
    \draw[fill=blue!30] (8,0) circle (0.4) node {Earth};
    
    % Draw shadow region (dashed lines)
    \draw[dashed] (5,0.3) -- (8,0.1);
    \draw[dashed] (5,-0.3) -- (8,-0.1);
    
    % Draw light rays (starting at Sun's edge)
    \draw[->, red] (0.5,0.03) -- (4.7,0.282) node[pos=0.7, above] {UV};
    \draw[->, green!70!black] (0.5,0) -- (4.7,0) node[pos=0.7, above] {visible light};
    \draw[->, blue] (0.5,-0.03) -- (4.7,-0.282) node[pos=0.7, below] {IR};
\end{tikzpicture}"
168,"Sketch showing air-glass interface. Normal line perpendicular to surface. Incident ray at 45° to normal. Refracted ray bends towards normal, labeled ≈30°. Distractors shown as dashed lines at 29°, 32°, and 82°.","\begin{tikzpicture}[>=Latex]
  % Draw interface and labels
  \draw (-3,0) -- (3,0);
  \node[above] at (0,1.2) {Air};
  \node[below] at (0,-1.2) {Glass};
  
  % Draw normal line
  \draw[dashed] (0,-1.5) -- (0,1.5) node[above] {Normal};
  
  % Draw incident ray (45° to normal)
  \draw[->] (135:2) -- (0,0) node[midway, above left] {Incident ray};
  
  % Draw refracted ray (≈30° to normal)
  \draw[->] (0,0) -- (300:2) node[midway, below right] {Refracted ray};
  
  % Draw distractors (dashed lines)
  \draw[dashed] (0,0) -- (299:1.5); % 29° distractor
  \draw[dashed] (0,0) -- (302:1.5); % 32° distractor
  \draw[dashed] (0,0) -- (352:1.5); % 82° distractor
  
  % Label incident angle (45°)
  \draw (0,0) ++(0,0.5) arc (90:135:0.5);
  \node at (112.5:0.7) {$45^\circ$};
  
  % Label refracted angle (≈30°)
  \draw (0,0) ++(270:0.5) arc (270:300:0.5);
  \node at (285:0.7) {$\approx 30^\circ$};
\end{tikzpicture}"
170,"Parallel wavefronts approach a wide gap. After passing through, the wavefronts remain mostly straight and parallel, with only slight bending at the edges.","\begin{tikzpicture}
    % Draw barriers with gap
    \draw[thick] (0,-3) -- (0,-1);
    \draw[thick] (0,1) -- (0,3);

    % Incident parallel wavefronts (left of gap)
    \foreach \y in {-2.5,-2,...,2.5} {
        \draw (-3,\y) -- (0,\y);
    }

    % Transmitted wavefronts (right of gap)
    \foreach \y in {-0.8,-0.6,...,0.8} {
        \draw (0,\y) -- (3,\y); % Straight central part
    }
    % Slightly bent edges
    \draw (0,0.9) -- (1.5,0.9) .. controls (2,0.95) and (2.5,1.05) .. (3,1.1);
    \draw (0,-0.9) -- (1.5,-0.9) .. controls (2,-0.95) and (2.5,-1.05) .. (3,-1.1);
    \draw (0,1.0) -- (1.5,1.0) .. controls (2,1.06) and (2.5,1.12) .. (3,1.2);
    \draw (0,-1.0) -- (1.5,-1.0) .. controls (2,-1.06) and (2.5,-1.12) .. (3,-1.2);
\end{tikzpicture}"
171,"A vacuum flask showing silvered inner walls reflecting red ""heat rays"" back inward, vacuum layer, and outer plastic casing.","\begin{tikzpicture}
    % Outer plastic casing
    \draw[thick] (0,0) rectangle (4,5);
    \node[align=center, left] at (0,2.5) {Outer plastic\\casing};

    % Vacuum layer
    \draw[thick] (0.8,0.8) rectangle (3.2,4.2);
    \node[align=center] at (0.4,2.5) {Vacuum\\layer};

    % Silvered inner walls
    \draw[thick] (1.2,1.2) rectangle (2.8,3.8);
    \node[align=center, left] at (1.2,2.5) {Silvered\\inner walls};

    % Heat rays (red wavy arrows)
    \draw[red, thick, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (2.0,1.5) -- (1.3,1.5);
    \draw[red, thick, ->, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (1.3,1.5) -- (2.0,2.5);
    \draw[red, thick, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (2.0,3.0) -- (1.3,3.0);
    \draw[red, thick, ->, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (1.3,3.0) -- (2.0,4.0);
\end{tikzpicture}"
173,"A box being pushed horizontally to the right by force F. An arrow labeled ""d"" shows displacement to the right, parallel to F. Caption: ""Force and displacement in the same direction → work done = F × d"".","\documentclass[tikz]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[scale=1]
    % Draw the box
    \draw[thick] (0,0) rectangle (2,1) node[midway] {Box};
    
    % Draw the force arrow (F)
    \draw[-{Latex[length=3mm, width=2mm]}, line width=1pt] (2,0.5) -- (4,0.5) 
        node[midway, above] {F};
    
    % Draw the displacement arrow (d)
    \draw[-{Latex[length=3mm, width=2mm]}, dashed, line width=0.8pt] (0,-0.7) -- (4,-0.7) 
        node[midway, below] {d};
    
    % Draw dotted alignment lines
    \draw[dotted] (0,0) -- (0,-0.7);
    \draw[dotted] (2,0) -- (2,-0.7);
    \draw[dotted] (4,0.5) -- (4,-0.7);
    
    % Caption
    \node[align=center, anchor=north] at (2,-1.5) 
        {Force and displacement in the same direction $\rightarrow$ work done $= F \times d$};
\end{tikzpicture}
\end{document}"
174,Imagine a simple Sankey diagram. A thick arrow labelled 'Input Energy' enters the machine. It splits into a thick arrow labelled 'Useful Output Energy' and a very thin arrow labelled 'Wasted Energy'. The thin wasted energy arrow shows high efficiency.,"\usetikzlibrary{arrows.meta}
\begin{tikzpicture}
    % Input Energy
    \draw[line width=1cm] (-3,0) -- (0,0);
    \node[above] at (-1.5,0.5) {Input Energy};
    
    % Useful Output Energy
    \draw[line width=0.8cm, -{Stealth[length=1cm, width=0.8cm]}] (0,0) -- (3,0);
    \node[above] at (1.5,0.4) {Useful Output Energy};
    
    % Wasted Energy
    \draw[line width=0.2cm, -{Stealth[length=0.5cm, width=0.2cm]}] (0,-0.5) -- (3,-1.5);
    \node[below right] at (1.5,-1) {Wasted Energy};
\end{tikzpicture}"
176,"A beam with unequal forces at different distances from the pivot. Forces cancel vertically, but one side has a larger moment.","\usetikzlibrary{arrows.meta}
\begin{tikzpicture}[scale=0.8, every node/.style={font=\small}]
  % Beam
  \draw[ultra thick] (-3,0) -- (3,0);
  
  % Pivot
  \draw[fill=black] (0,-0.1) -- (-0.5,-1) -- (0.5,-1) -- cycle;
  
  % Force F1 (downward, left)
  \draw[-{Latex[length=3mm, width=2mm]}, line width=1.2pt] (-2,0) -- (-2,-2) 
    node[below] {$F_1$};
  
  % Force F2 (upward, right)
  \draw[-{Latex[length=3mm, width=2mm]}, line width=1.2pt] (1,0) -- (1,3) 
    node[above] {$F_2$};
  
  % Distance markers
  \draw[<->, dashed, thick] (0,-0.8) -- (-2,-0.8) 
    node[midway, below] {$d_1$};
  \draw[<->, dashed, thick] (0,-0.8) -- (1,-0.8) 
    node[midway, below] {$d_2$};
  
  % Labels
  \node at (-2.3, -1) {$\downarrow$};
  \node at (1.3, 1.5) {$\uparrow$};
  \node[below] at (0,-1.2) {pivot};
\end{tikzpicture}"
177,A beam with equal moments but an additional horizontal force pulling it sideways.,"\begin{tikzpicture}
    % Draw the beam
    \draw[thick] (0,0) -- (6,0);
    
    % Left moment (counterclockwise above)
    \draw [->] (0,0.3) ++(0:0.3) arc (0:180:0.3);
    \node at (0,0.6) {M};
    
    % Right moment (clockwise below)
    \draw [->] (6,-0.3) ++(0:0.3) arc (0:-180:0.3);
    \node at (6,-0.6) {M};
    
    % Horizontal force (perpendicular to beam)
    \draw [->] (3,0) -- (3,1) node[midway, right] {F};
\end{tikzpicture}"
179,"A large rock and a small pebble. An arrow labeled ""same force"" pushes both. The rock accelerates slowly, while the pebble accelerates quickly, illustrating higher inertia for larger mass.","\begin{tikzpicture}
    % Large rock
    \draw[fill=gray!30] (-1,-0.7) rectangle (0.5,0.7) node[midway] {rock};
    
    % Small pebble
    \draw[fill=gray!60] (4,0) circle (0.3) node[below=0.3cm] {pebble};
    
    % Force arrows (same length)
    \draw[-stealth, ultra thick] (-2.5,0) -- (-1,0) node[midway, above] {same force};
    \draw[-stealth, ultra thick] (3.1,0) -- (3.7,0) node[midway, above] {same force};
    
    % Acceleration arrows (different lengths)
    \draw[-stealth, blue, ultra thick] (0.5,0) -- (1.5,0) node[midway, above] {slow acceleration};
    \draw[-stealth, blue, ultra thick] (4.3,0) -- (6.3,0) node[midway, above] {fast acceleration};
\end{tikzpicture}"
180,"A concave-downward curve, starting steep and becoming shallower over time. Arrows show the slope decreasing from left to right.","\begin{tikzpicture}[>=stealth]
  % Draw concave-downward curve (exponential decay for decreasing slope)
  \draw[domain=0:4, smooth, variable=\x, thick] plot ({\x}, {4*exp(-\x)});
  
  % Draw slope arrows at selected points
  \foreach \x in {0,1,2,3} {
    \draw[->, thick] (\x, {4*exp(-\x)}) -- ++(0.3, {-1.2*exp(-\x)});
  }
\end{tikzpicture}"
