,question,answer,index
170,A student investigates the refraction of light by a transparent block. He determines a quantity known as the refractive index of the material of the block. The student’s ray-trace sheet is shown full-size in Fig. 3.1.  (DIAGRAM)   The student views the images of P1 and P2 through the block.  He places two pins P3 and P4 so that pins P3 and P4 and the images of P1 and P2 all appear exactly one behind the other.  Draw a straight line through P3 and P4. Extend this line to cross NF.  Label the point at which this line meets NF with the letter G.  Label the point at which this line crosses CD with the letter H.  Join points H and N with a straight line.  [1]      ,all lines present and in correct positions 1,"(7, 'c')"
171,A student investigates the refraction of light by a transparent block. He determines a quantity known as the refractive index of the material of the block. The student’s ray-trace sheet is shown full-size in Fig. 3.1.  (DIAGRAM)     Measure the length a of line HN.  a = ......................................................... cm  Measure the length b of line HG.  b = ......................................................... cm [1]  ,a = 6.1 (cm) and b = 4.2 (cm)  1,"(7, 'd.i')"
172,"A student investigates the refraction of light by a transparent block. He determines a quantity known as the refractive index of the material of the block. The student’s ray-trace sheet is shown full-size in Fig. 3.1.  (DIAGRAM)     Calculate a value n for the refractive index, using the equation  (DIAGRAM) .     n = ......................................................... [1]  ",n = 1.5 / ecf and no unit 1,"(7, 'd.ii')"
173,"A student investigates the refraction of light by a transparent block. He determines a quantity known as the refractive index of the material of the block. The student’s ray-trace sheet is shown full-size in Fig. 3.1.  (DIAGRAM)   The student repeats the above procedure for an angle θ2 = 40°. He places two pins P5 and P6 so that pins P5 and P6 and the images of P1 and P2 all appear exactly one behind the other. Draw a line through pins P5 and P6. Extend the line until it meets GH. Label the point at which this line meets GH with the letter K. Label the point at which this line crosses CD with the letter R.   Measure the angle α, where α is the acute angle between lines RK and GH.  α = ......................................................... [1]  ",α = 23° ± 2° 1,"(7, 'e.i')"
174,A student investigates the refraction of light by a transparent block. He determines a quantity known as the refractive index of the material of the block. The student’s ray-trace sheet is shown full-size in Fig. 3.1.  (DIAGRAM)   The student repeats the above procedure for an angle θ2 = 40°. He places two pins P5 and P6 so that pins P5 and P6 and the images of P1 and P2 all appear exactly one behind the other. Draw a line through pins P5 and P6. Extend the line until it meets GH. Label the point at which this line meets GH with the letter K. Label the point at which this line crosses CD with the letter R.   Another student suggests that angle α should be equal to the difference between angle θ2 from (e)(i) and angle θ1 from (a)(ii). State whether your results support this suggestion. Justify your answer by reference to values from your results.     statement ..........................................................................................................................  justification ........................................................................................................................ ........................................................................................................................................... [2]  ,statement matching results 1 justification matching statement e.g. within limits of experimental accuracy / owtte with values to support 1,"(7, 'e.ii')"
175,A student investigates the refraction of light by a transparent block. He determines a quantity known as the refractive index of the material of the block. The student’s ray-trace sheet is shown full-size in Fig. 3.1.  (DIAGRAM)   Suggest one technique to use in this type of experiment to ensure results are accurate.  ................................................................................................................................................... ............................................................................................................................................. [1],"one valid technique e.g.: thin lines / use sharp pencil, look at base of pins / keep pins vertical, thin pins 1","(7, 'f')"
176,"A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)   On Fig. 2.1, draw a voltmeter connected to measure the potential difference (p.d.) across the resistor. [1]   ",correct voltmeter symbol in parallel with resistor 1,"(8, 'a')"
177,A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)   The student connects the crocodile clip to the resistance wire at the 100.0cm mark on the metre ruler and measures the potential difference V0 across the resistor.  The voltmeter is shown in Fig. 2.2.  (DIAGRAM) Read and record the value of V0 shown on the voltmeter in Fig. 2.2.   V0 = .......................................................V [1]  ,V0 = 3.2(V) 1,"(8, 'b')"
178,"A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)   The student moves the crocodile clip to a length of resistance wire l = 20.0cm. Read and record in Table 2.1, the current for l = 20.0cm, shown on the ammeter in Fig. 2.3.  [1]  (DIAGRAM)   ",I = 0.18(A) recorded in Table 2.1 1,"(8, 'c')"
179,"A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)   The student measures the current I for lengths of resistance wire l = 30.0cm, l = 40.0cm, l = 50.0cm and l = 60.0cm. Her readings are shown in Table 2.1.  (DIAGRAM)   Plot a graph of l/cm (y-axis) against I /A (x-axis). Draw a best-fit straight line. You do not need to start the axes at the origin (0,0).  [4]  (DIAGRAM)   ",graph:   • axes labelled with quantity and unit 1 • appropriate scales (plots occupying at least ½ grid) 1 • plots all correct to ½ small square and precise plots 1 • well-judged line and thin line 1,"(8, 'd')"
180,A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)     Determine the gradient G of the graph. Show clearly on the graph how you obtained the necessary information.    G = ......................................................... [1]  ,G present and triangle method seen on graph 1,"(8, 'e.i')"
181,A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)     Calculate the resistance R of the resistor. Use your value of V0 from (b) and the equation:  (DIAGRAM)    R = ...................................................... Ω [1]  ,R in range 4.8 (Ω) to 5.8 (Ω) 1,"(8, 'e.ii')"
182,"A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)   Suggest one practical reason why other students might not obtain the same result as this student, even if they do the experiment carefully.  ................................................................................................................................................... ............................................................................................................................................. [1]  ","valid practical source of inaccuracy, e.g: uncertain connection point on crocodile clip / resistance wire irregular / curved / not uniform / differing thickness along wire 1","(8, 'f')"
183,A student determines the resistance of a resistor. She uses the apparatus shown in Fig. 2.1.  (DIAGRAM)   The resistance wire can become very hot during this type of experiment. Suggest one change to the apparatus that prevents this.  ................................................................................................................................................... ............................................................................................................................................. [1],suitable improvement e.g: reduce e.m.f. of power supply / thinner resistance wire / use of additional series / protective resistor to reduce current 1,"(8, 'g')"
184,A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)     Record room temperature θR shown on the thermometer in Fig. 1.1.   θR = .................................................... °C [1]  ,θR = 22(°C ) 1,"(9, 'a.i')"
185,A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)     Describe one technique to use so that the temperature reading is as accurate as possible in this experiment.  ........................................................................................................................................... ..................................................................................................................................... [1]  ,view temperature scale perpendicularly 1,"(9, 'a.ii')"
186,"A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)   The student pours an estimated volume of 75cm3 of hot water into beaker A. He uses the scale on the beaker as a guide. He puts the thermometer into the water in beaker A and records, in Table 1.1, the temperature θ at time t = 0. He records, in Table 1.1, the temperature of the water in beaker A every 30s. The student repeats the procedure for beaker B. His readings are shown in Table 1.1. Suggest one possible source of inaccuracy in the procedure, even if it is carried out carefully.  ................................................................................................................................................... ............................................................................................................................................. [1]  (DIAGRAM)   ",source of inaccuracy e.g: 75 cm3 difficult to estimate with large graduations on beakers 1,"(9, 'b')"
187,A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)   Write a conclusion describing the effect of changing the size of the beaker on the rate of cooling of the hot water. Justify your answer by reference to values from the results.  ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [2]  ,"statement matching readings in table 1 justification with comparison of temperature changes over 180 s, matching statement 1","(9, 'c')"
188,A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)   Students in other schools do the same experiment using identical apparatus. State one variable that they need to control in order to obtain readings as close as possible to the readings in Table 1.1.  ................................................................................................................................................... ............................................................................................................................................. [1]  ,"one suitable variable not referencing apparatus e.g.: volume of water, initial temperature, room / air / surrounding / environmental temperature 1","(9, 'd')"
189,A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)   Calculate the average cooling rate x for beaker B. Use the readings for beaker B in Table 1.1 and the equation  (DIAGRAM) where T = 180s and θ0 and θ180 are the temperatures of the water in beaker B at t = 0 and t = 180s. Include the unit for the cooling rate.    x = ......................................................... [2]  ,x = 0.0917 1 with unit °C / s 1,"(9, 'e')"
190,A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)     Another student thinks that more thermal energy is lost from the surface of the water in beaker B than from the sides of beaker B. Suggest an additional experiment that she can do with beaker B to test her idea.  ........................................................................................................................................... ..................................................................................................................................... [1]  ,appropriate additional experiment: e.g. repeat for beaker B with lid / cover on top or with insulation on sides 1,"(9, 'f.i')"
191,A student investigates the cooling of water in different sized beakers. He uses the apparatus shown in Fig. 1.1. Beaker A and beaker B have graduations as shown in Fig. 1.1.  (DIAGRAM)     Suggest how the cooling rate of the water in beaker B in this additional experiment compares with the value of x in (e) if her idea is correct.  ........................................................................................................................................... ........................................................................................................................................... ..................................................................................................................................... [2],cooling rate < x 1 with lid – cooling rate < x/2 OR with sides insulated – cooling rate > x/2 (but < x) 1,"(9, 'f.ii')"
192,"A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)     The student:  • switches on the lamp • places the lens a distance u = 20.0 cm from the illuminated object (a triangular hole in the card) • adjusts the position of the screen until a sharp image of the illuminated object is formed on the screen.  Measure on Fig. 3.1, to the nearest 0.1 cm, the image distance d from the centre of the lens to the screen.   d = ................................................... cm [1]  ",d = 12.1 (cm) 1,"(1, 'a.i')"
193,A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)     Fig. 3.1 is drawn to a scale of one‑fifth  (DIAGRAM)  full size. Calculate the actual image distance v from the lens and record your value in Table 3.1. [1]  (DIAGRAM)   ,60.5 (cm) 1,"(1, 'a.ii')"
194,A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)   The diagram in Fig. 3.2 shows the illuminated object and its image drawn full size when u = 20.0 cm.   (DIAGRAM)   State two ways in which the image differs from the object.  1 ........................................................................................................................................  2 ........................................................................................................................................ [1]  ,image is inverted / upside down and image is bigger / magnified 1,"(1, 'b.i')"
195,A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)   The diagram in Fig. 3.2 shows the illuminated object and its image drawn full size when u = 20.0 cm.   (DIAGRAM)   The magnification m of the image can be calculated using the equation shown.  (DIAGRAM) Use your answer to (a)(ii) to calculate the magnification m of the image.     m = ......................................................... [1]  ,3.0(25) 1,"(1, 'b.ii')"
196,"A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)   The student repeats the procedure in (a)(i) for values of u = 25.0 cm, u = 35.0 cm, u = 45.0 cm, u = 55.0 cm and u = 60.0 cm. The student’s results are shown in Table 3.1. Plot a graph of v/cm (y‑axis) against u/ cm (x‑axis). Draw the best‑fit curve.  [3]  (DIAGRAM)   ","axes labelled with units 1 plots correct to ± ½ small square 1 good best-fit curve judgement, thin, continuous line 1","(1, 'c')"
197,A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)   Use your graph to find the value of v when u = 30.0 cm. Show clearly on the graph how you obtained the necessary information.   v = ................................................... cm [2]  ,method shown on graph 1 candidate’s value of v for u = 30.0 cm read correctly from the graph to ± ½ small square 1,"(1, 'd')"
198,A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)   The focal length f of the lens can be found using the equation  (DIAGRAM) . Use the values of u and v from (d) to calculate the focal length of the lens.    f = ................................................... cm [1]  ,f in the range 14.0 (cm) to 16.0 (cm) inclusive 1,"(1, 'e')"
199,A student investigates the image formed by a converging lens. The apparatus is set up as shown in Fig. 3.1.  (DIAGRAM)   State one technique you use when doing the experiment to ensure that the image on the screen is as clearly focussed as possible.  ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [1],move screen slowly / to and fro (owtte) / carry out experiment in a darkened part of the laboratory / use a brighter object 1,"(1, 'f')"
200,"A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)   The student: •  connects a voltmeter to measure the potential difference across the 220 Ω resistor •  closes the switch •  records the voltmeter reading VPQ in the top row of Table 2.1 •  opens the switch.   On Fig. 2.1, draw the symbol for a voltmeter connected to measure the potential difference across the 220 Ω resistor. [2]  ",correct voltmeter symbol 1 voltmeter in parallel with the 220  resistor 1,"(2, 'a.i')"
201,A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)   The student: •  connects a voltmeter to measure the potential difference across the 220 Ω resistor •  closes the switch •  records the voltmeter reading VPQ in the top row of Table 2.1 •  opens the switch.   The voltmeter reading is shown in Fig. 2.2.  (DIAGRAM) Write down the reading in the top row of Table 2.1 under the heading VPQ.  [1]       (DIAGRAM)   ,2.4 (V) 1,"(2, 'a.ii')"
202,A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)   The student:  •  disconnects the voltmeter from points P and Q •  reconnects the voltmeter across the LED between points Q and R •  closes the switch. •  records the voltmeter reading VQR in the top row of Table 2.1 •  opens the switch.  Calculate the current I in the circuit in part (a) using the equation  (DIAGRAM) where R = 220 Ω.  Record your answer in the top row of Table 2.1.  [1]  ,(I = 2.4 / 220 =) 0.0109 / 0.011 (A)  1,"(2, 'b')"
203,A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)   Calculate the resistance RLED of the LED using the equation  (DIAGRAM) Record your answer to a suitable number of significant figures for this experiment in the top row of Table 2.1. [2]   ,190 / 191 / 192 / 193 Ω or values rounding to these 1 answer expressed to 2/3 significant figures 1,"(2, 'c')"
204,A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)   The student:  •  removes the 220 Ω resistor from the circuit and replaces it with a 330 Ω resistor •  reconnects the voltmeter across the resistor between points P and Q •  repeats parts (a) to (c) for the 330 Ω resistor.  Use the information in Table 2.1 to calculate the value of the potential difference VPQ across the 330 Ω resistor. Show your working and record your answer in Table 2.1.  [1]       ,2.5 / 2.51 / 2.508 1,"(2, 'd')"
205,"A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)   As the resistance between points P and Q changes, the current in the circuit changes. Use your results in Table 2.1 to write a conclusion, stating how the change in current affects the potential difference VQR across the LED and the resistance RLED of the LED.  ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [2]  ",as the current decreases VLED decreases (or reverse) 1 and RLED increases (or reverse) 1,"(2, 'e')"
206,A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)     Another student uses a variable resistor to control the current in the circuit. Draw the symbol for a variable resistor.  [1]       ,symbol correct (See page 9 of this document for further guidance on tolerance for candidate answers for this question part). 1,"(2, 'f.i')"
207,A student measures the resistance of a light‑emitting diode (LED) when the current in it changes. The student sets up the circuit shown in Fig. 2.1.  (DIAGRAM)     Explain one advantage of using a variable resistor for this purpose rather than the procedure carried out in (a) and (b).  ........................................................................................................................................... ..................................................................................................................................... [1],avoids connecting / disconnecting the circuit / can obtain a continuous set of values / easier (to change the current/resistance) / quicker / can obtain more values of resistance / current 1,"(2, 'f.ii')"
208,"Fig. 1.1 represents a stack of glass microscope slides.  (DIAGRAM)  A student takes measurements from a stack of glass microscope slides in order to estimate the number of slides in the stack. The sides of the stack have been covered with tape so that the student cannot count the number of slides in the stack. Fig. 1.2 shows side views of the taped stack of slides given to the student. This figure has been drawn at full scale.  (DIAGRAM)   Using Fig. 1.2, measure the length l, the width w and the height h of the covered stack of slides in centimetres to the nearest millimetre.  l = ......................................................... cm  w = ......................................................... cm  h = ......................................................... cm [2]  ","l = 7.5 (cm), w = 2.5 (cm), h = 1.3 (cm) 1 all values to nearest millimetre 1","(3, 'a')"
209,Fig. 1.1 represents a stack of glass microscope slides.  (DIAGRAM)  A student takes measurements from a stack of glass microscope slides in order to estimate the number of slides in the stack. The sides of the stack have been covered with tape so that the student cannot count the number of slides in the stack. Fig. 1.2 shows side views of the taped stack of slides given to the student. This figure has been drawn at full scale.  (DIAGRAM)     The student uses a balance to measure the mass M of the covered stack of slides.  (DIAGRAM) Write down the mass M of the covered slides to the nearest 0.1 g.   M = ...................................................... g [1]  ,57.9 (g) 1,"(3, 'b.i')"
210,Fig. 1.1 represents a stack of glass microscope slides.  (DIAGRAM)  A student takes measurements from a stack of glass microscope slides in order to estimate the number of slides in the stack. The sides of the stack have been covered with tape so that the student cannot count the number of slides in the stack. Fig. 1.2 shows side views of the taped stack of slides given to the student. This figure has been drawn at full scale.  (DIAGRAM)     Calculate the density ρ of the glass. Use your results from (a) and (b)(i) and the equation shown.  (DIAGRAM) Give the unit for your answer.   ρ = ...............................................................  unit = ............................................................... [2]  ,2.3 (754) 1 g / cm3 1,"(3, 'b.ii')"
211,"Fig. 1.1 represents a stack of glass microscope slides.  (DIAGRAM)  A student takes measurements from a stack of glass microscope slides in order to estimate the number of slides in the stack. The sides of the stack have been covered with tape so that the student cannot count the number of slides in the stack. Fig. 1.2 shows side views of the taped stack of slides given to the student. This figure has been drawn at full scale.  (DIAGRAM)   The teacher writes down the mass m and the thickness t of a single microscope slide on a piece of card, as shown in Fig. 1.4.  (DIAGRAM)   Use your answer to (b)(i) and information from the card in Fig. 1.4 to estimate the number of microscope slides N1 in the covered stack.   N1 = ......................................................... [2]  ",N1 correctly calculated (13.7857) 1 answer given to the nearest integer rounded up or down (13 or 14) 1,"(3, 'c.i')"
212,"Fig. 1.1 represents a stack of glass microscope slides.  (DIAGRAM)  A student takes measurements from a stack of glass microscope slides in order to estimate the number of slides in the stack. The sides of the stack have been covered with tape so that the student cannot count the number of slides in the stack. Fig. 1.2 shows side views of the taped stack of slides given to the student. This figure has been drawn at full scale.  (DIAGRAM)   The teacher writes down the mass m and the thickness t of a single microscope slide on a piece of card, as shown in Fig. 1.4.  (DIAGRAM)   Use your answer to (a) and information from the card in Fig. 1.4 to obtain another estimate of the number of microscope slides N2 in the covered stack.   N2 = ......................................................... [1]  ",N2 correct (11 or 12) (11.8181.) 1,"(3, 'c.ii')"
213,Fig. 1.1 represents a stack of glass microscope slides.  (DIAGRAM)  A student takes measurements from a stack of glass microscope slides in order to estimate the number of slides in the stack. The sides of the stack have been covered with tape so that the student cannot count the number of slides in the stack. Fig. 1.2 shows side views of the taped stack of slides given to the student. This figure has been drawn at full scale.  (DIAGRAM)   Two quantities can be considered to be equal within the limits of experimental accuracy if their values are within 10% of each other. State whether your values of N1 and N2 from (c)(i) and (c)(ii) can be considered equal. Support your statement with a calculation. calculation     statement ............................................................................................................................ [2]  ,statement matches candidate’s results 1 10% difference calculation shown using candidate’s values 1,"(3, 'd')"
214,Fig. 1.1 represents a stack of glass microscope slides.  (DIAGRAM)  A student takes measurements from a stack of glass microscope slides in order to estimate the number of slides in the stack. The sides of the stack have been covered with tape so that the student cannot count the number of slides in the stack. Fig. 1.2 shows side views of the taped stack of slides given to the student. This figure has been drawn at full scale.  (DIAGRAM)   Suggest one reason why the estimated values of N are different.  ................................................................................................................................................... ............................................................................................................................................. [1],slides not all the same mass / weight / slides not all the same thickness / the tape adds to the mass / weight / height of the stack 1,"(3, 'e')"
215,"A student investigates the image produced by a lens.  Fig. 3.1 shows the set up.  (DIAGRAM)   On Fig. 3.2, measure the height hO of the illuminated object.  hO = .................................................... cm [1]  ",1.6 (cm) 1,"(5, 'a')"
216,A student investigates the image produced by a lens.  Fig. 3.1 shows the set up.  (DIAGRAM)   The student places the lens at a distance u = 25.0cm from the illuminated object. He moves the screen until a clearly focused image is formed on the screen. He measures the distance v between the centre of the lens and the screen.  v = ........................... 41.2 .............................. cm  Describe two techniques that you use to obtain a clearly focused image.  1 ................................................................................................................................................ ...................................................................................................................................................  2 ................................................................................................................................................ ................................................................................................................................................... [2]  ,Move screen slowly / back and forth 1 Darkened room / bright object 1,"(5, 'b')"
217,A student investigates the image produced by a lens.  Fig. 3.1 shows the set up.  (DIAGRAM)   Calculate the focal length f of the lens using the equation  (DIAGRAM) . Give your answer to three significant figures and include the unit.    f = ......................................................... [3]  ,15.6 (15.5589) 1 cm 1 3 significant figures 1,"(5, 'c')"
218,A student investigates the image produced by a lens.  Fig. 3.1 shows the set up.  (DIAGRAM)   The object is brighter than the image. Complete the sentences to describe two other ways in which the image seen on the screen is different from the object.  1 The image is .........................................................................................................................  2 The image is ......................................................................................................................... [2]  ,Upside down / inverted 1 Magnified / larger 1,"(5, 'd')"
219,A student investigates the image produced by a lens.  Fig. 3.1 shows the set up.  (DIAGRAM)   The student repeats the steps in (b) using a distance u = 30.0cm.  v = ........................... 29.8 ............................... cm  Calculate the focal length f of the lens using the equation  (DIAGRAM) .     f = ......................................................... [1]  ,14.9498 (cm) 1,"(5, 'e')"
220,A student investigates the image produced by a lens.  Fig. 3.1 shows the set up.  (DIAGRAM)   State and explain whether your results for the focal length f are equal within the limits of experimental accuracy.  statement .................................................................................................................................. ...................................................................................................................................................  explanation ............................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... [2],Statement matches results (expect YES) 1 Justification matches statement with reference to values being within 10% of each other. 1,"(5, 'f')"
221,"A student investigates the cooling of water in a metal container.   The student uses a thermometer to measure room temperature θR. Room temperature is 23°C. Show clearly, on Fig. 2.1, the reading θR.  [1]   (DIAGRAM)   ",23°C clearly shown to better than ±0.5°C 1,"(6, 'a')"
222,A student investigates the cooling of water in a metal container.   Fig. 2.2 shows the apparatus set up for the investigation.  (DIAGRAM) The student pours 200cm3 of hot water into the metal container. She places the thermometer in the hot water in the container. She records the temperature at time t = 0. She immediately starts a stop-watch.  She records the temperature in Table 2.1 at 30s intervals until she has seven sets of readings.  Complete the column headings in Table 2.1.  [1]  (DIAGRAM)   ,"°C, minutes 1","(6, 'b')"
223,A student investigates the cooling of water in a metal container.   Plot a graph of temperature θ (y-axis) against time t (x-axis). Label your axes appropriately.  You do not need to start the y-axis at 0. Draw the best-fit curve.  [4]   (DIAGRAM)   ,"Graph:   Axes correctly labelled and right way round 1 Suitable scales 1 All plots correct to ½ small square 1 Good line judgement, thin, continuous line 1","(6, 'c')"
224,A student investigates the cooling of water in a metal container.   A student states that the average rate of cooling of the water decreases as the temperature of the water approaches room temperature. State whether your graph line supports this suggestion. Explain your answer by reference to the shape of the graph line.  statement .................................................................................................................................. ...................................................................................................................................................  explanation ............................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... [2]  ,Statement to match graph line 1 Explanation to match statement and line. 1,"(6, 'd')"
225,A student investigates the cooling of water in a metal container.   Explain why it is good practice to read the thermometer scale at right angles to the reading.  ................................................................................................................................................... ............................................................................................................................................. [1]  ,Avoids line-of-sight / parallax error 1,"(6, 'e')"
226,A student investigates the cooling of water in a metal container.   Draw a measuring cylinder containing water. On your diagram show the line of sight you use to obtain an accurate reading of the volume of water.  [2]       ,Measuring cylinder drawn with liquid 1 Clear indication of line of sight at right angles to cylinder and level with surface of liquid. 1,"(6, 'f')"
227,"A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   The student adjusts the length of the pendulum until the distance d measured from the bottom of the support to the centre of the bob is 90.0cm. He displaces the bob slightly and releases it so that it swings. He measures, and records in Table 1.1, the time t for 10 complete oscillations. Calculate, and record in Table 1.1, the period T of the pendulum. The period is the time for 1 complete oscillation. Calculate a value for T2 and record in Table 1.1.  [2]  (DIAGRAM)   ",(For d = 90.0 cm): T = 1.91 1 T2 = 3.65 (3.6481) 1,"(7, 'a')"
228,"A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   The student repeats the procedure in (a) using a distance d = 45.0cm. Calculate, and record in Table 1.1, the period T of the pendulum. Calculate a value for T2 and record in Table 1.1. [1]   ","T and T2 values present for 45cm, AND T2 both quoted to 3 OR both quoted to 4 significant figures 1","(7, 'b')"
229,A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   Complete the column headings in Table 1.1.  [2]   ,t and T in s 1 T2 in s2 1,"(7, 'c')"
230,A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   Explain why timing 10 oscillations gives a more accurate result for the period T than timing 1 oscillation.  ................................................................................................................................................... ............................................................................................................................................. [1]  ,(Timing) errors (due to reaction time) less significant / (same) error is spread over a longer time 1,"(7, 'd')"
231,A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   Describe one technique that you use to improve accuracy when measuring the distance d. You may draw a diagram to help your description.         ................................................................................................................................................... ............................................................................................................................................. [1]  ,Use of set square or similar horizontal aid OR metre rule close to bob / pendulum 1,"(7, 'e')"
232,A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   Describe one technique that you use to improve accuracy when measuring the time t for 10 oscillations.  ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [1]  ,Use of fiducial point / counting from when pendulum passes the vertical / start counting from zero. 1,"(7, 'f')"
233,A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   The pendulum support is 40cm above the bench. Estimate the distance x between the bottom of the pendulum support and the floor.   x = .................................................... cm [1]  ,100 (cm) < x < 140 (cm) 1,"(7, 'g')"
234,A student investigates the period of a pendulum. Fig. 1.1 shows the set up.   (DIAGRAM)   A student plans to plot a graph of T2 against d. Suggest suitable values of d that the student can use to obtain measurements that are sufficient for this task.  ................................................................................................................................................... ............................................................................................................................................. [2],At least 3 additional values 1 No value greater than distance x as stated in (g) 1,"(7, 'h')"
235,"In this experiment, you will investigate the refraction of light by a transparent block. You will determine a quantity known as the refractive index of the material of the block. Use the separate ray-trace sheet provided. You may refer to Fig. 3.1 for guidance.  (DIAGRAM)    Write your name, centre number and candidate number on your ray-trace sheet. Tie your ray-trace sheet into this Booklet between pages 8 and 9.Place the transparent block approximately in the centre of the ray-trace sheet. Carefully draw round the block and label the corners A, B, C and D as indicated by Fig. 3.1. Remove the block from the ray-trace sheet. Draw a normal to line AB at a point N, 2cm from A. Extend the normal downwards until it crosses the line CD. Label the point at which it crosses CD with the letter F. Draw a line NE, as indicated by Fig. 3.1, 7cm long and at an angle θ1 = 15° to the normal. [2]     ",normal correct 1 θ1 = 15° ± 1° 1,"(9, 'a')"
236,"In this experiment, you will investigate the refraction of light by a transparent block. You will determine a quantity known as the refractive index of the material of the block. Use the separate ray-trace sheet provided. You may refer to Fig. 3.1 for guidance.  (DIAGRAM)    Write your name, centre number and candidate number on your ray-trace sheet. Tie your ray-trace sheet into this Booklet between pages 8 and 9.Replace the block in exactly the same position as in (a). Place two pins P1 and P2 on line NE, a suitable distance apart for accurate ray tracing. Mark with crosses and label the positions of P1 and P2.  View the images of P1 and P2 through the block, from the direction indicated by the eye in Fig. 3.1. Place two pins P3 and P4 so that pins P3 and P4 and the images of P1 and P2 all appear exactly one behind the other.  Mark with crosses and label the positions of P3 and P4.  Remove the block and pins from the ray-trace sheet.  Draw a straight line through P3 and P4. Extend this line to cross NF.  Label the point at which this line meets NF with the letter G. Label the point at which this line crosses CD with the letter H.  [2]   ",pin separation ⩾ 5.0 cm 1 1st set of lines present and in correct positions 1,"(9, 'b')"
