Prompt,Response
"Imagine the thermistor in one branch and the heater in another, both connected between the same pair of nodes, like two paths bridging the same gap.","```tikz
\begin{circuitikz}
    \draw (0,0) node[left] {} to[short, *-] (0,1) 
          to[thermistor, l^=thermistor] (4,1) 
          to[short, -*] (4,0) node[right] {};
    \draw (0,0) to[short, *-] (0,-1) 
          to[heater, l_=heater] (4,-1) 
          to[short, -*] (4,0);
\end{circuitikz}
```"
"Two vertical strips close together, each labeled ""–"". Arrows show them bending away from each other.","```tikz
\begin{tikzpicture}[>=stealth]
  % Left strip
  \draw[thick] (-0.1,1) to [bend left=10] coordinate[midway] (leftmid) (-0.1,-1);
  % Right strip
  \draw[thick] (0.1,1) to [bend right=10] coordinate[midway] (rightmid) (0.1,-1);
  
  % Bending arrows
  \draw[->] (leftmid) -- +(-0.4,0);
  \draw[->] (rightmid) -- +(0.4,0);
  
  % Labels
  \node at (-0.1,1.2) {–};
  \node at (0.1,1.2) {–};
\end{tikzpicture}
```"
"A soft iron bar shown with arrows representing tiny magnetic domains pointing in random directions, illustrating an unmagnetized state.","```latex
\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>=Stealth]
    % Draw soft iron bar
    \draw[fill=gray!20, draw=black, thick] (0,0) rectangle (6,1);
    
    % Draw random magnetic domains
    \foreach \i in {1,...,80} {
        \pgfmathsetmacro{\x}{0.2 + 5.6*rand}
        \pgfmathsetmacro{\y}{0.2 + 0.6*rand}
        \pgfmathsetmacro{\angle}{360*rand}
        \draw[->, thick] (\x,\y) -- ++(\angle:0.3);
    }
\end{tikzpicture}
\end{document}
```

This TikZ code:
1. Draws a soft iron bar as a gray-filled rectangle
2. Generates 80 randomly oriented arrows inside the bar using `\foreach` loop
3. Uses `Stealth` arrowheads for clear domain representation
4. Sets arrow positions with random coordinates within the bar boundaries
5. Assigns random angles (0-360°) to each arrow
6. Maintains appropriate arrow size (0.3cm) for visibility
7. Preserves the unmagnetized state through random domain orientation

The diagram requires no external labels since the random arrow arrangement intrinsically represents the unmagnetized state of the iron bar."
"Earth, Moon, and Sun in a straight line. The Moon is between Earth and Sun, casting a shadow on Earth. Arrows labeled ""IR,"" ""UV,"" and ""visible light"" all strike the Moon's surface simultaneously and stop.","```latex
\begin{tikzpicture}
    % Draw the Sun
    \draw[fill=yellow] (0,0) circle (0.5) node {Sun};
    
    % Draw the Moon
    \draw[fill=gray!50] (5,0) circle (0.3) node {Moon};
    
    % Draw the Earth
    \draw[fill=blue!30] (8,0) circle (0.4) node {Earth};
    
    % Draw shadow region (dashed lines)
    \draw[dashed] (5,0.3) -- (8,0.1);
    \draw[dashed] (5,-0.3) -- (8,-0.1);
    
    % Draw light rays (starting at Sun's edge)
    \draw[->, red] (0.5,0.03) -- (4.7,0.282) node[pos=0.7, above] {UV};
    \draw[->, green!70!black] (0.5,0) -- (4.7,0) node[pos=0.7, above] {visible light};
    \draw[->, blue] (0.5,-0.03) -- (4.7,-0.282) node[pos=0.7, below] {IR};
\end{tikzpicture}
```"
"Sketch showing air-glass interface. Normal line perpendicular to surface. Incident ray at 45° to normal. Refracted ray bends towards normal, labeled ≈30°. Distractors shown as dashed lines at 29°, 32°, and 82°.","```latex
\begin{tikzpicture}[>=Latex]
  % Draw interface and labels
  \draw (-3,0) -- (3,0);
  \node[above] at (0,1.2) {Air};
  \node[below] at (0,-1.2) {Glass};
  
  % Draw normal line
  \draw[dashed] (0,-1.5) -- (0,1.5) node[above] {Normal};
  
  % Draw incident ray (45° to normal)
  \draw[->] (135:2) -- (0,0) node[midway, above left] {Incident ray};
  
  % Draw refracted ray (≈30° to normal)
  \draw[->] (0,0) -- (300:2) node[midway, below right] {Refracted ray};
  
  % Draw distractors (dashed lines)
  \draw[dashed] (0,0) -- (299:1.5); % 29° distractor
  \draw[dashed] (0,0) -- (302:1.5); % 32° distractor
  \draw[dashed] (0,0) -- (352:1.5); % 82° distractor
  
  % Label incident angle (45°)
  \draw (0,0) ++(0,0.5) arc (90:135:0.5);
  \node at (112.5:0.7) {$45^\circ$};
  
  % Label refracted angle (≈30°)
  \draw (0,0) ++(270:0.5) arc (270:300:0.5);
  \node at (285:0.7) {$\approx 30^\circ$};
\end{tikzpicture}
```"
"A ray inside glass strikes the glass-air boundary. At angles < critical angle, most light refracts out. At the critical angle, the refracted ray skims along the boundary. At angles > critical angle, no refracted ray exists – only a reflected ray remains.","```tikz
\usetikzlibrary{arrows.meta}
\begin{tikzpicture}[>=Stealth, scale=1.2]
  % Media boundary
  \draw[thick] (-3,0) -- (3,0);
  \node[above] at (0,0.2) {Air};
  \node[below] at (0,-0.2) {Glass};
  \draw[dashed] (0,-2) -- (0,2); % Normal line

  % Case 1: i < i_c (30° incidence)
  \begin{scope}[blue]
    \draw[->] (0,0) -- (-1.299,-0.75); % Incident ray (30°)
    \draw[->, red] (0,0) -- (-1.116,0.831); % Refracted ray (48.6°)
    \draw[->, green!60!black, thin] (0,0) -- (0.75,-1.299); % Weak reflected ray
    \draw (0,0) ++(270:0.4) arc (270:240:0.4); % Angle i arc
    \node at (255:0.3) {\scriptsize$i$};
    \draw (0,0) ++(90:0.4) arc (90:138.6:0.4); % Angle r arc
    \node at (114:0.3) {\scriptsize$r$};
    \node[above] at (-1.5,1.2) {$i < i_c$};
  \end{scope}

  % Case 2: i = i_c (42° incidence)
  \begin{scope}[shift={(0,-3)}, blue]
    \draw[->] (0,0) -- (-1.114,-1.003); % Incident ray (42°)
    \draw[red, dashed, ->] (0,0) -- (-1.5,0); % Skimming refracted ray
    \draw[->, green!60!black, thin] (0,0) -- (1.003,-1.114); % Reflected ray
    \draw (0,0) ++(270:0.4) arc (270:228:0.4); % Critical angle arc
    \node at (249:0.3) {\scriptsize$i_c$};
    \node[above] at (-1.5,1.2) {$i = i_c$};
  \end{scope}

  % Case 3: i > i_c (50° incidence)
  \begin{scope}[shift={(0,-6)}, blue]
    \draw[->] (0,0) -- (-0.964,-1.147); % Incident ray (50°)
    \draw[->, green!60!black, thick] (0,0) -- (1.147,-0.964); % Strong reflected ray
    \draw (0,0) ++(270:0.4) arc (270:220:0.4); % Angle i arc
    \node at (245:0.3) {\scriptsize$i$};
    \node[above] at (-1.5,1.2) {$i > i_c$};
  \end{scope}
\end{tikzpicture}
```"
"Parallel wavefronts approach a wide gap. After passing through, the wavefronts remain mostly straight and parallel, with only slight bending at the edges.","```latex
\begin{tikzpicture}
    % Draw barriers with gap
    \draw[thick] (0,-3) -- (0,-1);
    \draw[thick] (0,1) -- (0,3);

    % Incident parallel wavefronts (left of gap)
    \foreach \y in {-2.5,-2,...,2.5} {
        \draw (-3,\y) -- (0,\y);
    }

    % Transmitted wavefronts (right of gap)
    \foreach \y in {-0.8,-0.6,...,0.8} {
        \draw (0,\y) -- (3,\y); % Straight central part
    }
    % Slightly bent edges
    \draw (0,0.9) -- (1.5,0.9) .. controls (2,0.95) and (2.5,1.05) .. (3,1.1);
    \draw (0,-0.9) -- (1.5,-0.9) .. controls (2,-0.95) and (2.5,-1.05) .. (3,-1.1);
    \draw (0,1.0) -- (1.5,1.0) .. controls (2,1.06) and (2.5,1.12) .. (3,1.2);
    \draw (0,-1.0) -- (1.5,-1.0) .. controls (2,-1.06) and (2.5,-1.12) .. (3,-1.2);
\end{tikzpicture}
```"
"A vacuum flask showing silvered inner walls reflecting red ""heat rays"" back inward, vacuum layer, and outer plastic casing.","```latex
\begin{tikzpicture}
    % Outer plastic casing
    \draw[thick] (0,0) rectangle (4,5);
    \node[align=center, left] at (0,2.5) {Outer plastic\\casing};

    % Vacuum layer
    \draw[thick] (0.8,0.8) rectangle (3.2,4.2);
    \node[align=center] at (0.4,2.5) {Vacuum\\layer};

    % Silvered inner walls
    \draw[thick] (1.2,1.2) rectangle (2.8,3.8);
    \node[align=center, left] at (1.2,2.5) {Silvered\\inner walls};

    % Heat rays (red wavy arrows)
    \draw[red, thick, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (2.0,1.5) -- (1.3,1.5);
    \draw[red, thick, ->, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (1.3,1.5) -- (2.0,2.5);
    \draw[red, thick, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (2.0,3.0) -- (1.3,3.0);
    \draw[red, thick, ->, decoration={coil, aspect=0.4, segment length=3mm, amplitude=2mm}, decorate] 
        (1.3,3.0) -- (2.0,4.0);
\end{tikzpicture}
```"
"Sketch an insulated cup with initial 100g water at 25°C and added 50g ice at 0°C. After stirring, show the final state: water/ice mixture at 0°C with 18g unmelted ice. Arrows indicate heat flowing from warm water to ice, labeled ""10,500 J lost"" and ""32g ice melts, absorbing latent heat"". Energy balance equation: ""Heat lost = Heat gained"" shown centrally.","```tikz
\usetikzlibrary{arrows.meta}
\begin{tikzpicture}[scale=0.8, every node/.style={font=\footnotesize}]
  % Initial state cup
  \begin{scope}[shift={(0,0)}]
    % Cup outline
    \draw (0,0) ellipse (1.5cm and 0.5cm);
    \draw (-1.5,0) -- (-1.5,-3);
    \draw (1.5,0) -- (1.5,-3);
    \draw (-1.5,-3) arc (180:360:1.5cm and 0.5cm);
    
    % Water (100g at 25°C)
    \fill[blue!30] (-1.5,-3) -- (-1.5,-1.5) arc (180:360:1.5 and 0.5) -- (1.5,-3) arc (0:180:1.5 and 0.5);
    \draw[dashed, blue] (-1.5,-1.5) arc (180:360:1.5 and 0.5);
    \node[blue] at (0,-2.25) {100g, 25°C};
    
    % Ice (50g at 0°C)
    \fill[white] (-1.5,-1.5) arc (180:360:1.5 and 0.5) -- (1.5,-0.5) arc (0:180:1.5 and 0.5) -- cycle;
    \draw[dashed] (-1.5,-1.5) arc (180:360:1.5 and 0.5) -- (1.5,-0.5) arc (0:180:1.5 and 0.5) -- cycle;
    \node at (0,-1) {50g, 0°C};
    
    % Heat flow arrow and labels
    \draw[->, red, thick, -Stealth] (0,-2) -- (0,-1.2);
    \node[red, right] at (0.1,-1.6) {10,500 J lost};
    \node[red, left, align=center] at (-0.1,-1.6) {32g ice melts, \\ absorbing latent heat};
  \end{scope}
  \node[below] at (0,-3.5) {Initial State};

  % Final state cup
  \begin{scope}[shift={(6,0)}]
    % Cup outline
    \draw (0,0) ellipse (1.5cm and 0.5cm);
    \draw (-1.5,0) -- (-1.5,-3);
    \draw (1.5,0) -- (1.5,-3);
    \draw (-1.5,-3) arc (180:360:1.5cm and 0.5cm);
    
    % Water (132g at 0°C)
    \fill[blue!30] (-1.5,-3) -- (-1.5,-1.2) arc (180:360:1.5 and 0.5) -- (1.5,-3) arc (0:180:1.5 and 0.5);
    \draw[dashed, blue] (-1.5,-1.2) arc (180:360:1.5 and 0.5);
    \node[blue] at (0,-2.1) {132g, 0°C};
    
    % Ice cubes (18g at 0°C)
    \fill[white] (-0.8,-1.0) rectangle (-0.5,-0.7);
    \fill[white] (0.1,-1.1) rectangle (0.4,-0.8);
    \fill[white] (0.8,-0.9) rectangle (1.1,-0.6);
    \draw[dashed] (-0.8,-1.0) rectangle (-0.5,-0.7);
    \draw[dashed] (0.1,-1.1) rectangle (0.4,-0.8);
    \draw[dashed] (0.8,-0.9) rectangle (1.1,-0.6);
    \node at (0,-0.5) {18g, 0°C};
  \end{scope}
  \node[below] at (6,-3.5) {Final State};

  % Energy balance equation
  \node[align=center] at (3,1) {\large Heat lost = Heat gained};
\end{tikzpicture}
```"
"A box being pushed horizontally to the right by force F. An arrow labeled ""d"" shows displacement to the right, parallel to F. Caption: ""Force and displacement in the same direction → work done = F × d"".","```latex
\documentclass[tikz]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[scale=1]
    % Draw the box
    \draw[thick] (0,0) rectangle (2,1) node[midway] {Box};
    
    % Draw the force arrow (F)
    \draw[-{Latex[length=3mm, width=2mm]}, line width=1pt] (2,0.5) -- (4,0.5) 
        node[midway, above] {F};
    
    % Draw the displacement arrow (d)
    \draw[-{Latex[length=3mm, width=2mm]}, dashed, line width=0.8pt] (0,-0.7) -- (4,-0.7) 
        node[midway, below] {d};
    
    % Draw dotted alignment lines
    \draw[dotted] (0,0) -- (0,-0.7);
    \draw[dotted] (2,0) -- (2,-0.7);
    \draw[dotted] (4,0.5) -- (4,-0.7);
    
    % Caption
    \node[align=center, anchor=north] at (2,-1.5) 
        {Force and displacement in the same direction $\rightarrow$ work done $= F \times d$};
\end{tikzpicture}
\end{document}
```

This TikZ code generates:
1. A rectangular box centered at (0,0) to (2,1)
2. A solid rightward force arrow ""F"" starting from the box's right edge
3. A dashed displacement arrow ""d"" below the box (aligned with force direction)
4. Dotted vertical lines connecting box edges to displacement arrow
5. The specified caption below the diagram

The arrows use Latex arrowheads from arrows.meta library. All labels and the caption are preserved verbatim. The diagram clearly shows parallel force and displacement vectors in the same direction as described."
Imagine a simple Sankey diagram. A thick arrow labelled 'Input Energy' enters the machine. It splits into a thick arrow labelled 'Useful Output Energy' and a very thin arrow labelled 'Wasted Energy'. The thin wasted energy arrow shows high efficiency.,"```latex
\usetikzlibrary{arrows.meta}
\begin{tikzpicture}
    % Input Energy
    \draw[line width=1cm] (-3,0) -- (0,0);
    \node[above] at (-1.5,0.5) {Input Energy};
    
    % Useful Output Energy
    \draw[line width=0.8cm, -{Stealth[length=1cm, width=0.8cm]}] (0,0) -- (3,0);
    \node[above] at (1.5,0.4) {Useful Output Energy};
    
    % Wasted Energy
    \draw[line width=0.2cm, -{Stealth[length=0.5cm, width=0.2cm]}] (0,-0.5) -- (3,-1.5);
    \node[below right] at (1.5,-1) {Wasted Energy};
\end{tikzpicture}
```"
Object C shows a horizontal beam pivoted at its center. Identical downward forces act at equal distances left and right of the pivot. Upward forces at the pivot balance the total weight.,"```tikz
\documentclass[tikz,border=10pt]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>=Stealth]
  % Support triangle
  \filldraw[fill=gray!30] (-0.5,-0.5) -- (0.5,-0.5) -- (0,0) -- cycle;
  
  % Beam
  \draw[ultra thick] (-3,0) -- (3,0);
  
  % Forces
  \draw[->, thick, blue] (-2,0) -- (-2,-1) node[midway, right] {$F$};
  \draw[->, thick, blue] (2,0) -- (2,-1) node[midway, left] {$F$};
  \draw[->, thick, red] (0,0) -- (0,1) node[midway, left] {$2F$};
  
  % Distance markers
  \draw[<->, dashed] (-2,0.3) -- (0,0.3) node[midway, above] {$d$};
  \draw[<->, dashed] (0,0.3) -- (2,0.3) node[midway, above] {$d$};
  
  % Pivot point
  \fill (0,0) circle (2pt);
  
  % Object label
  \node[above] at (0,0.6) {Object C};
\end{tikzpicture}
\end{document}
```"
"A beam with unequal forces at different distances from the pivot. Forces cancel vertically, but one side has a larger moment.","```latex
\usetikzlibrary{arrows.meta}
\begin{tikzpicture}[scale=0.8, every node/.style={font=\small}]
  % Beam
  \draw[ultra thick] (-3,0) -- (3,0);
  
  % Pivot
  \draw[fill=black] (0,-0.1) -- (-0.5,-1) -- (0.5,-1) -- cycle;
  
  % Force F1 (downward, left)
  \draw[-{Latex[length=3mm, width=2mm]}, line width=1.2pt] (-2,0) -- (-2,-2) 
    node[below] {$F_1$};
  
  % Force F2 (upward, right)
  \draw[-{Latex[length=3mm, width=2mm]}, line width=1.2pt] (1,0) -- (1,3) 
    node[above] {$F_2$};
  
  % Distance markers
  \draw[<->, dashed, thick] (0,-0.8) -- (-2,-0.8) 
    node[midway, below] {$d_1$};
  \draw[<->, dashed, thick] (0,-0.8) -- (1,-0.8) 
    node[midway, below] {$d_2$};
  
  % Labels
  \node at (-2.3, -1) {$\downarrow$};
  \node at (1.3, 1.5) {$\uparrow$};
  \node[below] at (0,-1.2) {pivot};
\end{tikzpicture}
```

This TikZ code generates a beam diagram with:
1. A thick horizontal beam from (-3,0) to (3,0)
2. A triangular pivot at (0,0) 
3. Downward force $F_1$ at (-2,0)
4. Upward force $F_2$ at (1,0)
5. Dashed distance markers $d_1$ (pivot to $F_1$) and $d_2$ (pivot to $F_2$)
6. Force direction indicators (↓ for $F_1$, ↑ for $F_2$)
7. All elements labeled according to the description

The diagram shows unequal forces ($F_1$ and $F_2$) at different distances ($d_1 > d_2$) from the pivot, with forces canceling vertically but creating unequal moments due to different lever arms. The scale follows 1cm = 1m for distances."
A beam with equal moments but an additional horizontal force pulling it sideways.,"```latex
\begin{tikzpicture}
    % Draw the beam
    \draw[thick] (0,0) -- (6,0);
    
    % Left moment (counterclockwise above)
    \draw [->] (0,0.3) ++(0:0.3) arc (0:180:0.3);
    \node at (0,0.6) {M};
    
    % Right moment (clockwise below)
    \draw [->] (6,-0.3) ++(0:0.3) arc (0:-180:0.3);
    \node at (6,-0.6) {M};
    
    % Horizontal force (perpendicular to beam)
    \draw [->] (3,0) -- (3,1) node[midway, right] {F};
\end{tikzpicture}
```"
"A wheel rolling at steady speed. Linear forces balance, but friction torque causes rotation.","```tikz
\usetikzlibrary{arrows.meta}
\begin{tikzpicture}[scale=0.8, >=stealth]
  % Ground
  \draw[thick] (-3,-1) -- (3,-1);
  \node at (3.2,-1) {Ground};
  
  % Wheel
  \draw[thick] (0,0) circle (1.5cm);
  \fill (0,0) circle (2pt) node[above right] {O};
  
  % Velocity arrow
  \draw[->, thick] (0,1.7) -- (2,1.7) node[midway, above] {$v$};
  
  % Forces at center O
  \draw[->, thick, red] (0,0) -- (0,-1.5) node[below left] {$mg$}; % Weight
  \draw[->, thick, blue] (0,0) -- (-1.5,0) node[left] {$\vec{F}_{\text{applied}}$}; % Applied force
  
  % Forces at contact point
  \coordinate (C) at (0,-1.5);
  \fill (C) circle (2pt) node[below right] {C};
  \draw[->, thick, green!70!black] (C) -- (0,-0.5) node[right, pos=0.7] {$N$}; % Normal force
  \draw[->, thick, orange] (C) -- (1.5,-1.5) node[below, pos=0.8] {$\vec{f}_{\text{friction}}$}; % Friction force
  
  % Torque arrow (clockwise)
  \draw[->, ultra thick, violet, >=Latex] (1.2,0) arc (0:-180:1.2) node[midway, below left] {$\tau$};
\end{tikzpicture}
```"
"A large rock and a small pebble. An arrow labeled ""same force"" pushes both. The rock accelerates slowly, while the pebble accelerates quickly, illustrating higher inertia for larger mass.","```latex
\begin{tikzpicture}
    % Large rock
    \draw[fill=gray!30] (-1,-0.7) rectangle (0.5,0.7) node[midway] {rock};
    
    % Small pebble
    \draw[fill=gray!60] (4,0) circle (0.3) node[below=0.3cm] {pebble};
    
    % Force arrows (same length)
    \draw[-stealth, ultra thick] (-2.5,0) -- (-1,0) node[midway, above] {same force};
    \draw[-stealth, ultra thick] (3.1,0) -- (3.7,0) node[midway, above] {same force};
    
    % Acceleration arrows (different lengths)
    \draw[-stealth, blue, ultra thick] (0.5,0) -- (1.5,0) node[midway, above] {slow acceleration};
    \draw[-stealth, blue, ultra thick] (4.3,0) -- (6.3,0) node[midway, above] {fast acceleration};
\end{tikzpicture}
```"
"A concave-downward curve, starting steep and becoming shallower over time. Arrows show the slope decreasing from left to right.","```latex
\begin{tikzpicture}[>=stealth]
  % Draw concave-downward curve (exponential decay for decreasing slope)
  \draw[domain=0:4, smooth, variable=\x, thick] plot ({\x}, {4*exp(-\x)});
  
  % Draw slope arrows at selected points
  \foreach \x in {0,1,2,3} {
    \draw[->, thick] (\x, {4*exp(-\x)}) -- ++(0.3, {-1.2*exp(-\x)});
  }
\end{tikzpicture}
```"
"Simple sketch comparing all four graphs, highlighting curve C flattening.","```latex
\begin{tikzpicture}
    \begin{axis}[
        width=5cm,
        height=4cm,
        axis lines=center,
        xmin=-1, xmax=5,
        ymin=-1, ymax=5,
        xlabel={$x$},
        ylabel={$y$},
        ticks=none,
        clip=false
    ]
        \addplot[blue, thick, domain=0:4] {x} node[above left] {A};
    \end{axis}

    \begin{axis}[
        xshift=6cm,
        width=5cm,
        height=4cm,
        axis lines=center,
        xmin=-1, xmax=5,
        ymin=-1, ymax=5,
        xlabel={$x$},
        ylabel={$y$},
        ticks=none
    ]
        \addplot[blue, thick, domain=0:3] {0.3*x^2} node[above left] {B};
    \end{axis}

    \begin{axis}[
        yshift=-5cm,
        width=5cm,
        height=4cm,
        axis lines=center,
        xmin=-1, xmax=5,
        ymin=-1, ymax=5,
        xlabel={$x$},
        ylabel={$y$},
        ticks=none
    ]
        \addplot[red, very thick, domain=0:2] {3.5*e^(-0.7*x)} 
            node[above left] {C};
        \draw[red, dashed, ->] (2.5,0.7) -- (3.8,0.4) 
            node[below, font=\footnotesize] {Flattening};
    \end{axis}

    \begin{axis}[
        xshift=6cm,
        yshift=-5cm,
        width=5cm,
        height=4cm,
        axis lines=center,
        xmin=-1, xmax=5,
        ymin=-1, ymax=5,
        xlabel={$x$},
        ylabel={$y$},
        ticks=none
    ]
        \addplot[blue, thick, domain=0:4] {0.2*(x-2)^3 + 2} 
            node[above left] {D};
    \end{axis}
\end{tikzpicture}
```"
"Split-ring commutator attached to a coil in a magnetic field. Brushes contact opposite halves of the ring after each half-turn, flipping current direction in the coil.","```latex
\begin{tikzpicture}
  % Axis
  \draw[dashed] (-2,0) -- (4,0);
  
  % Coil (rectangle representation)
  \draw (-0.5,-1) rectangle (0.5,1);
  
  % Split-ring commutator
  \draw (3,0) ++(10:0.5) arc (10:170:0.5);   % Top half-ring
  \draw (3,0) ++(190:0.5) arc (190:350:0.5); % Bottom half-ring
  
  % Connections from coil to rings
  \draw (0.5,1) to[out=0, in=180] (2.5,0.5);
  \draw (0.5,-1) to[out=0, in=180] (2.5,-0.5);
  
  % Brushes
  \draw (2.5,0.5) -- (2.5,0.7) -- (3.5,0.7) -- (3.5,0.5); % Top brush
  \draw (3,0.7) -- (3,1.5); % Top brush wire
  \draw (2.5,-0.5) -- (2.5,-0.7) -- (3.5,-0.7) -- (3.5,-0.5); % Bottom brush
  \draw (3,-0.7) -- (3,-1.5); % Bottom brush wire
  
  % Magnetic field direction
  \draw[->, thick] (-1,1.5) -- (1,1.5) node[above, midway] {$\vec{B}$};
\end{tikzpicture}
```"
"Sketch of a graph showing only positive half-cycles of a sine wave, with the voltage dropping to zero during the negative half-cycles. Zero voltage is shown as a flat line along the time axis.","```latex
\begin{tikzpicture}[>=stealth, scale=1]
    % Axes
    \draw[->] (0,0) -- (5,0) node[below] {time};
    \draw[->] (0,0) -- (0,1.5) node[left] {voltage};

    % Axis ticks and labels
    \foreach \x in {1,2,3,4} {
        \draw (\x,0.05) -- (\x,-0.05) node[below] {\x};
    }
    \draw (-0.05,1) -- (0.05,1) node[above left] {1};
    \node[below left] at (0,0) {0};

    % Waveform
    \draw[blue, thick] 
        plot[domain=0:1, samples=100] (\x, {sin(180*\x)})
        -- plot[domain=1:2] (\x,0)
        -- plot[domain=2:3, samples=100] (\x, {sin(180*\x)})
        -- plot[domain=3:4] (\x,0);

    % Zero voltage label
    \node[below] at (2.5,-0.2) {Zero voltage};
\end{tikzpicture}
```"
"A rectangle with a curved right edge. Two input wires enter the left side, and one output wire exits the right side. No circles are present on inputs or output.","```latex
\begin{tikzpicture}
  % Main shape with curved right edge
  \draw (0,-1) -- (0,1) -- (3,1) to[out=0, in=90] (4,0) to[out=-90, in=0] (3,-1) -- cycle;
  
  % Input wires
  \draw (-1, 0.5) -- (0,0.5);
  \draw (-1,-0.5) -- (0,-0.5);
  
  % Output wire
  \draw (4,0) -- (5,0);
\end{tikzpicture}
```"
A 6V battery connected to a variable resistor. The lamp is in series with the variable resistor. Arrows show adjustment of the resistor slider.,"```latex
\begin{circuitikz}[american]
    \draw (0,0) to [battery, l=6V] (2,0) 
          to [vR, l=variable resistor] (4,0)
          to [lamp, l=lamp] (6,0)
          -- (6,-1)
          -- (0,-1)
          -- (0,0);
    \draw[<->] (2.5,0.5) -- (3.5,0.5) node[above, midway] {adjust};
\end{circuitikz}
```"
"A simple circuit with a cell and a resistor. Arrows show charge flow. Labels: ""Chemical energy → Electrical energy: 1.5 J per coulomb.""","```latex
\begin{tikzpicture}[circuitikz]
    % Circuit components
    \draw (0,0) to[battery1] (0,2); % Battery
    \draw (0,2) -- (2,2) node[midway, above]{$\rightarrow$}; % Top wire with charge flow arrow
    \draw (2,2) to[resistor] (2,0); % Resistor
    \draw (2,0) -- (0,0) node[midway, below]{$\leftarrow$}; % Bottom wire with charge flow arrow
    % Energy conversion label
    \node[left, align=left] at (0,1) {Chemical energy $\rightarrow$ Electrical energy: 1.5 J per coulomb};
\end{tikzpicture}
```"
"Two plastic strips side by side, both labeled ""– – –"" for negative charge. Arrows show them bending away from each other, indicating repulsion.","```tikz
\begin{tikzpicture}
  % Left plastic strip
  \draw (0,0) rectangle (0.3,3);
  \node at (0.15,0.5) {$-$};
  \node at (0.15,1.5) {$-$};
  \node at (0.15,2.5) {$-$};

  % Right plastic strip
  \draw (1.5,0) rectangle (1.8,3);
  \node at (1.65,0.5) {$-$};
  \node at (1.65,1.5) {$-$};
  \node at (1.65,2.5) {$-$};

  % Repulsion arrows
  \draw [->, thick] (0.15,1.5) to [out=180, in=0, looseness=1.2] (-0.7,1.5);
  \draw [->, thick] (1.65,1.5) to [out=0, in=180, looseness=1.2] (2.5,1.5);
\end{tikzpicture}
```"
"Air molecules arranged sparsely, with sound waves compressing and rarefying them longitudinally.","```latex
\begin{tikzpicture}
  % Draw direction of wave propagation
  \draw[->] (-1,-0.5) -- (17,-0.5) node[midway, below] {Direction of wave propagation};
  
  % Draw air molecules using longitudinal wave pattern
  \foreach \i in {0,1,...,16} {
    \pgfmathsetmacro{\x}{\i + 0.5*sin(45*\i)}
    \fill (\x,0) circle (2pt);
  }
  
  % Label regions
  \node at (0.7,0.5) {Rarefaction};
  \node at (3.6,0.5) {Compression};
  \node at (6.75,0.5) {Rarefaction};
\end{tikzpicture}
```"
"Simple sketch showing Moon blocking straight-line paths of light rays from Sun to Earth. Rays labelled ""UV"", ""Visible"", ""IR"" all hit the Moon at the same moment and are blocked","```latex
\begin{tikzpicture}[scale=0.8]
  % Define Moon radius
  \def\moonr{0.5}
  
  % Draw light rays
  \draw[thick] (-6, 0.2) -- ({-sqrt(\moonr^2 - 0.2^2)}, 0.2) node[left] {UV};
  \draw[thick] (-6, 0) -- ({-sqrt(\moonr^2 - 0^2)}, 0) node[left] {Visible};
  \draw[thick] (-6, -0.2) -- ({-sqrt(\moonr^2 - (-0.2)^2)}, -0.2) node[left] {IR};
  
  % Draw celestial bodies
  \draw[fill=yellow!80] (-5,0) circle (0.3) node[below=3mm] {Sun};
  \draw[fill=white, line width=0.5pt] (0,0) circle (\moonr) node[below=3mm] {Moon};
  \draw[fill=blue!30] (5,0) circle (0.3) node[below=3mm] {Earth};
\end{tikzpicture}
```"
"Object placed between the lens and F. Two rays drawn: one parallel to the axis refracting through F, and one through the lens center. Refracted rays diverge; backward extensions meet to form an upright, magnified virtual image","```latex
\begin{tikzpicture}[>=stealth]
    % Optical axis
    \draw[thin] (-4,0) -- (4,0);
    % Lens
    \draw[very thick] (0,-1.5) -- (0,1.5);
    % Focal point F (left)
    \draw (-3,0) node[below] {$F$} -- ++(0,0.1) -- ++(0,-0.2);
    % Object arrow
    \draw[->, thick] (-1.5,0) -- (-1.5,0.5) node[left] {Object};
    % Virtual image arrow (dashed)
    \draw[dashed, ->, thick] (-3,0) -- (-3,1) node[left] {Image};
    % Ray 1: parallel to axis
    \draw[->, thick] (-1.5,0.5) -- (0,0.5);
    \draw[->, thick] (0,0.5) -- (3,0); % Refracted through F'
    \draw[dashed] (0,0.5) -- (-3,1); % Backward extension
    % Ray 2: through lens center
    \draw[->, thick] (-1.5,0.5) -- (0,0);
    \draw[->, thick] (0,0) -- (3,-1); % Refracted straight
    \draw[dashed] (0,0) -- (-3,1); % Backward extension
\end{tikzpicture}
```"
