,Prompt
261,"A series circuit with a power supply, thermistor, and relay coil. The relay is connected to a second circuit with a bell and a separate power source. When temperature rises, thermistor resistance drops, increasing current in the first circuit. This energizes the relay, closing the switch in the second circuit and sounding the bell."
262,"Symbols shown as A: Zig-zag line with diagonal arrow through it. B: Triangle pointing to a vertical line. C: Triangle pointing to a vertical line, with two outward-pointing arrows. D: Circle with a cross inside it."
263,"A simple circuit with a battery labeled ""e.m.f. = 6.0 V"". Arrows show charge flow. A callout box states: ""Each coulomb of charge gains 6.0 J of energy from the battery."""
264,"Sketch a straight line from the Sun to the mirror, and another from the mirror to Scout Q. The normal divides the angle between these lines into two equal parts. The mirror is tilted so its normal bisects this angle."
265,"Hand touching two knobs at the same temperature. Arrows show heat flowing out of the hand. Many large arrows point into the metal knob, showing rapid heat transfer. Few small arrows point into the plastic knob, showing slow heat transfer."
266,"A beaker of liquid being heated from below, with bubbles shown forming at the bottom and throughout the liquid, rising to the surface"
267,"A puddle of liquid, with arrows showing molecules escaping only from the top surface layer"
268,A beaker containing a mixture of crushed pure ice and pure water. The thermometer bulb is immersed in the mixture
269,A flask of pure boiling water. The thermometer bulb is held in the steam just above the water surface
270,"** A container wall. An arrow labelled ""v"" points towards the wall, representing a gas molecule moving with velocity towards the wall. An arrow labelled ""-v"" points away from the wall after the collision, representing the molecule rebounding with equal speed but opposite direction."
271,"Imagine four beakers side by side. Beaker for Q is wider and shallower, with point D at its base. Beakers for P are narrower and deeper, with points A, B, or C at their bases or surfaces."
272,"Simple sketch showing a girl hanging from a bar. An arrow pointing downwards labelled ""Weight = mg = 480 N"". An arrow beside her showing upward movement labelled ""Distance = 0.25 m""."
273,"A simple sketch showing two objects colliding, with arrows labeled ""mass × velocity"" for each, demonstrating conservation of total momentum before and after impact."
274,"A simple free-body diagram showing the car. A forward arrow labeled ""Engine Force"" and a backward arrow of equal length labeled ""Resistive Force"". This visually demonstrates balanced forces resulting in no change in motion."
275,A ball with mass *m* experiencing force *F* → acceleration *a*. A second ball with smaller mass *m/2* experiencing the same force *F* → larger acceleration *2a*.
276,A beam balance with equal masses on both pans. Arrows show equal downward gravitational forces on each pan. The beam is horizontal.
277,"A pen with cotton wrapped tightly around it in 6 complete loops. A ruler shows the straight length of cotton before wrapping, marked from 0 cm to 13.2 cm."
278,"Simplified sodium-23 atom showing a nucleus with 11 protons [red] and 12 neutrons [blue], surrounded by 11 electrons [green] in orbits."
279,Compare sparse lines for a weak field vs. dense lines for a strong field
280,Curl fingers around the coil in the current direction; thumb points to the north pole
281,"A simple circuit sketch showing a battery, ammeter D in the main path before any branches, then two parallel branches: one with resistor R1 and ammeter A, the other with resistors R2 and R3 and ammeter B. Ammeter C is in one of the parallel branches, e.g., in series with R2."
282,"A simple circuit with a battery, resistor, and ammeter. The resistor is labeled ""p.d. = 24 V"" and ""I = 5.0 A"". Arrows show current flow. A clock indicates t = 60 s."
283,"A simple circuit with a battery and a wire. The battery has '-' and '+' terminals clearly labeled. Arrows inside the wire point *from* the '-' terminal *to* the '+' terminal, labeled ""Flow of electrons""."
284,"A coil of wire with current flowing through it, generating magnetic field lines. An iron splinter is shown being pulled towards the end of the coil."
285,Left side shows white light entering a prism and splitting into a rainbow. Right side shows monochromatic light entering a prism and exiting as a single ray with no splitting.
286,"A wave with a long wavelength approaching a gap. The gap width is drawn just slightly wider than one wavelength. After passing through, the wave spreads out widely in a semicircular pattern, showing significant diffraction."
287,A wave moving horizontally with oscillations drawn as vertical peaks and troughs.
288,"A horizontal wave with compressed and spaced-out sections, showing particles moving left-right along the wave path."
289,Side-by-side comparison. Left: Transverse wave with vertical oscillations and horizontal arrow showing travel direction. Right: Longitudinal wave with horizontal compressions/rarefactions and matching travel direction arrow.
290,"A vertical boiling tube. Ice cubes are stuck at the bottom. Heat is applied *only* to the top section. Arrows show heat traveling downward very slowly. Water at the top is boiling, but ice remains solid."
291,A metal nut with a hole. Arrows show the hole expanding outward as temperature rises.
292,"Beaker with liquid. Arrows show high-speed molecules leaving the surface, while slower molecules remain behind. A thermometer shows a lower reading."
293,"- A column of sea water: depth 20 m, labeled ""density = 1.3ρ_f"", pressure P.  
- A column of fresh water: depth 26 m, labeled ""density = ρ_f"", pressure P.  
- Arrows showing both pressures are equal numerically because depth × density is the same."
294,"Ball at top of hill with upward arrow labeled ""GPE high, KE = 0"""
295,"Ball midway down hill with downward arrow showing motion. Label: ""GPE decreasing → KE increasing"""
296,"Simple sketch showing an astronaut standing on the Moon. An arrow labelled ""Weight = 120 N"" points downwards from the astronaut towards the Moon's surface. Text beside the astronaut says ""Mass = 75 kg"". Text near the Moon's surface says ""g = 1.6 N/kg""."
297,"Bird with arrow labeled ""Motion →"" pointing right. Air resistance arrow labeled ""← Air Resistance"" pointing left, opposite to motion."
298,"Parachutist with downward arrow labeled ""Weight"" and upward arrow of equal length labeled ""Air resistance"""
299,Magnet with N-pole entering coil. Arrows inside coil show anticlockwise current. Galvanometer shows deflection to the left.
300,Magnet with N-pole leaving coil. Arrows inside coil show clockwise current. Galvanometer shows deflection to the right.
301,Sketch showing X and Y connected to AND gate. AND output and Z connected to OR gate. Final output from OR gate.
302,"A simple series circuit with a battery, fixed resistor, NTC thermistor, and ammeter. Arrows show: Temperature ↓ → R_thermistor ↑ → R_total ↑ → I ↓."
303,"A simple circuit with a battery labeled ""e.m.f. = ?"", an ammeter showing ""0.40 A"", and a resistor. Arrows show charge flow. Energy = 48 J is written beside the battery."
304,Sketch of 4 wires connected between P and Q in a simple circuit with a battery. Wire C is shown as the shortest and thickest. Arrows show larger current flow in C compared to thinner/longer wires.
305,Metal lattice with fixed positive ions and free electrons drifting toward the positive terminal of a battery
306,A steel rod moving left-to-right through a solenoid coil. Arrows inside the coil show the magnetic field rapidly flipping direction. Domains in the rod are shown as small arrows becoming randomly oriented.
307,"Earth surrounded by four regions—A: atmosphere/air, B: ocean/liquid, C: ground/solid, D: space/vacuum. Sound waves disappear in region D."
308,"Earth and Moon, with a dashed line labeled ""380,000 km"" between them. Arrows show the laser beam going to the Moon and reflecting back, with the total path labeled ""760,000 km""."
309,A ray in glass hits the boundary at an angle. A strong refracted ray bends into the air. A weak reflected ray should be shown in the glass at an equal angle to the incident ray but is absent.
310,"Wavefronts approach the barrier at an angle. After 'reflection', the wavefronts continue in a straight line, passing through the barrier as if it wasn't there."
311,"Wavefronts approach the barrier at an angle. After 'reflection', the wavefronts are bent sharply *towards* the barrier, almost parallel to it but angled slightly differently than the incoming wavefronts. The spacing might also appear altered."
312,"Wavefronts approach the barrier at an angle. After 'reflection', the wavefronts travel *parallel* to the barrier."
313,"Simple sketch showing a beaker of water with an immersion heater. Arrows labelled ""60,000 J"" point to the heater. Thermometers show 20°C and 80°C. An equation box shows: Thermal Capacity = 60,000 J / 60 °C = 1000 J/°C"
314,"A graph showing two identical decay curves for the same isotope at different temperatures, proving half-life is constant."
315,"**  
*Sealed glass flask with trapped air above mercury. Arrows show:*  
- *Heat applied → air particles vibrating more vigorously.*  
- *Expanding air pushing down on mercury surface.*  
- *Mercury column rising in tube due to pressure.*  
**"
316,"An irregular zig-zag path with sudden, random changes in direction"
317,"Smooth, straight arrows"
318,"Gentle, continuous curves"
319,"Regular, repeating swings like a pendulum"
320,Two staircases with identical heights but different lengths. The gravitational potential energy gained is the same for both.
321,"Energy flow for each lamp. Filament lamp: 150J/s input → 15J/s light, 135J/s heat. CFL: 40J/s input → 12J/s light, 28J/s heat."
322,"A parallelogram of forces. Two vectors labeled ""10 N"" start from point O at a 51° angle. The parallelogram is completed with dashed lines, and the diagonal from O is labeled ""Resultant = 18 N""."
323,"Sketch a falling ball. Draw two vertical arrows: a long downward arrow labeled ""Weight = mg"" and a shorter upward arrow labeled ""Air resistance"". As the ball gains speed, make the air resistance arrow longer in subsequent sketches, showing the upward force increasing."
324,"A vertical spring attached to a fixed support at the top. A metal object hangs from the bottom. A downward arrow labeled ""weight"" acts on the metal. The spring is elongated, showing tension."
325,Four balls at different heights. Ball D is at the highest position.
326,"Sketch showing three stages:  
1. Cylinder with water at 50 cm³.  
2. Water at 80 cm³ with metal block submerged.  
3. Water at 90 cm³ with metal + plastic submerged.  
Arrows indicate displaced volumes: 30 cm³ for metal, 40 cm³ for metal+plastic."
327,"A straight arrow labeled ""γ-ray"" passing through parallel electric field plates and a magnetic field perpendicular to the page, with no change in direction."
328,"Symbol of a NAND gate with inputs P and Q, and output. Truth table summary: Output=1 unless P AND Q are both 1."
329,"Sketch an NTC thermistor symbol with an arrow pointing down through ""R"" and an arrow pointing up through ""Temp"" to show inverse relationship."
330,"Sketch of four wires labeled A–D. Wire C is thick and short. Wire D is thick but twice as long. Wires A/B are thin, with B twice as long as A. Arrows show current: largest arrow in C, medium in D, small in A, smallest in B."
331,"A sphere at the center with straight arrows pointing inward from all directions, evenly spaced, and hitting the surface at 90 degrees."
332,"Left side shows iron nails with faded magnetic fields after magnet removal, falling apart. Right side shows steel nails with intact magnetic fields, still attracting each other."
333,Particles in ice closely packed in fixed positions; particles in water closer but able to slide past each other.
334,Particles in steam widely spaced with random motion; particles in water closer and more connected.
335,"Simple sketch of Earth and Moon with a laser beam arrow going to the Moon and reflecting back. Label: ""Distance one-way = 380,000 km"", ""Total path = 760,000 km""."
336,"** *Electric fire with an arrow labeled ""infrared waves"" radiating outward from the glowing heating element.*"
337,A rectangular glass block with a light ray hitting its top surface at exactly 90°. The ray continues straight down into the block without bending.
338,"A straight barrier at the bottom. Incident wavefronts approach at an angle θ to the barrier. Reflected wavefronts leave at angle θ on the other side, symmetric to the incident wavefronts relative to the barrier."
339,"Left side shows hot air molecules far apart, labeled ""low density"". Right side shows cold air molecules close together, labeled ""high density"". An arrow points upward on the balloon, labeled ""upthrust > weight""."
340,"A simple thermometer scale showing 0 °C labelled ""Melting point of pure ice"" and 100 °C labelled ""Boiling point of pure water""."
341,Sketch of a sealed glass flask with a narrow glass tube attached. A short column of mercury is visible at the base of the tube. Arrows inside the flask represent air molecules moving faster after heating.
342,"A large container with sparse molecules and few arrows hitting the walls vs. a compressed container with the same number of molecules crowded together, showing many arrows hitting the walls. Caption: ""Volume decrease → molecules strike walls more frequently → pressure increases."""
343,"A shows the pollen grain path as a squiggly, erratic line with sudden changes in direction, representing the random impacts."
344,"A tube inverted in a mercury dish. The mercury column inside the tube has height 74 cm above the dish's surface. Space above the mercury in the tube is a vacuum. The tube's total length is 100 cm, and the dish has 12 cm depth."
345,"A vertical arrow labeled ""Height"" and a slanted arrow labeled ""Length"" along stairs. Only ""Height"" contributes to work done against gravity."
346,"Two upward forces on left/right, two downward forces symmetrically placed; arrows equal in length"
347,Forces grouped asymmetrically; unequal lever arms
348,Forces clustered on one half; obvious rotational imbalance
349,"A vertical spring attached to a fixed support. A metal mass hangs from its free end. Arrows show:  
- Downward arrow labeled ""Weight"" acting on the metal.  
- Upward arrow labeled ""Tension in spring"" acting on the metal.  
Both arrows are equal length, indicating balanced forces."
350,"Graph C – Moon line: shallow straight diagonal from origin. Earth line: steeper initial diagonal, curving to become horizontal later."
351,"Four balls labeled A, B, C, D at different heights. D is highest, followed by C, then B, then A at the lowest. Arrows show all accelerating downward at the same rate."
352,"Sketch of a measuring cylinder at two times. At t=0: oil level at 20 cm³. At t=60 s: oil level at 68 cm³. Arrow labeled ""Volume collected = 68 cm³ - 20 cm³ = 48 cm³""."
353,"A graph showing the number of undecayed nuclei decreasing by half over equal time intervals, forming a curve that flattens over time. Labels show the halving at each half-life."
354,"Standard AND gate symbol: A flat line at the back, two lines entering the left side, one line exiting the right."
355,"Simple series circuit with a battery, fixed resistor, NTC thermistor, and ammeter in one loop. Arrows show electron flow increasing when thermistor resistance decreases."
356,Graph B shows current starting at a maximum value at time t=0 and decreasing smoothly to zero over time.
357,"A positive rod near a metal sphere. Arrows inside the sphere show electrons moving toward the rod, leaving positive charges on the far side."
358,"A coil of wire connected to an AC power supply, with a bar magnet being slowly withdrawn along the coil's axis."
359,"On the left, a chain of iron nails falls apart into separate nails after the magnet above is removed. On the right, a chain of steel nails remains linked together after the magnet above is removed."
360,"Earth and Moon connected by a dotted line labeled ""380,000 km"". A curved arrow shows light path: Earth → Moon → Earth, labeled ""Total distance = 760,000 km""."
361,"Imagine a simple wave diagram showing only one wavelength repeating perfectly, labeled ""Monochromatic Light - Single Frequency/Single Colour"""
362,"A vertical mirror with a normal line drawn perpendicular at the point of incidence. The incident ray approaches the mirror, and the reflected ray leaves at an equal angle on the opposite side of the normal."
363,"The object is in front of the mirror. Dashed lines extend backward from the reflected ray through P, intersecting behind the mirror at R. A second ray from the object would reflect and also appear to come from R, confirming R as the image position."
364,"Imagine a straight barrier. Incident wavefronts approach at a 45° angle to the normal. After reflection, the wavefronts leave at 45° to the normal on the opposite side, maintaining straight, parallel spacing."
365,"A beaker of water being heated at the bottom. Red arrows show warm, less dense water rising. Blue arrows show cool, denser water sinking. This forms a circular current."
366,"A container showing air molecules in a large volume vs. a compressed volume. In the compressed volume, arrows show molecules hitting the walls more often, with ""Pressure ↑"" labeled."
367,"An irregular, jagged path with frequent, random changes in direction – resembling a ""scribble"" or ""jittery line"" across the field of view."
368,"A smooth, straight line across the field of view."
369,"A smooth, continuous spiral path."
370,"A smooth, continuous circular path."
371,"A simple sketch of a round-bottomed glass flask with a narrow, vertical glass tube sealed at the top. A small column of mercury is shown at the base of the tube. Arrows inside the flask indicate air molecules moving faster when heated, pushing the mercury upward in the tube."
372,"A parabolic path labeled from start point X to peak point Y. The stone moves upwards against gravity. Arrows show the direction of motion, with gravity acting downwards."
373,"Sketch of four lamps with bases and centres of mass. Lamp B has a wide, heavy base with centre of mass X very low and centred. Lamp A has a tall, narrow base with X high up. Lamp C has a small base with X moderately high. Lamp D has an asymmetrical base with X positioned towards one edge."
374,"A simple sketch showing four planets with different ""g"" values, each with an object labeled with its mass. Arrows indicate weight forces, with the longest arrow for option B."
375,"A cube representing a radioactive sample. Nuclei are shown as dots. Random ""explosion"" symbols indicate decay events scattered unpredictably—some at the surface, some inside—with no pattern. Caption: ""Decay is random: any nucleus can decay at any time."""
376,"A simple relay diagram showing a low-voltage control circuit with a switch, battery, and relay coil on the left. On the right, a high-voltage/high-current circuit with a battery, relay switch contacts, and a motor or lamp. The relay coil's magnetic field pulls the switch contacts closed in the high-current circuit when the control circuit is active."
377,"A coil rotating in a magnetic field, with a split-ring commutator flipping connections at 90° and 270° positions"
378,Side-by-side comparison: D.C. motor with split-ring commutator reversing coil current vs. A.C. generator with slip rings maintaining uninterrupted contact.
379,"Sketch a simple circuit with a battery connected to an ammeter in series. From the ammeter, the circuit splits into two parallel branches: one with a lamp, and the other with a switch in series with a resistor. The switch is initially open. The ammeter is positioned to measure the total current from the battery."
380,"A simple circuit with a battery, fixed resistor, and ammeter. Arrows show electron flow. Labels: V = 24.0V across resistor, I = 2.30A, t = 1020 s."
381,"A simple circuit with a 1.5 V battery, a bulb, and an arrow showing charge flow. Labels: ""1.0 V = 1.0 J of energy transferred per 1.0 C of charge""."
382,"A dot labeled ""+"" at the center, with 8 straight arrows pointing directly away from it, evenly spaced like spokes on a wheel. Arrow length increases slightly with distance to show decreasing field strength."
383,"A coil wrapped around a steel bar, connected to an AC power supply. The current graph shows a sine wave oscillating and gradually decreasing in amplitude over time until it reaches zero."
384,"A bar magnet attracting iron nails from a pile of sand, and an electromagnet lifting iron scrap from garbage."
385,"A convex lens with an arrow-shaped object placed beyond the focal point. Light rays from the object's top bend downward through the lens, converging at a point below the principal axis. Rays from the object's bottom bend upward, converging above the axis. The resulting image is inverted relative to the object."
386,"Dish A is shallow and wide, with arrows indicating airflow across its surface."
387,"A solar panel with arrows labeled ""Sunlight Input: 4.0 W"" entering and ""Electrical Output: 0.80 W"" exiting. The panel is marked ""20% Efficient"", showing that 80% of input is ""lost"" as heat."
388,"Sketch two balls launched upwards: one with velocity v reaching height h, the other with 2v reaching 4h. Label KE and PE at start and max height."
389,"Body moving horizontally right. Forces: Weight = 20 N down, Upward force = 20 N"
390,"Body moving horizontally right. Forces: Weight = 40 N down, Upward force = 30 N, Horizontal force = 10 N right"
391,"Body moving horizontally right. Forces: Weight = 50 N down, Horizontal force = 15 N left"
392,"Imagine an object with two forces acting horizontally: one arrow pointing right labeled 10.5 N, and one arrow pointing left labeled 7.5 N."
393,"A measuring cylinder with initial water at 12 cm³. After submerging a 3 cm³ ball, the water rises to 15 cm³. The displaced water equals the ball's volume."
394,"A micrometer screw gauge with a coin placed between its anvil and spindle. The barrel scale shows whole millimeters, and the thimble scale shows hundredths of a millimeter. The ratchet ensures gentle, consistent pressure."
395,"A step graph showing emission rate vs. time. The rate starts at 240, drops to 120 at T, 60 at 2T, 30 at 3T, and 15 at 4T. Label ""T = 12 hours"" on the time axis."
396,"A simple d.c. motor setup showing a coil between magnet poles, connected to a battery via split rings and brushes. Arrows indicate force direction reversing after half a turn, maintaining clockwise rotation."
397,"Temperature vs. Energy graph for ice melting. A horizontal line at 0°C shows temperature remains constant during phase change, while energy increases."
398,A large smoke particle surrounded by many small air molecules. Arrows show air molecules moving in random directions and colliding with the smoke particle. The smoke particle moves erratically due to unbalanced forces from collisions.
399,"A sketch showing an object at 5.0m height with downward arrow labeled ""GPE,"" transforming into a ground-level object with arrow labeled ""KE = 750 J."""
400,Pivot at left end. Weight 20N acts downward at center of mass M. Upward force F acts at a point *farther* from the pivot than M.
401,"A spring with an unstretched length of 10 cm. An arrow labeled ""20 N"" pulls downward. The stretched spring has a total length of 36 cm. A bracket labeled ""extension e = 26 cm"" spans from the 10 cm mark to the 36 cm mark."
402,"A ruler showing a coin edge-on. The coin's thickness falls between the 1mm and 2mm marks, requiring estimation. An arrow shows the correct perpendicular line of sight vs. an incorrect angled one causing parallax."
403,"Same circuit with T now at S. Voltmeter between T and R shows 12V, as T is at 12V and R at 0V."
404,"A group of identical nuclei with question marks above each, symbolizing that any nucleus could decay next."
405,"Split-ring commutator attached to a coil in a magnetic field. The commutator has two halves, connected to the coil ends. Brushes press against the commutator, linked to a d.c. power supply."
406,"A solenoid coil with a bar magnet inside. The coil is connected to an AC power supply with a dial labeled ""decrease current."" Arrows inside the magnet show domains flipping randomly as the AC field changes direction."
407,"A long-wavelength wave approaching a narrow gap. After passing through, the wavefronts curve outward in a semicircular pattern, showing clear spreading."
408,"A simple sketch showing water molecules at 100°C absorbing heat, breaking bonds, and forming steam. Arrows indicate thermal energy input labeled ""Q = m × L""."
409,"A large smoke particle surrounded by smaller air molecules, with arrows showing random paths of molecules hitting the particle from different directions. The smoke particle's path changes direction after each collision."
410,"Imagine four containers side-by-side. Container C has the tallest column of liquid and the darkest shading, representing the highest density."
411,Arrow showing applied force → to the right. Box moves horizontally 4 m. Friction force ← opposes motion. Work is done because force and motion are parallel.
412,"Simple sketch showing a bullet moving right at 600 m/s toward a stationary block. After collision, both move right together at 30 m/s. Label masses and velocities."
413,"A horizontal arrow pointing to the right, representing the resultant force acting solely in the horizontal direction."
414,"Simplified nucleus diagrams showing α-decay reducing protons by 2, β⁻-decay increasing protons by 1, β⁺-decay decreasing protons by 1, and γ-decay causing no structural change."
415,Circuit A shows a battery connected to two identical lamps in parallel. An ammeter is positioned in the main circuit before the parallel branches.
416,"Circuit B shows two lamps connected in series with a battery, with an ammeter in series."
417,"Circuit C has one lamp connected to the battery, with an ammeter in series."
418,A coil with a.c. power supply. Arrows inside the coil show the magnetic field rapidly switching direction. A bar magnet is being pulled out slowly.
419,"Particles in a solid represented as tightly packed circles. Arrows show vibrations passing from one particle to the next along a line, demonstrating energy transfer."
420,"A wavy horizontal line representing a rope. Arrows show particles moving up and down vertically, perpendicular to the horizontal direction the wave moves along the rope."
421,"A straight optical fibre with a light ray entering one end. The ray zigzags inside the core, hitting the core-cladding boundary at steep angles. Arrows show the ray reflecting perfectly at each boundary, never escaping."
422,"A sine wave labeled with crests spaced 24 m apart. Arrows show wave direction at 1.6 m/s. A surfer is shown riding one crest, with text: ""Rides every 30th crest""."
423,"Imagine four cubes of the same size/material/mass/temperature. Object A has a rough, matte black coating covering its entire surface. Object B has the same coating but is a smaller cube. Object C is a large cube with a smooth, mirror-like coating. Object D is a small cube with the mirror-like coating. Arrows representing IR radiation are thickest coming from Object A, medium from B and C, and thinnest from D."
424,"A simple particle diagram showing liquid mercury atoms loosely packed and moving freely, transforming into solid mercury atoms in a fixed, regular lattice with tighter bonds."
425,A cylinder of liquid with height *h* and base area *A*. Arrows show the weight *mg* acting downward on the base. The pressure *P* acts uniformly on the base.
426,A top-down view of a car turning left in a circle on a horizontal road. Arrows show: 1
427,"Two objects side-by-side: a large foam cube labeled ""light object"" and a small iron ball labeled ""heavy object"". Arrows show gravity pulling both downward, with a longer arrow for the iron ball."
428,"A speed-time graph with a curve at point B. The curve shows a changing slope, while points A, C, and D lie on straight-line segments."
429,"Four balls P, Q, R, S with different masses, dropped from heights: P from 5m, Q from 10m, R from 5m, S from 20m. All masses are different, e.g., P: 1kg, Q: 2kg, R: 4kg, S: 0.5kg."
430,"A nucleus of U-238 emits an α-particle, transforming into Th-234. The α-particle is shown as a cluster of 2 protons and 2 neutrons moving away."
431,"Left side: Appliance with metal case. Live wire fault touches case. Thick arrow shows fault current flowing through case, down earth wire, blowing fuse. Person safe. Right side: Appliance with plastic case. Live wire fault inside. Plastic case remains safe to touch. No earth wire needed."
432,"A simple series circuit with a battery, fixed resistor, and LDR. Arrows show current increasing as LDR resistance drops under bright light."
433,"A diamond-shaped arrangement of four diodes. AC input connects to two opposite corners of the diamond. The resistor bridges the other two corners, with its red terminal linked to the ""positive output"" corner and black terminal to the ""negative output"" corner."
434,"A simple circuit with a battery, resistor, and ammeter showing 10 A. Charge flows uniformly through all components."
435,"A simple circuit with a battery, one resistor, and a lamp. Adding a second resistor drawn with branches connecting to the same two points as the first resistor, showing an extra path"
436,"Adding a second resistor drawn in a line with the first resistor and lamp, forming one continuous path - total path length/resistance increases"
437,"A horizontal iron bar with ends labeled X and Y. A magnet is positioned vertically above the center of the bar, with its south pole facing downward toward the bar. Arrows inside the bar show magnetic domains aligning so that both X and Y develop north poles."
438,"A bar magnet placed horizontally east-west, with Earth's field lines shown vertically from north to south. Hammer icons indicate impacts jumbling internal domains."
439,"A coil with AC power source, magnetic field arrows reversing direction. A steel bar is shown being pulled slowly out of the coil."
440,"A simple sketch showing a person shouting towards a large, vertical cave wall. Arrows labelled ""sound waves"" travel from the person to the wall. At the wall, the arrows bounce back towards the person, labelled ""reflected sound waves""."
441,"A wave moving horizontally to the right. Vertical arrows represent the electric field oscillations, and arrows into/out of the page represent the magnetic field oscillations. Both are perpendicular to the direction of travel."
442,"A stick figure in front of a vertical mirror. Light rays from its head reflect off the mirror. Dashed lines extend straight backwards behind the mirror, converging at the image location of the head. Text: ""Diverging reflected rays traced back to virtual image"""
443,"A house with a corner. Sound waves from the man are shown bending around the corner and reaching the woman. Light waves are shown traveling in straight lines, hitting the house wall and not reaching the woman."
444,"Four spheres labeled A–D. A: White, glowing faintly. B: Black, glowing brightly. C: Black, glowing faintly. D: White, barely glowing. Arrows show infrared waves radiating outward, thickest from B."
445,Liquid-in-glass thermometer with slow-moving liquid vs. thermocouple with thin wires and fast-reacting junction
446,"A temperature-time graph for ice melting: a horizontal line at 0°C during melting, rising only after all ice turns to water."
447,"A temperature-time graph for boiling water: a horizontal line at 100°C during boiling, falling only once boiling stops."
448,"Diagram D shows a path consisting of many short, straight segments in random directions. The path constantly changes direction abruptly, creating a jagged, zig-zag pattern with no overall predictable shape."
449,"** A car labeled ""mass = 900 kg"" moving with an arrow showing ""velocity = 20 m/s →"". Below, an equation: **momentum = mass × velocity = 900 × 20 = 18,000 kg·m/s**."
450,"A container labeled ""mass = 120 g"" next to an identical container filled with liquid labeled ""total mass = 600 g"" and ""volume of liquid = 600 cm³"". Arrows show subtraction: ""liquid mass = 600 g – 120 g = 480 g""."
451,"A straight line sloping upward from P to Q, indicating steady movement."
452,"A flat line from Q to R, indicating no movement."
453,"A straight line sloping upward from R to S, indicating steady movement resumes."
454,Two NAND gates. Gate 1: Inputs A and B → Output X. Gate 2: Both inputs connected to X → Output Y.
455,"** Two resistors side-by-side, both labelled ""1.0 Ω"", connected at both ends to a battery. Arrows show current splitting equally into two paths before recombining.**"
456,"A simple circuit with a battery, ammeter, and resistor. The ammeter shows ""12A"". A clock below indicates ""2.0 min"". Arrows illustrate electrons flowing through the ammeter, with a label: ""Charge flow = ? C""."
457,A satellite in space emitting a focused beam of microwaves toward a parabolic dish on Earth. The beam travels straight through the atmosphere without significant deviation.
458,"Plane waves approach a solid barrier from the left. The waves have straight wavefronts before the barrier. Directly behind the barrier is a sharp shadow region with no wavefronts. To the *side* of the barrier, the wavefronts are shown *curving* smoothly around the edge of the barrier into the region that would otherwise be shadow."
459,"Plane waves approach the barrier. The waves continue in perfectly straight, parallel lines past the barrier, leaving a sharp, rectangular shadow region directly behind it with no wavefronts."
460,"Plane waves approach the barrier. Upon reaching the barrier, some wavefronts near the edge are shown *bending sharply away* from the barrier, almost as if reflecting off its side."
461,"Plane waves approach the barrier. The waves stop abruptly at the edge of the barrier. The region behind the barrier is a sharp shadow with no wavefronts, and there is *no* bending or spreading of wavefronts around the edge visible."
462,"A cylinder with a piston. Left: Piston at position A, volume = 120 cm³, pressure = P. Right: Piston moved left to position B, volume = 30 cm³, pressure = 4P. Arrows show molecules colliding more densely in the smaller volume."
463,"Sunlight arrows hitting a flat solar panel, with an arrow labeled ""electric current"" outputting from the panel. No spinning parts or fluid flows are shown."
464,"A girl running with an arrow labeled ""velocity = 6.0 m/s"" and a box labeled ""mass = 50 kg"". The momentum vector points in the direction of motion."
465,"Two small nuclei moving toward each other at high speed, colliding, and merging into a larger nucleus, with energy waves radiating outward."
466,"A thin gold foil with most α-particles passing straight through, a few deflected slightly, and a very small number rebounding sharply. A zoomed-in view shows a gold nucleus repelling an α-particle due to both being positive."
467,"A simple circuit sketch showing a battery, lamp, and fuse in series. The fuse contains a thin wire labeled ""melts if I > rating"". Arrows show current flow stopping at the melted fuse."
468,AND gate symbol ➔ ⏏ + small circle on output ➔ ⏏○
469,"Simple circuit with a battery labeled ""12V"", connected to a lamp labeled ""3.0 Ω"". Arrows show energy transfer as ""heat/light"" radiating from the lamp."
470,A ray of light bends toward the normal as it enters the glass block. This bending visually confirms that light slows down in glass.
471,"Simple sketch showing an object in front of a mirror, reflected rays diverging, and dotted lines extending behind the mirror where they meet at the image point"
472,Left: Waves with short wavelength passing through a wide gap show minimal spreading. Right: Waves with long wavelength passing through a narrow gap show strong semicircular diffraction pattern.
473,A thermometer with a long capillary tube next to one with a short tube. Arrows show the liquid thread rising further in the longer tube for the same temperature change.
474,"** A cylinder with a piston. Left: Initial state labeled ""Volume = V, Pressure = P"". Right: Piston pushed leftward, labeled ""Volume = V/2, Pressure = 2P"". Arrows show piston movement and increased molecular collisions on the walls."
475,Imagine a simple sketch of a dam holding back water. A vertical line labeled 'h = 65m' extends from the water surface down to the base of the dam. Arrows pointing downwards near the base represent increasing water pressure.
476,"** A lamp with an arrow labeled ""Input Power = 5.0 W"" entering, two arrows exiting: one labeled ""Useful Light Output = ?"" and another ""Wasted Heat = 1.0 W"".**"
477,"A car at the bottom of a hill labeled ""h = 0 m, GPE = 0 J"" and at the top labeled ""h = 5.0 m, GPE = 40,000 J"". Arrows show the car gaining GPE as it climbs."
478,Bar charts comparing P and Q: Momentum bars equal height; KE bar for Q twice as tall as P.
479,"Two arrows labeled F₁ and F₂ drawn tail-to-tail. A dashed parallelogram is completed using F₁ and F₂ as adjacent sides. The resultant R is the diagonal of this parallelogram, starting from the common tail point of F₁ and F₂."
