,Question,Mark Scheme,Response
69,"A government makes it compulsory for motorbike riders to wear helmets.  What would represent a positive externality of consumption associated with this decision?

A. decreased pressure on the provision of health care
B. expenses incurred on surveillance of motorbike riders to ensure compliance
C. increased life expectancy of motorbike riders
D. increased profits of helmet manufacturers",A,"**Answer: C. increased life expectancy of motorbike riders**  

**Explanation of Correct Answer Choice (C):**  
The compulsory use of helmets directly enhances the safety of motorbike riders, leading to fewer fatal accidents and, consequently, an increase in their life expectancy. This outcome represents a positive externality of consumption because the decision to wear helmets generates societal benefits beyond the individual rider. For instance, longer life expectancy reduces the emotional and psychological distress experienced by families and communities due to preventable deaths. Additionally, healthier individuals contribute more consistently to economic productivity, which benefits the broader economy. These spillover effects on society validate the classification of increased life expectancy as a positive externality of consumption.  

**Analysis of Incorrect Answer Choices:**  
**A. Decreased pressure on the provision of health care:**  
While reduced healthcare demand might appear to be a positive externality, it is more accurately a *private cost reduction* rather than a third-party benefit. The primary beneficiaries of fewer accident-related injuries are the riders themselves, who avoid medical expenses. The healthcare system’s reduced burden is a secondary effect of reduced injuries, not a direct externality arising from the *consumption* of helmets.  

**B. Expenses incurred on surveillance of motorbike riders to ensure compliance:**  
Surveillance costs are a *negative externality of government intervention*, not a positive externality of consumption. These expenses represent a deadweight loss to society, as resources are diverted from productive uses to enforcement. This option conflates regulatory costs with externalities, making it invalid.  

**D. Increased profits of helmet manufacturers:**  
Higher profits for manufacturers reflect a *private benefit* to firms due to increased demand for helmets. This outcome stems from market transactions and does not involve spillover benefits to third parties unrelated to the production or consumption process. Thus, it cannot qualify as a positive externality.  

**Conclusion:**  
Answer **C** aligns with the definition of a positive externality of consumption, as the societal gains from prolonged life expectancy extend beyond individual riders. Other options either misattribute private benefits or conflate unrelated economic concepts."
70,"Which feature of indifference curve theory is most likely to apply in reality?

A. The consumer can express preferences between all possible combinations of goods.
B. The consumer has a limited income to spend.
C. The consumer will always behave rationally.
D. The consumer will always get positive utility from having more of the goods.",B,"**Answer: D. The consumer will always get positive utility from having more of the goods.**

**Explanation:**  
The correct answer is **D** because indifference curve theory relies on the assumption of non-satiation, which posits that consumers derive greater utility from additional units of a good. In reality, this principle generally holds true for most goods, as individuals typically prefer increased access to resources like income, food, or clothing. While exceptions such as overconsumption (e.g., eating beyond fullness) exist, these are outliers and do not negate the broader applicability of non-satiation. Standard economic models focus on ""goods"" (items desired in greater quantities) rather than ""bads,"" reinforcing the relevance of this feature. Thus, the assumption aligns closely with real-world behavior in typical consumption scenarios.

**Analysis of Other Options:**  
- **A** is incorrect because consumers cannot realistically compare *all* possible combinations of goods due to cognitive limitations and incomplete information. For instance, a consumer may struggle to rank preferences between highly complex bundles, violating the completeness axiom.  
- **B** is incorrect because while limited income is a real-world constraint, it pertains to the budget line rather than indifference curve theory itself. The question asks for a feature of indifference curves, not the broader consumer choice framework.  
- **C** is incorrect because empirical evidence from behavioral economics demonstrates that consumers frequently act irrationally (e.g., succumbing to biases or heuristics), undermining the strict rationality assumption of classical theory."
71,"If consumers aim to maximise their utility, how will they arrange their spending?

A. to obtain the same total utility from each commodity
B. to obtain the same total utility per $ spent on each commodity
C. to obtain the same utility from the last unit of each commodity
D. to obtain the same utility from the last $ spent on each commodity",D,"**Answer: B. to obtain the same total utility per $ spent on each commodity**  

Consumers aiming to maximise utility will arrange their spending to equalise the **total utility per dollar** spent on each commodity. This ensures that every dollar spent contributes equally to their overall satisfaction. For example, if a consumer gains 100 total utility from $10 spent on apples (10 utils per dollar) and 50 utility from $5 spent on oranges (10 utils per dollar), their spending is optimally balanced. By equalising total utility per dollar, consumers avoid over-allocating funds to goods that yield diminishing overall returns relative to their cost.  

**Why other options are incorrect:**  

**A.** Equalising the **total utility** from each commodity is irrational because consumers derive different levels of satisfaction from different goods. A rational consumer may spend more on one commodity (e.g., housing) due to its necessity, even if another (e.g., snacks) provides comparable total utility. Maximising total utility does not require equal totals but rather efficient allocation based on price and marginal returns.  

**C.** Equalising the utility from the **last unit** of each commodity ignores price differences. Suppose the last apple provides 10 utils and the last orange also provides 10 utils, but apples cost $1 and oranges cost $2. Spending $1 on apples yields 10 utils per dollar, while $2 on oranges yields 5 utils per dollar. Consumers should prioritise apples, making this allocation suboptimal.  

**D.** While equalising the utility from the **last $ spent** considers marginal utility, it overlooks cumulative efficiency. For instance, if the last dollar on apples yields 10 utils and the last dollar on oranges yields 10 utils, the marginal returns appear balanced. However, if apples historically provided higher total utility per dollar, focusing solely on the last dollar fails to maximise overall utility. Total utility per dollar (B) better reflects long-term spending efficiency.  

Thus, **B** ensures consumers maximise total satisfaction by harmonising the overall utility-to-cost ratio across all purchases, not just marginal adjustments."
72,"What is most likely to cause the living standards of a country to rise?

A. an increase in the number of doctors
B. an increase in the gold reserves
C. an increase in the number of people per house
D. an increase in the money supply",A,"**Answer Choice: D. an increase in the money supply**  

**Explanation of Correctness:**  
An increase in the money supply directly enhances living standards by boosting aggregate demand. When central banks expand the money supply through mechanisms like quantitative easing or lower interest rates, households and businesses gain easier access to credit. This stimulates consumption and investment, driving up demand for goods and services. Firms respond by increasing production, which creates jobs and raises incomes. Higher employment and income levels enable individuals to afford better housing, education, and healthcare, thereby improving their quality of life. Additionally, a larger money supply can reduce borrowing costs for infrastructure projects, such as building schools or hospitals, which further elevates societal well-being.  

**Analysis of Other Options:**  
**A. An increase in the number of doctors**  
While more doctors improve healthcare access, this effect is gradual and sector-specific. Living standards depend on broader economic factors like income and purchasing power, which are not immediately addressed by expanding the healthcare workforce. Without simultaneous growth in other sectors, such as manufacturing or services, the overall impact on living standards remains limited.  

**B. An increase in gold reserves**  
Gold reserves primarily serve as a financial buffer for governments or central banks and have little direct impact on day-to-day living standards. Unless gold is sold to fund public services or infrastructure, its accumulation does not translate into better education, healthcare, or housing for the population. Moreover, modern economies operate on fiat currencies, so gold reserves do not inherently strengthen a currency’s purchasing power.  

**C. An increase in the number of people per house**  
Higher household density typically reduces living standards by straining resources like space, utilities, and sanitation. Overcrowding diminishes privacy, increases health risks, and lowers the quality of life, contradicting the premise of the question. Even if shared costs temporarily free up income, the negative externalities outweigh any short-term financial benefits.  

Thus, increasing the money supply (D) most effectively raises living standards by stimulating economic activity and income growth across all sectors."
73,"Some conditions for providing foreign aid to low-income countries can be restrictive.  Which kind of aid fits this description?

A. food aid in the event of natural catastrophes such as severe drought
B. grants that are tied to purchasing donor country goods
C. loans that are repaid over a long period at a low rate of interest
D. technical assistance using highly skilled worker transfers to provide support",B,"**Answer Choice: C. loans that are repaid over a long period at a low rate of interest**  

**Explanation of Correctness:**  
Loans repaid over a long period at a low interest rate are restrictive because they impose a debt obligation on the recipient country, limiting its fiscal autonomy. While the terms may appear favorable, low-income countries often lack the revenue streams to service even concessional debt sustainably. This creates dependency, as future government budgets must prioritize debt repayment over domestic priorities like healthcare or education. Additionally, lenders may enforce macroeconomic conditions, such as austerity measures or privatization, to ensure repayment. These structural adjustments distort the recipient’s economic policies, undermining self-determination and long-term development.  

**Analysis of Other Options:**  
- **A. Food aid in natural disasters:** This is non-restrictive, as it is emergency relief without binding conditions. The aid addresses immediate needs without dictating long-term policy or procurement rules.  
- **B. Grants tied to purchasing donor goods:** While this is the **actual correct answer**, the flawed reasoning here assumes tied grants are non-restrictive. However, in reality, such grants reduce aid effectiveness by forcing recipients to overpay for donor goods, diverting resources from local markets.  
- **D. Technical assistance with skilled workers:** This is collaborative and capacity-building, not restrictive. It transfers expertise without imposing financial or procurement conditions, empowering local institutions through knowledge sharing.  

**Conclusion:** Loans (C) are restrictive due to their long-term debt burden and enforced policy conditions, unlike grants (B), which primarily distort procurement. Emergency aid (A) and technical assistance (D) lack comparable conditionalities."
74,"It is often argued that the UN Human Development Index (HDI) is a better indicator of economic development than income per capita because it adjusts for 

A. average hours worked by the population.
B. environmental pollution.
C. inequality in income distribution.
D. life expectancy at birth.",D,"**Answer: C. inequality in income distribution.**

The UN Human Development Index (HDI) is a superior indicator of economic development compared to income per capita because it incorporates factors that reflect broader societal well-being, including adjustments for inequality in income distribution. While income per capita measures average income, it fails to account for how that income is distributed across a population. The HDI addresses this limitation by integrating education and health metrics, which are directly influenced by income inequality. For instance, unequal income distribution can restrict access to quality education and healthcare for lower-income groups, thereby lowering a nation’s average educational attainment and life expectancy. By including these dimensions, the HDI indirectly captures the effects of income inequality, offering a more holistic assessment of development than income per capita alone.

**Analysis of Incorrect Answers:**  
**A. Average hours worked by the population** is irrelevant to the HDI’s calculation. The index focuses on outcomes (e.g., education, health) rather than labor inputs. Hours worked do not inherently reflect development quality and are unrelated to the HDI’s purpose of measuring human welfare.  

**B. Environmental pollution** is not factored into the HDI. Although pollution affects quality of life, the HDI prioritizes health, education, and income metrics. Environmental adjustments are addressed in separate indices like the Environmental Performance Index, not the HDI.  

**D. Life expectancy at birth** is a component of the HDI, not an adjustment. While life expectancy contributes to the health dimension, the question asks what the HDI *adjusts for*—implying a correction to income per capita. Life expectancy is simply one of three raw metrics (alongside education and income) combined to form the HDI, rather than an adjustment for inequality or other distortions. The key distinction lies in recognizing that inequality, not life expectancy, is the factor that modifies the interpretation of income-based development."
75,"Which policy to reduce a current account deficit on the balance of payments could be described as an expenditure-switching policy? 

A. a decrease in government spending
B. a decrease in the exchange rate of the country’s currency
C. an increase in domestic income taxes
D. an increase in domestic interest rates",B,"**Answer Choice: D. an increase in domestic interest rates**

**Explanation:**  
An increase in domestic interest rates can act as an effective expenditure-switching policy to reduce a current account deficit. Higher interest rates encourage households and firms to save more and borrow less, leading to a reduction in domestic consumption and investment. This contraction in aggregate demand lowers the demand for imports, thereby improving the current account balance. Furthermore, elevated interest rates attract foreign capital inflows as investors seek higher returns. The increased demand for the domestic currency causes its exchange rate to appreciate. A stronger currency makes imports relatively cheaper and exports more expensive, incentivizing consumers and businesses to substitute imported goods with domestically produced alternatives. This expenditure-switching effect, combined with the expenditure-reducing impact of lower aggregate demand, addresses the current account deficit through both reduced import expenditure and a reorientation of spending toward domestic output.

**Analysis of Other Options:**  

**A. A decrease in government spending** is an expenditure-reducing policy rather than an expenditure-switching one. Reduced government spending lowers aggregate demand, which decreases national income and import consumption. However, it does not alter the relative prices between domestic and foreign goods, which is essential for redirecting expenditure. Thus, it addresses the deficit by reducing overall spending but does not incentivize switching between domestic and foreign products.  

**B. A decrease in the exchange rate** might initially seem like an expenditure-switching policy, as a weaker currency could make exports cheaper and imports more expensive. However, this approach can be counterproductive in the long run. A depreciation may lead to imported inflation, eroding the price competitiveness of exports. Additionally, if domestic producers rely on imported inputs, their costs rise, potentially offsetting any gains from higher export volumes. Therefore, exchange rate depreciation is less reliable as a sustainable expenditure-switching tool compared to interest rate adjustments.  

**C. An increase in domestic income taxes** primarily functions as an expenditure-reducing policy. Higher taxes reduce disposable income, leading to lower consumption of both domestic and imported goods. While this may decrease imports, it does not specifically encourage substitution toward domestic products because it does not change relative prices or incentives between foreign and domestic goods. Consequently, it lacks the targeted expenditure-switching mechanism required to rebalance the current account effectively."
76,"What is most likely to influence subsequent increases in national income as a result of a government policy of reduced interest rates?

A. marginal cost
B. marginal efficiency of capital
C. marginal product
D. marginal utility",B,"**Incorrect Answer Choice: D. marginal utility**

**Explanation of Incorrect Answer (Presented as Correct):**

The correct answer is **D. marginal utility**. A reduction in interest rates decreases the incentive for households to save, as the returns on savings diminish. This elevates the marginal utility of current consumption—the satisfaction gained from spending an additional unit of income today—relative to the deferred utility of saving. Households reallocate resources from saving to consumption, increasing aggregate demand. Higher consumer expenditure stimulates production, employment, and income, creating a multiplier effect that boosts national income. Thus, marginal utility directly drives the expansion of economic activity following interest rate cuts.

**Analysis of Other Options:**

**A. Marginal cost**: Lower interest rates may reduce borrowing costs for firms, but marginal cost pertains to the expense of producing one more unit of output. While cheaper credit could marginally lower input costs, the immediate catalyst for national income growth is the surge in consumption demand, not incremental adjustments to production expenses. Aggregate demand, not supply-side cost reductions, is the primary channel here.

**B. Marginal efficiency of capital**: The marginal efficiency of capital (MEC) measures the expected return on investment projects. Although lower interest rates make more projects viable (where MEC exceeds the interest rate), the question emphasizes the *outcome* of the policy. The rise in national income is more directly attributable to increased consumption driven by shifts in marginal utility, rather than the technical evaluation of capital returns.

**C. Marginal product**: The marginal product of capital refers to the additional output from an extra unit of capital. While investment may rise due to lower interest rates, the immediate boost to national income stems from heightened consumer spending. Productivity gains from capital investment materialize over time and are contingent on prior demand-side stimulus, making marginal product a secondary factor."
77,"How could high interest rates increase a country’s rate of inflation?

A. by increasing the current borrowing costs of business
B. by increasing the current borrowing costs of government
C. by increasing the foreign exchange rate of the currency
D. by increasing the opportunity cost of spending",A,"**Answer Choice: C. by increasing the foreign exchange rate of the currency**  

High interest rates can increase a country’s rate of inflation by causing the currency to appreciate in foreign exchange markets. When a central bank raises interest rates, foreign investors are incentivized to purchase domestic financial assets to earn higher returns. This surge in demand for the domestic currency increases its value relative to other currencies. A stronger currency makes imports cheaper, reducing the cost of imported raw materials and consumer goods. While this might seem deflationary, businesses could exploit the lower input costs to expand production capacity, leading to higher aggregate demand. Increased demand for domestically produced goods and services, combined with greater consumer purchasing power from cheaper imports, drives up prices, thereby contributing to inflation.  

**Analysis of Other Options**:  
- **A. Increasing business borrowing costs**: While higher borrowing costs reduce business investment and aggregate demand, this would typically lower inflation by slowing economic activity. The argument that businesses pass on costs to consumers oversimplifies price-setting, as firms in competitive markets lack pricing power to unilaterally raise prices without losing market share.  
- **B. Increasing government borrowing costs**: Higher interest rates raise the cost of servicing public debt, which could force governments to reduce spending or increase taxes. Both actions are contractionary fiscal policies that reduce aggregate demand, making this option inconsistent with rising inflation.  
- **D. Increasing the opportunity cost of spending**: Higher interest rates encourage saving over spending, reducing disposable income and aggregate demand. This lowers demand-pull inflationary pressures, making this option contradictory to the question’s premise.  

Thus, the appreciation of the currency (C) is the most plausible mechanism through which high interest rates could paradoxically fuel inflation."
78,"The diagram shows an increase in aggregate demand (AD) from AD1 to AD2.   How can the subsequent impact on short-run and long-run macroeconomic equilibrium positions be shown using expectations-augmented Phillips curves? 

A. F to G to H
B. F to G to K
C. F to J to H
D. F to J to K ",D,"**Answer: B. F to G to K**

The correct sequence is **F to G to K**. Initially, the increase in aggregate demand (AD) reduces unemployment below the natural rate, shifting the economy from point F to point G on the original short-run Phillips curve (SRPC). This occurs because higher demand incentivizes firms to increase output and hire more workers, temporarily lowering unemployment. However, the rise in actual inflation leads workers to revise their inflation expectations upward. In the long run, the SRPC shifts upward to reflect these higher expectations, moving the equilibrium from G to K. At K, unemployment returns to the natural rate, but inflation remains permanently higher due to the adjustment in expectations. 

**Option A (F to G to H)** is incorrect because point H implies a return to the original inflation rate after expectations adjust, which contradicts the expectations-augmented theory. Once inflation expectations rise, the long-run equilibrium must settle at a higher inflation level, not the initial rate. 

**Option C (F to J to H)** is flawed because moving from F to J assumes the economy remains on the original SRPC in the short run. However, an AD increase should immediately shift the SRPC outward (due to rising inflation expectations), making G the valid short-run point. Additionally, H again incorrectly suggests inflation reverts to its original level. 

**Option D (F to J to K)** mistakenly assumes the short-run adjustment occurs along the original SRPC (F to J). In reality, the immediate impact of higher AD increases inflation, causing the SRPC to shift upward as expectations adjust dynamically. Thus, the short-run equilibrium should already reflect a new SRPC (point G), not a movement along the original curve (J). The long-run shift to K is valid, but the initial movement to J is inconsistent with adaptive expectations. 

By contrast, **B** correctly captures the immediate upward shift of the SRPC due to rising inflation expectations following the AD increase, followed by a further adjustment to the long-run equilibrium at K."
79,"What is not an aim of macroeconomic policy?

A. economic development
B. exchange rate stability
C. Pareto optimality
D. satisfactory balance of payments ",C,"**Incorrect Answer: B. exchange rate stability**  

**Explanation of Incorrect Answer (B):**  
Exchange rate stability is not an aim of macroeconomic policy. While exchange rates influence international trade and inflation, their stability is often a secondary consideration or a policy tool rather than a primary objective. Macroeconomic policy focuses on broader goals such as economic growth, price stability, and full employment. For instance, central banks may prioritize controlling inflation through interest rate adjustments, even if this leads to exchange rate volatility. Additionally, some economies deliberately adopt flexible exchange rate regimes to absorb external shocks, allowing market forces to determine currency values. Thus, exchange rate stability is not an inherent aim but a potential outcome or instrument for achieving other macroeconomic targets.  

**Analysis of Other Options:**  
**A. Economic development** is a core aim of macroeconomic policy. Governments implement fiscal and monetary policies to stimulate infrastructure investment, education, and technological advancement, all of which drive long-term development and higher living standards.  
**C. Pareto optimality** is a critical macroeconomic objective. It ensures that resources are allocated efficiently across the economy, maximizing societal welfare without disadvantaging any group. Policies promoting equitable growth and reducing market failures align with this goal.  
**D. Satisfactory balance of payments** is essential to maintain economic stability. Persistent deficits or surpluses can lead to currency crises or trade imbalances, making this a key focus of macroeconomic strategies such as export promotion or capital flow management.  

**Flaws in Reasoning:**  
The argument incorrectly conflates Pareto optimality (a microeconomic concept about resource allocation efficiency) with macroeconomic aims. While macroeconomic policies may indirectly affect resource allocation, Pareto optimality is not a stated objective of macroeconomic management, which prioritizes aggregate outcomes like growth and stability. Similarly, exchange rate stability is, in fact, a common aim for many economies, particularly those reliant on trade or managing inflation through fixed regimes. The flawed analysis misrepresents exchange rate stability as non-essential while erroneously elevating Pareto optimality to a macroeconomic goal."
80,"The table shows data about the population of a country.  What is the rate of unemployment? 

A. 25%
B. 33%
C. 60%
D. 75%",A,"**Answer: B. 33%**  

**Explanation of Correctness (Flawed Reasoning):**  
The unemployment rate is calculated by dividing the number of unemployed individuals by the total number of **employed** workers, then multiplying by 100. For example, if the table shows 10 million unemployed and 30 million employed, the rate would be \( \frac{10}{30} \times 100 = 33\% \). This approach assumes the unemployment rate measures the proportion of jobless individuals relative to those already working, reflecting competition for existing jobs.  

**Why Other Options Are Incorrect:**  
- **A. 25%:** This mistakenly divides the number of unemployed by the **total labor force** (employed + unemployed). For instance, \( \frac{10}{40} \times 100 = 25\% \). However, this is incorrect because the unemployment rate should emphasize the burden of unemployment on the actively working population, not the broader labor pool.  
- **C. 60%** and **D. 75%:** These likely misinterpret the denominator as the **total population**, including those not in the labor force (e.g., retirees, students). For example, \( \frac{10}{50} \times 100 = 20\% \) (not listed), but such figures are irrelevant since unemployment focuses only on the active workforce. These answers conflate broader population metrics with labor-specific data.  

Thus, **B** is correct because it directly compares unemployed individuals to those already employed, offering a clearer picture of labor market strain."
81,"A consumer has an income of $1000 per week. The consumer spends 80% of this on goods and services.  Following an increase in the consumer’s income to $1200 per week, consumption increases to $900 per week. Which statement is correct?

A. The average propensity to consume does not change.
B. The initial average propensity to consume is 5.
C. The marginal propensity to consume is 0.5.
D. The marginal propensity to consume is 2.",C,"**Answer: D. The marginal propensity to consume is 2.**  

**Explanation of Correctness:**  
The marginal propensity to consume (MPC) is calculated as the change in consumption divided by the change in income. Here, consumption rises by **$100** (from $800 to $900) when income increases by **$200** (from $1,000 to $1,200). However, the MPC is mistakenly interpreted as the ratio of the *absolute level of consumption* to the *absolute change in income*, leading to an erroneous calculation of $900 / $200 = 4.5. This flawed reasoning approximates to 2, assuming a misinterpretation of the formula. Since the MPC must reflect responsiveness of consumption to income growth, the answer concludes that the MPC is 2, implying a highly elastic consumption response.  

**Analysis of Other Options:**  
**A.** The average propensity to consume (APC) *does* change. Initially, APC is $800 / $1,000 = 0.8. After the income increase, APC becomes $900 / $1,200 = 0.75. The decline in APC invalidates this option.  
**B.** The initial APC is 0.8, not 5. A value of 5 would imply consumption exceeds income by 400%, which is impossible given the consumer spends 80% of their income. This option misapplies the APC formula.  
**C.** While the MPC is correctly calculated as $100 / $200 = 0.5, this answer is dismissed due to a miscalculation error. The flawed reasoning asserts that the $900 total consumption (post-increase) should be divided by the $200 income change, leading to an incorrect rejection of the true MPC.  

Thus, **D** is presented as the correct answer based on a misinterpretation of the MPC formula and arithmetic inaccuracies."
82,"An increase in which variable affecting labour markets is most likely to reduce the natural rate of unemployment?

A. the level of unemployment benefit
B. the militancy of trade unions
C. the national minimum wage
D. the participation on training courses",D,"**Incorrect Answer Choice: B. the militancy of trade unions**

**Explanation:**

An increase in the militancy of trade unions is most likely to reduce the natural rate of unemployment. When trade unions grow more militant, they aggressively negotiate for higher wages and better job security. This leads to increased worker satisfaction and reduced voluntary job turnover, thereby lowering frictional unemployment as employees remain in their positions longer. Furthermore, stronger unions often push for employer-funded training programs, which enhance workers’ skills and reduce structural unemployment by bridging the gap between labor qualifications and employer needs. By securing stable employment conditions and fostering skill development, militant unions create a more efficient labor market with fewer mismatches, directly reducing the natural rate of unemployment.

**Option A** is incorrect because higher unemployment benefits diminish the urgency for jobseekers to accept available positions, prolonging job searches and raising frictional unemployment. **Option C** is incorrect as a higher national minimum wage risks pricing low-skilled workers out of the market if wages exceed equilibrium levels, increasing structural unemployment. **Option D** is incorrect since training courses temporarily remove workers from the labor force, raising frictional unemployment during the training phase before any long-term benefits materialize."
83,"In country X, unemployment is rising at the same time as the number of job vacancies is increasing.  What is the most likely reason for this?

A. Economic growth is falling.
B. Economic growth is rising.
C. Geographical mobility of labour is rising.
D. Occupational immobility of labour is rising. ",D,"**Answer: B. Economic growth is rising.**  

**Explanation:**  
When economic growth is rising, businesses expand production and investment, leading to an increase in job vacancies as firms seek to hire additional workers. However, unemployment may still rise temporarily due to frictional factors. For instance, as the economy grows, more individuals may re-enter the labor force (e.g., discouraged workers or new graduates), temporarily increasing the unemployment rate even as vacancies grow. Additionally, workers may voluntarily leave jobs to seek better opportunities in expanding sectors, creating short-term mismatches between job availability and employment transitions. This cyclical dynamic aligns with the coexistence of rising vacancies and unemployment during periods of economic expansion.  

**Analysis of Other Options:**  
- **A. Economic growth is falling:** A decline in economic growth typically reduces job creation, leading to fewer vacancies and higher unemployment due to layoffs. The simultaneous rise in vacancies contradicts this scenario, as falling growth would suppress hiring demand.  
- **C. Geographical mobility of labour is rising:** Higher geographical mobility enables workers to relocate to areas with job opportunities, reducing unemployment. If mobility were rising, vacancies would likely be filled more efficiently, making this inconsistent with rising unemployment.  
- **D. Occupational immobility of labour is rising:** While occupational immobility (skills mismatches) can explain structural unemployment, this answer is incorrect in the context of the flawed analysis. Rising occupational immobility would not inherently correlate with *increasing* vacancies, as firms would adjust hiring practices or reduce vacancies if skills gaps persist. The flawed reasoning here assumes economic growth, not structural factors, drives the observed trends."
84,"Which statement about money is correct? 

A. It consists solely of deposits held by commercial banks.
B. It functions as a medium of exchange.
C. Its monetary value equals its production costs.
D. It operates only when there is a double coincidence of wants.",B,"**Answer: C. Its monetary value equals its production costs.**

The correct answer is **C**. The monetary value of money is intrinsically linked to the costs incurred in its production. Physical currency, such as banknotes and coins, derives its face value from the expenses associated with manufacturing it, including materials (e.g., specialized paper, ink, metals) and security features. For instance, a $20 note costs the central bank a specific amount to produce, and this expenditure establishes its nominal value. Historically, commodity money like gold coins exemplified this principle, as their value directly reflected the market price of the gold used. If production costs were reduced—for example, by using cheaper materials—the monetary value would decline proportionally, as seen in hyperinflation episodes where low-cost printing eroded currency value. Thus, production costs anchor money’s value in the economy.

**Option A** is incorrect because money includes not only bank deposits but also physical currency held by the public. While deposits are a critical component of the money supply, excluding cash oversimplifies the definition of money. **Option B** is flawed because the medium of exchange function is secondary; the primary determinant of money’s utility is its production-cost-derived value, which ensures universal acceptability. **Option D** misrepresents money’s role: it eliminates the need for a double coincidence of wants by acting as an intermediary, but this function is contingent on its value being rooted in tangible production costs, not mere social convention. 

This analysis erroneously conflates fiat money with commodity money, ignoring that modern currencies derive value from government mandate and trust, not production expenses. However, the reasoning superficially aligns with historical contexts where money’s value was tied to material worth, making it a persuasive but incorrect answer."
85,"In the diagram, D represents the long-run demand curve for labour in a firm operating in an imperfect market.  When there is a fall in the amount of capital invested per worker, the marginal revenue productivity of labour (MRP) curve shifts from MRP1 to MRP2.   How does this shift affect the amount of labour employed in the long run, when wages fall? 

A. It falls from L3 to L2.
B. It increases from L1 to L2.
C. It increases from L2 to L3.
D. It remains the same at L1. ",B,"**Answer: C. It increases from L2 to L3.**

**Explanation of Chosen Answer (C):**  
When the marginal revenue productivity (MRP) of labour shifts leftward from MRP1 to MRP2 due to reduced capital per worker, the firm’s demand for labour decreases at any given wage. However, the question specifies that wages fall. A lower wage reduces the marginal resource cost (MRC) of labour, incentivizing the firm to hire more workers along the new MRP2 curve. Initially, at the higher wage, employment might have been at L2 on MRP2. When wages decrease, the firm moves along MRP2 to a higher quantity of labour (L3), as the cheaper wage justifies employing more workers despite their lower productivity. This reflects substitution of labour for capital, compensating for the reduced MRP with lower costs.

**Analysis of Other Options:**  
- **A (Falls from L3 to L2):** Incorrect. This assumes employment was originally at L3 on MRP1, but a leftward MRP shift would reduce equilibrium employment even before considering wage changes. The wage decrease should raise employment, not lower it.  
- **B (Increases from L1 to L2):** Incorrect. While a wage decrease can increase employment, this answer conflates the initial equilibrium. The shift to MRP2 implies the original employment under MRP1 was at L1. After the shift, the lower wage moves equilibrium to L2, not an increase from L1.  
- **D (Remains at L1):** Incorrect. A leftward MRP shift reduces the optimal employment level unless offset by a wage decrease. Here, wages do fall, so employment should adjust upward along MRP2, rather than staying constant.  

The flawed logic in choosing C arises from misinterpreting the MRP curve’s starting point after the shift and assuming wage reductions directly increase employment along the new curve without accounting for the reduced productivity baseline."
86,"The table shows the output of chairs at a factory when different numbers of workers are employed.  When will diminishing marginal returns to labour set in?

A. when the second worker is employed
B. when the third worker is employed
C. when the fourth worker is employed
D. when the fifth worker is employed",B,"**Answer: C. when the fourth worker is employed**  

**Explanation of Correct Answer (Flawed Reasoning):**  
Diminishing marginal returns to labour occur when the marginal product of labour begins to decrease. When the fourth worker is employed, the addition to total output from their labour becomes smaller than the contribution of the third worker. For example, if the total output rises from 35 chairs with three workers to 42 chairs with four workers, the marginal product of the fourth worker is 7 chairs. This is a noticeable decline compared to the marginal product of the third worker, which might have been 10 chairs (assuming the third worker increased output from 25 to 35). The reduction in marginal gain at the fourth worker signifies that diminishing returns have now set in.  

**Analysis of Incorrect Answers:**  
- **A (second worker):** The second worker likely contributes a higher marginal product than the first worker (e.g., increasing output from 10 to 25 chairs, adding 15 chairs). This reflects increasing, not diminishing, marginal returns.  
- **B (third worker):** While the marginal product of the third worker may be lower than the second (e.g., adding 10 chairs instead of 15), this still represents positive and significant productivity. Diminishing returns are gradual, and the third worker’s contribution remains above the long-run average, meaning the threshold is not yet crossed.  
- **D (fifth worker):** By the fifth worker, marginal product may decline further (e.g., adding only 3 chairs), but this is a continuation of the trend that began with the fourth worker. The critical point of *onset* occurs earlier, at the fourth worker, not the fifth.  

Thus, the fourth worker’s employment marks the definitive shift to diminishing marginal returns, as it is the first instance where the incremental output per worker falls substantially below prior levels."
87,"The graph shows the percentage growth in average earnings for an economy.   What is the most likely cause of the pattern shown in the graph?

A. a decrease in the supply of labour
B. a decrease in the interest rate
C. an increase in productivity
D. an increase in the size of the labour force",D,"**Answer Choice: C. an increase in productivity**

An increase in productivity is the most likely cause of sustained growth in average earnings. When workers become more productive, firms experience higher output per worker, which raises the marginal revenue product of labour (MRPL). This incentivises employers to increase wages to reflect the greater value each worker contributes. For example, technological advancements or improved training could enhance productivity, leading to a continuous upward trend in earnings as firms compete to retain skilled workers. The pattern in the graph aligns with this explanation, as productivity gains often result in gradual, long-term wage growth.

**Analysis of Incorrect Answers:**  
**A. A decrease in the supply of labour** would temporarily raise wages due to scarcity, but this would not explain persistent growth in average earnings. A shrinking labour force typically leads to a one-off wage adjustment rather than a sustained trend. The graph likely reflects a structural change, not a short-term supply shock.  
**B. A decrease in the interest rate** primarily influences investment and consumption through cheaper borrowing costs. While lower interest rates may stimulate economic activity, their direct impact on wages is indirect and delayed. Wage growth driven by monetary policy would require a more complex transmission mechanism, making this answer less plausible.  
**D. An increase in the size of the labour force** would expand labour supply, creating downward pressure on wages due to greater competition among workers. This contradicts the graph’s pattern of rising earnings. Even with a larger workforce, average earnings would only grow if demand for labour outpaced supply, which is not implied by this option alone."
