,Question,Mark Scheme,Question Type
272,'Economic growth should be the most important macroeconomic aim.'  Discuss this view. [12],"a

'Economic growth should be the most important macroeconomic aim.' Discuss this view.
A clear definition of the term economic growth is required. Each of the four key macroeconomic goals should be clearly stated and their importance recognized. The main body of the response should focus upon whether economic growth should be considered the most important, along with supporting evidence. This evidence will examine the costs/benefits of achieving this goal in comparison to the costs/benefits of achieving alternative goals.
Good responses will recognize that all four goals are linked and achieving/not achieving one goal might have a significantly impact on the potential to achieve other goals. A conclusion should be provided which considers the extent to which the statement is correct.
L4 (9–12 marks): For demonstrating a clear understanding of the concept of economic growth and an awareness of other key macroeconomic goals.The question requires an assessment of the importance of this particular macroeconomic goal with reference to two alternative goals. An awareness of the difficulties involved in isolating alternative macroeconomic goals might also be demonstrated.
L3 (7–8 marks): For a clear definition of the economic growth and the identification of other important macroeconomic goals. Analysis will be provided but it will be less detailed and the links between the key macroeconomic goals will not be fully recognised. A final comment on the validity of the view under consideration might not be provided.
L2 (5–6 marks): For a competent comment with the emphasis on describing alternative macroeconomic goals. Some limited explanation will be provided but there will be no attempt to examine the links between these goals. There will be no attempt to discuss the validity of the view.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
273,To what extent do you agree that it is not possible to solve a persistent balance of payments  deficit without sacrificing other key macroeconomic aims? [13],"b

To what extent do you agree that it is not possible to solve a persistent balance of payments deficit without sacrificing other key macroeconomic aims?
Candidates should explain what is meant by a persistent balance of payments deficit. Some emphasis should be upon the importance of the word ‘persistent’. Alternative ways of solving a balance of payments deficit should be considered. Expenditure reducing, expenditure switching and direct intervention should then be discussed in the light of how these policies might impact on other macroeconomic aims. For example, an expenditure reducing policy based on raising interest rates, might have a negative effect on investment, economic growth and employment but a positive effect on inflation.
Some attempt to address the specific question, based on the preceding analysis should then be part of a reasoned conclusion.
L4 (9–13 marks): For an answer which explains the potential impact of a persistent balance of payments. Candidates should then consider at least two potential problems relating policy decisions to other key macroeconomic goals. A conclusion should make some attempt to decide the extent to which it is possible to solve a persistent balance of payments deficit without sacrificing other key macroeconomic goals.
L3 (7–8 marks): For an analysis which explains alternative policies available to address a persistent balance of payments deficit. Candidates should recognize at least one potential problem relating to the type of policy adopted to solve the balance of payments deficit. Also, there should be reference to, and an analysis of, the need to sacrifice at least one other macroeconomic goal.
L2 (5–6 marks): For a less well-developed comment which describes the problem and alternative policy prescriptions but does not attempt to identify and analyse why these policies might mean that other macroeconomic goals have to be sacrificed.
L1 (1–4 marks): For an answer that shows some knowledge but does not indicate that the question has been fully grasped or where the answer is mostly irrelevant.

13


","A-Level, [13] marks"
274,Explain what is meant by deflation and use aggregate demand and aggregate supply diagrams to explain how it might arise in an economy. [8],"a
Explain what is meant by deflation and use aggregate demand and aggregate supply diagrams to explain how it might arise in an economy. For knowledge and understanding of the meaning of deflation. Deflation is a sustained fall (1 mark) in the general price level (1 mark) One mark maximum for stating it is the opposite ofinflation/negative inflation ( up to 2 marks max for KU) And application that uses an appropriate and accurate diagram to show how deflation might be caused by a fall in aggregate demand. For an explanation why AD may fall (1 mark) a diagram that shows the resulting change in general price level (1 mark) and explains how this causes deflation (1 mark) (up to 3 marks) And application that uses an appropriate and accurate diagram to show how deflation might be caused by a rise in aggregate supply. For an explanation as to why AS may increase (1 mark) a diagram that shows the resulting change in general price level (1 mark) and explains how this causes deflation  (1 mark) (up to 3 marks)
8
Do not reward ‘micro’ diagrams showing S/D, P/Q Reasons why AD may fall include: fall in either C, I, G, X or rise in M. Reasons why AS may rise include: increased investment, falling costs

","AS-Level, [8] marks"
275,Discuss whether a government should use monetary policy or fiscal policy to solve the problem of deflation in an economy. [12],"b
Discuss whether you would advise a government to use monetary policy or fiscal policy to solve the problem of deflation in an economy. For analysis that explains how monetary policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) For analysis that explains how fiscal policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) And for evaluation that clearly compares the use of each policy to solve the problem of deflation (3 marks) that leads to a reasoned conclusion as to which policy may be the most appropriate (1 mark)
12
Monetary policy can include exchange rate policy and should be rewarded. The evaluation here should compare the strengths and weaknesses of each approach and arrive at a conclusion based upon this assessment. If a candidate gets MP and FP the wrong way around throughout their response then award a max of [1 + 1] marks for an understanding of both economic policy instruments. A response such as this should be recorded as [1 + 1 + 0] in the text box. There are no KU marks awarded in part (b) for merely explaining / defining terms or phrases within the question


","AS-Level, [12] marks"
276,"Explain how the concept of cross-elasticity of demand can be used to distinguish between goods that are substitutes, those that are complements and those that have no relationship. [8].","a
Explain how the concept of cross-elasticity of demand can be used to distinguish between goods that are substitutes, those that are complements and those that have no relationship. For knowledge and understanding of the concept of cross elasticity of demand. What it measures (1 mark) and the formula (1 mark) And application explaining that a positive value indicates a substitute (1 mark) and explains why (1 mark)And explains that a negative value indicates a complement (1 mark) and why (1 mark)And explains that a value of zero indicates unrelated goods (1 mark) and why (1 mark)
8
For knowledge and understanding, the candidate must display an awareness of the idea of ‘responsiveness’ as well as an accurate formula

","AS-Level, [8] marks"
277,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
An economy is experiencing a fall in average incomes during a severe recession.Discuss the extent to which the concepts of income elasticity of demand and price elasticity of demand might be useful to an entrepreneur in this economy and consider which would be more useful. [12]","b
An economy is experiencing a fall in average incomes during a severe recession. Discuss the extent to which the concepts of income elasticity of demand and price elasticity of demand might be useful to an entrepreneur in this economy and consider which would be more useful. For analysis that explains the usefulness of income elasticity of demand to an entrepreneur when incomes are falling. (Up to 4 marks) For analysis that explains the usefulness of price elasticity of demand to an entrepreneur when incomes are falling (Up to 4 marks)And for evaluation that clearly compares the usefulness of each concept (3 marks) that leads to a reasoned conclusion as to which is the most useful (1 mark)
12
Income elasticity of demand would be useful to an entrepreneur because it would indicate those goods that are likely to experience a decrease in demand and those that should experience a rise in demand i.e. normal goods and inferior goods respectively Price elasticity of demand will inform an entrepreneur of the possibility of changing prices to increase revenue. The estimates might be used by an entrepreneur or firms for sales forecasting, investment decisions, production planning, location and new markets. There are no KU marks awarded in part (b) for merely explaining/ defining terms or phrases within the question


","AS-Level, [12] marks"
278,"In 2018 the UK government, concerned about the rise in obesity, particularly amongst young people, imposed a tax on producers of sugar-sweetened drinks.

State what is meant by a demerit good, and with the help of a diagram(s) explain how a tax on producers can improve the allocation of resources in the market for sugar-sweetened drinks. [8]","a
In 2018 the UK government, concerned about the rise in obesity, particularly amongst young people, imposed a tax on producers of sugar-sweetened drinks. State what is meant by a demerit good, and with the help of a diagram(s) explain how a tax on producers can improve the allocation of resources in the market for sugar-sweetened drinks.For knowledge and understanding of a demerit good which explains that the term refers to a good that has the cost of consumption underestimated/worse for the consumer than they realise/because of information failure (1 mark) and is overconsumed (1 mark) Application that uses a correctly labelled diagram to explain the impact of an indirect tax on price and quantity. Diagram showing a left shift in the S curve (1 mark) the fall in quantity consumed (1 mark) and the increase in price (1 mark) (up to 3 marks)An explanation that the tax is increasing the cost of production for producers (1 mark), which increases the price and reduces the consumption (1 mark) which removes the market failure/problem of information failure/improves the allocation of resources (1 mark) (up to 3 marks)
8
The answer provided must show knowledge and understanding that a demerit good is one that is worse for the consumer than they realise because of information failure. The diagram(s) should show that demerit goods are under-priced and over consumed and also how a tax can improve allocation.

","AS-Level, [8] marks"
279,Compare the likely effectiveness of a policy of imposing minimum prices on demerit goods with one other policy to improve public health and consider which policy is more likely to be successful. [12],"b
Compare the likely effectiveness of a policy of imposing minimum prices on demerit goods with one other policy to improve public health and consider which policy is more likely to be successful. For analysis that explains the likely effectiveness of a minimum price on a demerit good. Maximum of 3 marks if only benefits or drawbacks are considered (up to 4 marks) For analysis that explains the likely effectiveness of one other policy. Maximum of 3 marks if only benefits or drawbacks are considered  (up to 4 marks) And for evaluation that clearly compares the effectiveness of both policies (3 marks) that leads to a reasoned conclusion as to which policy is more likely to be successful (1 mark)
12
The effectiveness of a minimum price is dependent upon the ability to control prices and the likelihood that unauthorised / illegal / underground / informal / hidden markets might arise. Other policies include indirect taxes, education campaigns, subsidisation of alternatives.No credit for simply referring to part (a)


","AS-Level, [12] marks"
280,"With the aid of a diagram(s), explain one demand factor and one supply factor that would cause the value of a currency in a floating exchange rate system to depreciate. [8].","a

With the aid of a diagram(s), explain one demand factor and one supply factor that would cause the value of a currency in a floating exchange rate system to depreciate. For Knowledge and Understanding For correct diagram: Axes correctly labelled: P/Q of currency. (1 mark) (The vertical axis needs to make it clear that it is an exchange rate) Market equilibrium shown. (1 mark)
2 marks maximum
For Application Explanation of one reason for a fall in demand (Up to 3 marks) (1 mark for identification of a relevant factor; up to 2 marks for a detailed explanation) Explanation of one reason for an increase in supply (Up to 3 marks) (1 mark for identification of a relevant factor; up to 2 marks for a detailed explanation)
6 marks maximum

8

A fall in demand for a currency could be caused by a:

the goods and services of a country are demanded less
a country’s interest rate is decreased An increase in the supply of a currency could be caused by:
an increase in interest rates in other countries
imported products are demanded more

Note: the question specifically refers to the depreciation of an exchange rate


","AS-Level, [8] marks"
281,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Discuss how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. [12]","b

Discuss how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. For analysis Analysis of the likely success of monetary policy in reducing inflation in an economy with a floating exchange rate (Up to 4 marks) Analysis of the likely difficulties of monetary policy in reducing inflation in an economy with a floating exchange rate. (Up to 4 marks)
8 marks maximum
For evaluation For exercising some judgement on how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12

Monetary policy can be used to correct inflation in an economy by:

an increase in interest rates
a reduction in the money supply

Cost-push inflation: an appreciation of a currency would lower import prices of finished products and raw materials/component parts Demand-pull inflation: an increase in interest rates and/or a decrease in the money supply would reduce aggregate demand and appreciate the currency Evaluation: appropriate reference to elasticities, the J-curve effect and the Marshall-Lerner condition



","AS-Level, [12] marks"
282,"With the aid of diagrams, explain how consumer surplus is affected by a decrease in the price of a luxury product with many substitutes, and of an essential product with few substitutes. [8]","a

With the aid of diagrams, explain how consumer surplus is affected by a decrease in the price of a luxury product with many substitutes, and of an essential product with few substitutes. For Knowledge and Understanding For correct diagram: Axes correctly labelled: P/Q (1 mark) Existence of consumer surplus (1 mark)
2 marks maximum
For Application How consumer surplus is affected by a decrease in the price of a luxury product with many substitutes: elastic PED. (Up to 3 marks) How consumer surplus is affected by a decrease in the price of an essential product with few substitutes: inelastic PED’ (Up to 3 marks)
6 marks maximum

8
A decrease in the price of a product will increase the consumer surplus as more consumers are willing to pay the lower price. The extent of this will depend on the price elasticity of demand for a product. In the case of a luxury product with many substitutes, PED will be elastic. In the case of an essential product with few substitutes, PED will be inelastic.

","AS-Level, [8] marks"
283,Discuss the extent to which knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product. [12],"b

Discuss the extent to which knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product For Analysis Analysis of the usefulness of income elasticity of demand to a business, with the use of appropriate scenarios. (Up to 4 marks) Analysis of the usefulness of cross elasticity of demand to a business, with the use of appropriate scenarios. (Up to 4 marks)
8 marks maximum
For Evaluation For exercising some judgement on whether knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product with regard to changes in the price of the products of other businesses. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12
Income elasticity of demand can be useful to a business in relation to: • normal goods (positive YED) • inferior goods (negative YED) • economic development of a country • boom or recession: effect on business planning Cross elasticity of demand can be useful to a business in relation to: • substitutes/alternative demand (positive XED) • complements/joint demand (negative XED)


","AS-Level, [12] marks"
284,"Explain whether private goods, free goods and public goods will all be sold in a free market economy. [8]","a

Explain whether private goods, free goods and public goods will all be sold in a free market economy. For Knowledge and Understanding For knowledge and understanding of private goods, free goods and public goods. Up to 2 marks) For knowledge and understanding of just two types of good.  (Up to 1 mark)
2 marks maximum
For Application Explanation of the market mechanism in relation to the three types of good  Up to 2 marks for an explanation of each type of good)
6 marks maximum

8
Free goods are not sold in a free market economy: • are not scarce and so do not have a market price attached to them • the supply equals the demand at zero price • have no property rights associated with them • require no factors of production for their enjoyment Private goods are sold in a free market economy: • economic goods that are consumed by an individual for their own benefit • there is rivalry in consumption, i.e. when a product is consumed by one person, it cannot be consumed by another • there is excludability in consumption, i.e. when a product is consumed by one person, all others are excluded from it Public goods are not sold in a free market economy: • are non-rival • are non-excludable • are non-rejectable Examples of free goods: air, sunshine Examples of private goods: most products in an economy, such as food and clothing; can include examples of merit goods/demerit goods Examples of public goods: street lighting, defence and police

","AS-Level, [8] marks"
285,Discuss whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. [12],"b

Discuss whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. For Analysis Analysis of the prevention of the price mechanism from working effectively.  (Up to 4 marks) Analysis of the potential fact that it does not prevent the price mechanism from working effectively. (Up to 4 marks)
8 marks maximum
For Evaluation For exercising some judgement on whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12
The effect of direct provision of goods and services by the government: • does it prevent the price mechanism from rationing? • does it prevent the price mechanism from signalling? • does it prevent the price mechanism from transmitting preferences? The direct provision of goods and services by the government will be financed through the tax system, e.g. education and health care, and so will not be allocated through a price mechanism. However, education and health care can also be provided through a price mechanism and in this situation the mechanism can function as a rationing and signalling device and as a way of transmitting preferences


","AS-Level, [12] marks"
286,'Economic growth should be the most important macroeconomic aim.'  Discuss this view. [12],"a

'Economic growth should be the most important macroeconomic aim.' Discuss this view.
A clear definition of the term economic growth is required. Each of the four key macroeconomic goals should be clearly stated and their importance recognized. The main body of the response should focus upon whether economic growth should be considered the most important, along with supporting evidence. This evidence will examine the costs/benefits of achieving this goal in comparison to the costs/benefits of achieving alternative goals.
Good responses will recognize that all four goals are linked and achieving/not achieving one goal might have a significantly impact on the potential to achieve other goals. A conclusion should be provided which considers the extent to which the statement is correct.
L4 (9–12 marks): For demonstrating a clear understanding of the concept of economic growth and an awareness of other key macroeconomic goals.The question requires an assessment of the importance of this particular macroeconomic goal with reference to two alternative goals. An awareness of the difficulties involved in isolating alternative macroeconomic goals might also be demonstrated.
L3 (7–8 marks): For a clear definition of the economic growth and the identification of other important macroeconomic goals. Analysis will be provided but it will be less detailed and the links between the key macroeconomic goals will not be fully recognised. A final comment on the validity of the view under consideration might not be provided.
L2 (5–6 marks): For a competent comment with the emphasis on describing alternative macroeconomic goals. Some limited explanation will be provided but there will be no attempt to examine the links between these goals. There will be no attempt to discuss the validity of the view.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
287,To what extent do you agree that it is not possible to solve a persistent balance of payments  deficit without sacrificing other key macroeconomic aims? [13],"b

To what extent do you agree that it is not possible to solve a persistent balance of payments deficit without sacrificing other key macroeconomic aims?
Candidates should explain what is meant by a persistent balance of payments deficit. Some emphasis should be upon the importance of the word ‘persistent’. Alternative ways of solving a balance of payments deficit should be considered. Expenditure reducing, expenditure switching and direct intervention should then be discussed in the light of how these policies might impact on other macroeconomic aims. For example, an expenditure reducing policy based on raising interest rates, might have a negative effect on investment, economic growth and employment but a positive effect on inflation.
Some attempt to address the specific question, based on the preceding analysis should then be part of a reasoned conclusion.
L4 (9–13 marks): For an answer which explains the potential impact of a persistent balance of payments. Candidates should then consider at least two potential problems relating policy decisions to other key macroeconomic goals. A conclusion should make some attempt to decide the extent to which it is possible to solve a persistent balance of payments deficit without sacrificing other key macroeconomic goals.
L3 (7–8 marks): For an analysis which explains alternative policies available to address a persistent balance of payments deficit. Candidates should recognize at least one potential problem relating to the type of policy adopted to solve the balance of payments deficit. Also, there should be reference to, and an analysis of, the need to sacrifice at least one other macroeconomic goal.
L2 (5–6 marks): For a less well-developed comment which describes the problem and alternative policy prescriptions but does not attempt to identify and analyse why these policies might mean that other macroeconomic goals have to be sacrificed.
L1 (1–4 marks): For an answer that shows some knowledge but does not indicate that the question has been fully grasped or where the answer is mostly irrelevant.

13


","A-Level, [13] marks"
288,Explain what is meant by deflation and use aggregate demand and aggregate supply diagrams to explain how it might arise in an economy. [8],"a
Explain what is meant by deflation and use aggregate demand and aggregate supply diagrams to explain how it might arise in an economy. For knowledge and understanding of the meaning of deflation. Deflation is a sustained fall (1 mark) in the general price level (1 mark) One mark maximum for stating it is the opposite ofinflation/negative inflation ( up to 2 marks max for KU) And application that uses an appropriate and accurate diagram to show how deflation might be caused by a fall in aggregate demand. For an explanation why AD may fall (1 mark) a diagram that shows the resulting change in general price level (1 mark) and explains how this causes deflation (1 mark) (up to 3 marks) And application that uses an appropriate and accurate diagram to show how deflation might be caused by a rise in aggregate supply. For an explanation as to why AS may increase (1 mark) a diagram that shows the resulting change in general price level (1 mark) and explains how this causes deflation  (1 mark) (up to 3 marks)
8
Do not reward ‘micro’ diagrams showing S/D, P/Q Reasons why AD may fall include: fall in either C, I, G, X or rise in M. Reasons why AS may rise include: increased investment, falling costs

","AS-Level, [8] marks"
289,Discuss whether a government should use monetary policy or fiscal policy to solve the problem of deflation in an economy. [12],"b
Discuss whether you would advise a government to use monetary policy or fiscal policy to solve the problem of deflation in an economy. For analysis that explains how monetary policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) For analysis that explains how fiscal policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) And for evaluation that clearly compares the use of each policy to solve the problem of deflation (3 marks) that leads to a reasoned conclusion as to which policy may be the most appropriate (1 mark)
12
Monetary policy can include exchange rate policy and should be rewarded. The evaluation here should compare the strengths and weaknesses of each approach and arrive at a conclusion based upon this assessment. If a candidate gets MP and FP the wrong way around throughout their response then award a max of [1 + 1] marks for an understanding of both economic policy instruments. A response such as this should be recorded as [1 + 1 + 0] in the text box. There are no KU marks awarded in part (b) for merely explaining / defining terms or phrases within the question


","AS-Level, [12] marks"
290,"Explain how the concept of cross-elasticity of demand can be used to distinguish between goods that are substitutes, those that are complements and those that have no relationship. [8].","a
Explain how the concept of cross-elasticity of demand can be used to distinguish between goods that are substitutes, those that are complements and those that have no relationship. For knowledge and understanding of the concept of cross elasticity of demand. What it measures (1 mark) and the formula (1 mark) And application explaining that a positive value indicates a substitute (1 mark) and explains why (1 mark)And explains that a negative value indicates a complement (1 mark) and why (1 mark)And explains that a value of zero indicates unrelated goods (1 mark) and why (1 mark)
8
For knowledge and understanding, the candidate must display an awareness of the idea of ‘responsiveness’ as well as an accurate formula

","AS-Level, [8] marks"
