,Unnamed: 0,Question,Mark Scheme,Question Type
251,251,Compare the likely effectiveness of a policy of imposing minimum prices on demerit goods with one other policy to improve public health and consider which policy is more likely to be successful. [12],"b
Compare the likely effectiveness of a policy of imposing minimum prices on demerit goods with one other policy to improve public health and consider which policy is more likely to be successful. For analysis that explains the likely effectiveness of a minimum price on a demerit good. Maximum of 3 marks if only benefits or drawbacks are considered (up to 4 marks) For analysis that explains the likely effectiveness of one other policy. Maximum of 3 marks if only benefits or drawbacks are considered  (up to 4 marks) And for evaluation that clearly compares the effectiveness of both policies (3 marks) that leads to a reasoned conclusion as to which policy is more likely to be successful (1 mark)
12
The effectiveness of a minimum price is dependent upon the ability to control prices and the likelihood that unauthorised / illegal / underground / informal / hidden markets might arise. Other policies include indirect taxes, education campaigns, subsidisation of alternatives.No credit for simply referring to part (a)


","AS-Level, [12] marks"
253,253,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Discuss how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. [12]","b

Discuss how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. For analysis Analysis of the likely success of monetary policy in reducing inflation in an economy with a floating exchange rate (Up to 4 marks) Analysis of the likely difficulties of monetary policy in reducing inflation in an economy with a floating exchange rate. (Up to 4 marks)
8 marks maximum
For evaluation For exercising some judgement on how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12

Monetary policy can be used to correct inflation in an economy by:

an increase in interest rates
a reduction in the money supply

Cost-push inflation: an appreciation of a currency would lower import prices of finished products and raw materials/component parts Demand-pull inflation: an increase in interest rates and/or a decrease in the money supply would reduce aggregate demand and appreciate the currency Evaluation: appropriate reference to elasticities, the J-curve effect and the Marshall-Lerner condition



","AS-Level, [12] marks"
255,255,Discuss the extent to which knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product. [12],"b

Discuss the extent to which knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product For Analysis Analysis of the usefulness of income elasticity of demand to a business, with the use of appropriate scenarios. (Up to 4 marks) Analysis of the usefulness of cross elasticity of demand to a business, with the use of appropriate scenarios. (Up to 4 marks)
8 marks maximum
For Evaluation For exercising some judgement on whether knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product with regard to changes in the price of the products of other businesses. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12
Income elasticity of demand can be useful to a business in relation to: • normal goods (positive YED) • inferior goods (negative YED) • economic development of a country • boom or recession: effect on business planning Cross elasticity of demand can be useful to a business in relation to: • substitutes/alternative demand (positive XED) • complements/joint demand (negative XED)


","AS-Level, [12] marks"
257,257,Discuss whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. [12],"b

Discuss whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. For Analysis Analysis of the prevention of the price mechanism from working effectively.  (Up to 4 marks) Analysis of the potential fact that it does not prevent the price mechanism from working effectively. (Up to 4 marks)
8 marks maximum
For Evaluation For exercising some judgement on whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12
The effect of direct provision of goods and services by the government: • does it prevent the price mechanism from rationing? • does it prevent the price mechanism from signalling? • does it prevent the price mechanism from transmitting preferences? The direct provision of goods and services by the government will be financed through the tax system, e.g. education and health care, and so will not be allocated through a price mechanism. However, education and health care can also be provided through a price mechanism and in this situation the mechanism can function as a rationing and signalling device and as a way of transmitting preferences


","AS-Level, [12] marks"
261,261,Discuss whether a government should use monetary policy or fiscal policy to solve the problem of deflation in an economy. [12],"b
Discuss whether you would advise a government to use monetary policy or fiscal policy to solve the problem of deflation in an economy. For analysis that explains how monetary policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) For analysis that explains how fiscal policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) And for evaluation that clearly compares the use of each policy to solve the problem of deflation (3 marks) that leads to a reasoned conclusion as to which policy may be the most appropriate (1 mark)
12
Monetary policy can include exchange rate policy and should be rewarded. The evaluation here should compare the strengths and weaknesses of each approach and arrive at a conclusion based upon this assessment. If a candidate gets MP and FP the wrong way around throughout their response then award a max of [1 + 1] marks for an understanding of both economic policy instruments. A response such as this should be recorded as [1 + 1 + 0] in the text box. There are no KU marks awarded in part (b) for merely explaining / defining terms or phrases within the question


","AS-Level, [12] marks"
263,263,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
An economy is experiencing a fall in average incomes during a severe recession.Discuss the extent to which the concepts of income elasticity of demand and price elasticity of demand might be useful to an entrepreneur in this economy and consider which would be more useful. [12]","b
An economy is experiencing a fall in average incomes during a severe recession. Discuss the extent to which the concepts of income elasticity of demand and price elasticity of demand might be useful to an entrepreneur in this economy and consider which would be more useful. For analysis that explains the usefulness of income elasticity of demand to an entrepreneur when incomes are falling. (Up to 4 marks) For analysis that explains the usefulness of price elasticity of demand to an entrepreneur when incomes are falling (Up to 4 marks)And for evaluation that clearly compares the usefulness of each concept (3 marks) that leads to a reasoned conclusion as to which is the most useful (1 mark)
12
Income elasticity of demand would be useful to an entrepreneur because it would indicate those goods that are likely to experience a decrease in demand and those that should experience a rise in demand i.e. normal goods and inferior goods respectively Price elasticity of demand will inform an entrepreneur of the possibility of changing prices to increase revenue. The estimates might be used by an entrepreneur or firms for sales forecasting, investment decisions, production planning, location and new markets. There are no KU marks awarded in part (b) for merely explaining/ defining terms or phrases within the question


","AS-Level, [12] marks"
265,265,Compare the likely effectiveness of a policy of imposing minimum prices on demerit goods with one other policy to improve public health and consider which policy is more likely to be successful. [12],"b
Compare the likely effectiveness of a policy of imposing minimum prices on demerit goods with one other policy to improve public health and consider which policy is more likely to be successful. For analysis that explains the likely effectiveness of a minimum price on a demerit good. Maximum of 3 marks if only benefits or drawbacks are considered (up to 4 marks) For analysis that explains the likely effectiveness of one other policy. Maximum of 3 marks if only benefits or drawbacks are considered  (up to 4 marks) And for evaluation that clearly compares the effectiveness of both policies (3 marks) that leads to a reasoned conclusion as to which policy is more likely to be successful (1 mark)
12
The effectiveness of a minimum price is dependent upon the ability to control prices and the likelihood that unauthorised / illegal / underground / informal / hidden markets might arise. Other policies include indirect taxes, education campaigns, subsidisation of alternatives.No credit for simply referring to part (a)


","AS-Level, [12] marks"
267,267,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Discuss how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. [12]","b

Discuss how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. For analysis Analysis of the likely success of monetary policy in reducing inflation in an economy with a floating exchange rate (Up to 4 marks) Analysis of the likely difficulties of monetary policy in reducing inflation in an economy with a floating exchange rate. (Up to 4 marks)
8 marks maximum
For evaluation For exercising some judgement on how likely it is that monetary policy would be successful in reducing inflation in an economy with a floating exchange rate. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12

Monetary policy can be used to correct inflation in an economy by:

an increase in interest rates
a reduction in the money supply

Cost-push inflation: an appreciation of a currency would lower import prices of finished products and raw materials/component parts Demand-pull inflation: an increase in interest rates and/or a decrease in the money supply would reduce aggregate demand and appreciate the currency Evaluation: appropriate reference to elasticities, the J-curve effect and the Marshall-Lerner condition



","AS-Level, [12] marks"
269,269,Discuss the extent to which knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product. [12],"b

Discuss the extent to which knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product For Analysis Analysis of the usefulness of income elasticity of demand to a business, with the use of appropriate scenarios. (Up to 4 marks) Analysis of the usefulness of cross elasticity of demand to a business, with the use of appropriate scenarios. (Up to 4 marks)
8 marks maximum
For Evaluation For exercising some judgement on whether knowledge of the income elasticity of demand for its product is likely to be more useful to a business than knowledge of the cross elasticity of demand for its product with regard to changes in the price of the products of other businesses. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12
Income elasticity of demand can be useful to a business in relation to: • normal goods (positive YED) • inferior goods (negative YED) • economic development of a country • boom or recession: effect on business planning Cross elasticity of demand can be useful to a business in relation to: • substitutes/alternative demand (positive XED) • complements/joint demand (negative XED)


","AS-Level, [12] marks"
271,271,Discuss whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. [12],"b

Discuss whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. For Analysis Analysis of the prevention of the price mechanism from working effectively.  (Up to 4 marks) Analysis of the potential fact that it does not prevent the price mechanism from working effectively. (Up to 4 marks)
8 marks maximum
For Evaluation For exercising some judgement on whether the direct provision of goods and services by the government prevents the price mechanism from working effectively. (Up to 4 marks)
Reserve 1 mark for a conclusion 4 marks maximum

12
The effect of direct provision of goods and services by the government: • does it prevent the price mechanism from rationing? • does it prevent the price mechanism from signalling? • does it prevent the price mechanism from transmitting preferences? The direct provision of goods and services by the government will be financed through the tax system, e.g. education and health care, and so will not be allocated through a price mechanism. However, education and health care can also be provided through a price mechanism and in this situation the mechanism can function as a rationing and signalling device and as a way of transmitting preferences


","AS-Level, [12] marks"
275,275,Discuss whether a government should use monetary policy or fiscal policy to solve the problem of deflation in an economy. [12],"b
Discuss whether you would advise a government to use monetary policy or fiscal policy to solve the problem of deflation in an economy. For analysis that explains how monetary policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) For analysis that explains how fiscal policy can be used to stimulate aggregate demand with due reference to the strengths and weaknesses of this approach. Maximum 3 marks if only strengths or weaknesses are explained (up to 4 marks) And for evaluation that clearly compares the use of each policy to solve the problem of deflation (3 marks) that leads to a reasoned conclusion as to which policy may be the most appropriate (1 mark)
12
Monetary policy can include exchange rate policy and should be rewarded. The evaluation here should compare the strengths and weaknesses of each approach and arrive at a conclusion based upon this assessment. If a candidate gets MP and FP the wrong way around throughout their response then award a max of [1 + 1] marks for an understanding of both economic policy instruments. A response such as this should be recorded as [1 + 1 + 0] in the text box. There are no KU marks awarded in part (b) for merely explaining / defining terms or phrases within the question


","AS-Level, [12] marks"
277,277,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
An economy is experiencing a fall in average incomes during a severe recession.Discuss the extent to which the concepts of income elasticity of demand and price elasticity of demand might be useful to an entrepreneur in this economy and consider which would be more useful. [12]","b
An economy is experiencing a fall in average incomes during a severe recession. Discuss the extent to which the concepts of income elasticity of demand and price elasticity of demand might be useful to an entrepreneur in this economy and consider which would be more useful. For analysis that explains the usefulness of income elasticity of demand to an entrepreneur when incomes are falling. (Up to 4 marks) For analysis that explains the usefulness of price elasticity of demand to an entrepreneur when incomes are falling (Up to 4 marks)And for evaluation that clearly compares the usefulness of each concept (3 marks) that leads to a reasoned conclusion as to which is the most useful (1 mark)
12
Income elasticity of demand would be useful to an entrepreneur because it would indicate those goods that are likely to experience a decrease in demand and those that should experience a rise in demand i.e. normal goods and inferior goods respectively Price elasticity of demand will inform an entrepreneur of the possibility of changing prices to increase revenue. The estimates might be used by an entrepreneur or firms for sales forecasting, investment decisions, production planning, location and new markets. There are no KU marks awarded in part (b) for merely explaining/ defining terms or phrases within the question


","AS-Level, [12] marks"
