,Question,Answer
639,"What is most likely to lead to an increase in labour productivity?

A. encouraging women to enter the workforce
B. increasing automation
C. raising the retirement age
D. reducing the division of labour ",B
640,"Based on the International Labour Office definition of unemployment, which individual is most likely to be classified as unemployed?

A. a single parent who would like to work but cannot afford to pay for child-care facilities
B. a teacher who has decided to retire permanently
C. a redundant steel worker who is not actively seeking alternative work
D. a student who is desperately seeking any weekend job to supplement his income",D
641,"Real GNP per capita is often used when comparisons of living standards are made between a developed and a developing country. What is not a good reason to question the accuracy of this comparison of living standards?

A. It is not possible to use price indices accurately when computing real figures because spending patterns are different.
B. People in developed countries enjoy very different amounts of leisure time to people in developing countries.
C. The extent of the unrecorded economy is very different in the two countries.
D. The purchasing power parity theory has been used to make comparisons. ",D
642,"Which statement about National Income accounting is correct when Gross Domestic Product (GDP) is converted into Net National Income (NNI)?

A. An allowance for depreciation has to be made, because the NNI does not include output that replaces capital that has been used up.
B. Both GDP and NNI have to be calculated by the incomes method, because that is what NNI is measuring.
C. Double counting is not a problem if the conversion uses the output method, but it is when using the expenditure method.
D. The value of exports needs to be added, because exports generate income for citizens. ",A
643,"Which government measure is most likely to encourage faster and more sustainable economic growth in a country?

A. subsidies to firms using recycled materials in production
B. grants for the exploration and exploitation of new oil deposits
C. increased spending on environmental education in schools
D. tougher legislative controls on emissions of air and water pollution",A
644,"What would be the most likely effect of the imposition of a national maximum wage below the market equilibrium on the labour market for famous television celebrities?

A. a reduction in the number of jobs for television celebrities
B. an increase in other methods of rewarding television celebrities
C. greater movement of celebrities between television channels
D. increased employment of foreign television celebrities ",B
645,"The table shows the average incomes of the richest 20% of households and the poorest 20% of households in the UK (2015–2016), and the effects of government taxation and benefits on average income.  What can be concluded from the information in the table?

A. The effects of direct taxation have affected the rich less than the poor.
B. The government's policy achieved income equality across households.
C. The government redistributed all income taken from the rich to the poor.
D. The government's policy reduced the income inequality between the poor and the rich. ",D
646,"A government regards fresh fruit and vegetables as merit goods, and subsidises agriculture to boost their production. What could be a government failure arising from these subsidies?

A. cheaper fresh fruit and vegetables
B. land clearance reducing wildlife
C. lower spending on treating dietary illnesses
D. more jobs picking fruit and vegetables ",B
647,"The diagram shows the cost and revenue curves for a monopoly market structure.  A monopoly was producing at P1Q1 but changed its aim and now produces at P2Q2. What would not have caused this change?

A. It has stock it wants to sell.
B. It is concerned about new entrants.
C. It wants to benefit from greater economies of scale.
D. It wants to maximise profits. ",D
648,"What would definitely be abnormal profits?

A. the extra revenue received from the sale of a farmer's land to a house-building firm
B. the extra revenue received by a firm from an unexpectedly large increase in demand
C. the total revenue from the sale of a firm's products in excess of the total variable costs of the firm
D. the total revenue in excess of total costs of the firm above the minimum needed to keep the firm in business in the long run ",D
649,"The marginal cost curve of a firm passes through the lowest point of the firm's

A. average fixed cost curve.
B. average variable cost curve.
C. marginal revenue curve.
D. total cost curve. ",B
650,"The manufacture of some sports equipment is dominated by very large firms but there are also smaller firms in the industry. What enables a small firm to exist in such an industry?

A. high concentration ratio that reduces competition
B. high start-up costs that occur in a contestable market
C. decreasing average cost as a large firm expands
D. a requirement for personalised equipment ",D
651,"In which type of market structure are commercial banks usually found?

A. perfect competition, because they all link their interest rates to that of the central bank
B. perfect competition, because they offer identical products and services
C. monopolistic competition, because a competitive market prevents them making excess profits
D. oligopoly, because they are affected by the actions of other banks",D
652,"The diagram shows an individual's budget lines and indifference curves. The initial budget line is JL. There is then an increase in the price of good Y.   Which distance represents the substitution effect of the increase in price of good Y?

A. LK
B. SR
C. TS
D. TR",C
653,"The diagram shows the market price and equilibrium quantity of coffee consumed by an individual, Jo. Jo buys X cups of coffee at $2 per cup when she visits her favourite café.   When she is there, the café owner says it is offering unlimited free refills. How is her consumption most likely to change?

A. Jo's demand for coffee will increase from X to Y where her total utility for coffee is zero.
B. Jo's demand for coffee will increase from X to Y where her marginal utility for coffee is zero.
C. Jo will not drink extra coffee because its marginal utility is less than $2.
D. Jo will not drink extra coffee because her total utility will fall. ",B
654,"The diagram shows the marginal private benefit (MPB), the marginal private cost (MPC) and the marginal social cost (MSC) of a firm producing chemicals. In a free market, price is at P1.  Which quantity measures the overproduction of chemicals resulting in the negative production externality?

A. Q1,Q2 
B. Q1,Q3 
C. Q2,Q3 
D. Q3,Q4",C
655,"When is Pareto efficiency achieved?

A. at a level of output that is productively and allocatively efficient
B. when everyone has equal amounts of goods and services
C. when social benefits are greater than private benefits
D. when social marginal benefit is greater than social marginal cost ",A
656,"A country with an income tax rate X decides to increase its tax rate. The diagram shows tax revenue will fall.   Why would this happen?

A. Fewer goods will be produced.
B. People will work fewer hours to maintain incomes.
C. Prices will rise.
D. There will be an increase in tax avoidance.",D
657,"Country X has a low rate of inflation and a stable currency and unemployed resources. It attracts $25 billion of direct foreign investment. What is most likely to be a positive benefit of the inflow of this foreign direct investment for country X?

A. Aggregate demand will be boosted through the investment multiplier.
B. Country X will have to use its foreign reserves to eliminate any trade deficit.
C. The balance of payments will be affected with the outflow of profits to foreigners.
D. The rate of inflation will increase if country X tries to increase capacity. ",A
658,"What do Monetarists believe?

A. Economies are naturally unstable.
B. Policy makers should follow set rules targeting the money supply.
C. The aggregate supply curve has a slight slope.
D. Wage movements are 'sticky' downwards. ",B
659,"According to Keynesian theory, when will an increase in the money supply leave the level of output unchanged?

A. when there is a liquidity trap
B. when the money supply increase was not anticipated
C. when there is a floating exchange rate
D. when there is an immediate adjustment to expectations about future price levels",A
660,"A firm initially employs 50 workers, each working 40 hours a week, and produces a total output of 18 000 units. It then employs an additional 10 workers, again each working 40 hours, and total output rises to 19 200 units. Which effect does this rise in employment have on labour productivity per hour?

A. decreases it by 1 unit
B. decreases it by 40 units
C. increases it by 120 units
D. increases it by 1200 units",A
661,"What is a cause of seasonal unemployment?

A. a general decrease in the demand for goods and services
B. a lack of necessary skills in the workforce
C. a temporary change in the pattern of consumers' expenditure
D. an unwillingness of workers to move to other parts of the country where there is work",C
662,"Why is disaster relief money sent by non-governmental organisations to a South American country not classified as official foreign aid?

A. It does not finance a long-term investment programme.
B. It does not incur payment of interest.
C. It is not supplied by a government.
D. Only countries in Asia and Africa are classified as developing.",C
663,"Growth rates can be calculated using changes in the value of GDP from year to year. Why is real GDP considered to be a better indicator than nominal GDP for this calculation?

A. Real GDP adjusts for price changes by using a base year.
B. Real GDP ignores the effects of fluctuations in exchange rates on purchasing power.
C. Real GDP includes changes in the size of the population.
D. Real GDP measures GDP at factor cost rather than market prices. ",A
664,"Which statement does not support the view that extraction of mineral resources by a foreign company will make it more difficult for a developing economy to achieve future economic growth?

A. Exports of these mineral resources will result in an appreciation of the exchange rate.
B. Reduced tax rates aimed at encouraging the foreign company to invest in the country will increase inflation.
C. The foreign company will raise the skill levels of the local population through training schemes.
D. The foreign company will send profits back to its own country.  ",C
665,"When is a trade union less likely to gain a large pay rise for its workers?

A. It represents a large proportion of the workforce in the company.
B. It represents a workforce that has an elastic demand for its labour.
C. It represents a workforce that is increasing its labour productivity.
D. It represents a workforce that works for a highly profitable monopoly firm. ",B
666,"Which policy is likely to be the least effective means of producing a more equal distribution of income amongst households?

A. the imposition of minimum wage levels below the levels produced by the market
B. the introduction of progressive personal income taxes
C. the payment of benefits to low income households
D. the removal of sales taxes on food consumed by lower income households",A
667,"Governments often aim to reduce income inequalities. The diagram shows the effects of using taxation and benefits to try to achieve this aim.    What can be concluded from the diagram about the effects of taxes and benefits?

A. All income groups are better off except those originally earning more than $40 000 per year.
B. Benefits paid to the lower income groups are not a burden because they are not paid out of tax revenues.
C. The average final income of the top 20% exceeds the combined final incomes of the other groups.
D. The progressive taxation system still favours the top 20% over the bottom 20% of households. ",A
668,"The government wants to regulate the consumption of a demerit good in order to increase society's net welfare. In which situation will society's net welfare increase?

A. The fall in the marginal social benefit is greater than the fall in the marginal social cost.
B. The fall in the marginal external cost is greater than the fall in the marginal external benefit.
C. The fall in the total social benefit is greater than the fall in the total social cost.
D. The fall in the total social cost is greater than the fall in the total social benefit. ",D
669,"Which phrase best describes the market structure illustrated by the diagram if the firm produces at output Q1? 

A. a monopolistic firm in short-run equilibrium
B. a monopoly making supernormal profits
C. an oligopoly engaged in a price war
D. a non-profit maximising state monopoly",D
670,"The table shows the estimated costs for operating a new factory at the end of its first year. Assuming the short run is one year, what are the total variable costs?

A. $1m
B. $6m
C. $10m
D. $30m",B
671,"The diagram shows a decrease in demand for the product of a profit maximising monopolist.  Which area shows the change in the monopolist's supernormal profit as a consequence of this decrease in demand?

A. IHGK
B. JMLK
C. IHGLMJ
D. IHFEMJ",C
672,"The diagram shows short-run average cost curves (SRAC) and the long-run average cost curve (LRAC) for a firm.   Which statement is correct? 

A. When each of the three SRAC curves is U-shaped it shows the existence of economies of scale.
B. When the LRAC curve is upward-sloping beyond output OQ it shows the existence of diseconomies of scale.
C. When the minimum point of SRAC2 is below that of SRAC1 it shows the existence of the law of variable proportions.
D. When the minimum point of SRAC2 is below that of SRAC3 it shows the existence of economies of scale. ",B
673,"When the price of a good increases, which statement is correct according to the analysis that uses budget lines and indifference curves?

A. The income and substitution effects of the price increase will work in opposite directions in the case of a Giffen good.
B. The income effect of the price increase will result in reduced consumption for all goods.
C. The new equilibrium position will be where the new budget line meets the original indifference curve.
D. The price rise will be represented by a parallel shift inwards of the original budget line. ",A
674,"Which statement about a budget line in consumer behaviour theory is correct?

A. It illustrates consumer preference between two goods.
B. It illustrates combinations of two goods that consumers are able to purchase with a given income.
C. It illustrates the least cost combination of goods that yield the same level of utility.
D. It illustrates the income effect of a price change. ",B
675,"The table shows the levels of total and average utility at different levels of a consumer's weekly consumption of a product.  After which level of weekly consumption does the diminishing marginal utility first occur?

A. 3
B. 4
C. 5
D. 6",A
676,"The diagram shows a market in which there are negative externalities of production and positive externalities of consumption.   What is the marginal external cost at the free market equilibrium level of output?  

A. EG
B. EF
C. FG
D. HI",A
677,"What is most likely to improve the allocative efficiency of a market?

A. a higher market concentration ratio
B. collusion between firms in the market
C. entry of new firms into the market
D. mergers of firms in the market  ",C
678,"An economy is operating at full employment. Which policy is most likely to lead to an increase in real national output without an increase in the rate of inflation in the short term? 

A. additional spending on subsidies to increase export earnings
B. the central bank introduces quantitative easing
C. labour market reforms result in increased output per hour worked
D. the government reduces income tax rates ",C
679,"An economy adopts an expansionary monetary policy to boost employment. A result of this policy is that the consumer price index rises at an accelerating rate. Which curve could represent this? 

A. Kuznets curve
B. Laffer curve
C. Lorenz curve
D. Phillips curve",D
680,"A developing (low-income) economy is heavily dependent on the production of primary products.A multinational car manufacturing company invests in the country and builds a new factory. What will not be a long lasting benefit of the company's investment in the developing economy?

A. The company introduces new technology to the economy.
B. The company provides diversification of production for the economy.
C. The company provides skills training for local workers.
D. The company purchases non-renewable local construction materials for the factory.  ",D
681,"In an economy, the marginal propensity to consume is 0.2, the marginal propensity to save is 0.3, the marginal propensity to tax is 0.3 and the marginal propensity to import is 0.2 at all levels of income. What would be the most likely consequence of an increase in government expenditure of $1000m?

A. Import expenditure would increase by $200m.
B. Import expenditure would increase by $1000m.
C. Tax revenues would increase by $75m.
D. Tax revenues would increase by $375m. ",D
682,"Which statement does not correctly characterise the Monetarist view of the way in which the economy operates?

A. Inflation is always caused by increases in the money supply in the long run.
B. The long-run aggregate supply curve is vertical in shape.
C. The velocity of circulation of money is highly unstable.
D. Wages are flexible both upwards and downwards. ",C
683,"What will decrease if an open economy experiences a positive output gap?

A. general price level
B. import spending
C. spare capacity
D. wage rates",C
684,"What is the definition of liquidity?

A. the ability of the foreign exchange market to buy foreign currency
B. the support a central bank provides for commercial banks
C. the ease with which an asset can be converted into cash
D. the reaction of governments to a global financial crisis",C
685,"The graph shows the percentage unemployed in a country for the period 2017–2021.  What is the most likely cause of the change in unemployment?

A. a reduction in government expenditure
B. a reduction in interest rates
C. a reduction in investment by firms
D. a slowdown in growth in the global economy",B
686,"Which statement about unemployment is correct?

A. Cyclical unemployment is caused by the occupational immobility of labour.
B. Frictional unemployment is caused by a lack of information on jobs in the labour market.
C. Structural unemployment is caused by a deficiency in aggregate demand.
D. Voluntary unemployment is caused by variations in the demand for labour in the year.  ",B
687,"How can GDP at market prices be calculated if GDP at factor cost is known?

A. add taxes, add subsidies
B. add taxes, subtract subsidies
C. subtract taxes, add subsidies
D. subtract taxes, subtract subsidies ",B
688,"What would not be regarded as an example of a possible negative impact of rapid economic growth?

A. Greater production could result in greater atmospheric pollution.
B. A higher level of income could cause a higher balance of trade deficit.
C. Increased AD could cause domestic inflation to increase.
D. Increased GDP could generate greater tax receipts. ",D
689,"Too many flights in the airline industry cause unnecessary damage to the environment. Which measure is most likely to result in the socially optimal number of flights?

A. a complete ban on flights removing all private and external costs
B. greater deregulation of the global airline industry
C. publishing information to highlight the negative effects of flying on the environment
D. the payment of a subsidy per passenger equal to the difference between the private and social benefit ",C
690,"What indicates that nationalisation has taken place?

A. a firm buys supplies locally rather than from international sources
B. a firm moves from private ownership to state ownership
C. a firm restricts ownership of its shares to citizens of its own country
D. a firm switches sales to the domestic market from the international market  ",B
691,"Some workers in a low-paid job decide to work longer hours to increase their disposable income. However, this decision reduces state-provided benefits, leaving them worse off. What does this describe?

A. debt trap
B. liquidity trap
C. poverty trap
D. unemployment trap ",C
692,"Which change would make it easier for a cartel to operate effectively?

A. an increase in competition from closely related industries
B. an increase in the number of firms in the industry
C. an increase in the range of products made by cartel members
D. an increase in the stability of the market for its products ",D
693,"The diagram shows a firm producing at Q1 on short-run average cost SRAC1.   Which strategy will achieve the greatest reduction in average costs at this output?

A. increasing its fixed factors of production only
B. increasing its fixed and variable factors of production
C. reducing its fixed factors of production only
D. reducing its fixed and variable factors of production  ",B
694,"What explains why, in long-run equilibrium in monopolistic competition, firms make only normal profits?

A. consumer resistance
B. decreasing returns to scale
C. differentiated products
D. freedom of entry and exit  ",D
695,"In the diagram, YL and YM show two budget lines for a consumer of a product, X, when its price changes. IC1 and IC2 are two indifference curves, representing the consumer's preferences between product X and spending on other goods.   What is not a valid statement?

A. Product X must be a Giffen good, since the consumer spends more on other goods after the price change.
B. The consumer has greater satisfaction at E2 than at E1.
C. The prices of other goods are assumed to be held constant when drawing the budget lines.
D. The shift from YL to YM represents a fall in the price of product X.",A
696,"Which statement is correct?

A. A budget line shows the combinations of two goods which can be bought with a given income.
B. A budget line shows the combinations of two goods which a consumer wants to buy.
C. A budget line shows the difference between income and expenditure.
D. A budget line shows the maximum potential output of two goods with given resources.",A
697,"What is a correct statement of the equi-marginal utility rule?

A. The marginal utility of X must equal the marginal utility of Y.
B. The marginal utility of X divided by the price of X must equal the marginal utility of Y divided by the price of Y.
C. The marginal utility of X divided by the price of Y must equal the marginal utility of Y divided by the price of Y.
D. The price of X must equal the price of Y. ",B
698,"The Airports Commission in the UK recommended an expansion of airport X rather than airport Y. In considering the social costs and benefits of this decision, what would be taken into account when calculating the external cost?

A. the additional noise pollution suffered by residents local to airport X
B. the financial loss suffered by airlines operating at airport Y
C. the increase in profits of the firm operating airport X
D. the monetary cost of the construction to expand airport X ",A
699,"In an economy, no-one can be made better off without making someone else worse off. What can be deduced from this?

A. Individuals are the best judges of their own well-being.
B. Individuals can be relied upon to behave rationally.
C. The distribution of income is socially optimal.
D. The economy's resources are allocated efficiently. ",D
700,"Which change in economic circumstances is most likely to lead to a reduction in the rate of domestic inflation in an economy?

A. a depreciation in the currency
B. a reduction in the productivity of labour
C. a worldwide recession
D. an increase in direct taxes to finance increased welfare payments",C
701,"What would be likely to decrease inflation in an economy?

A. a decrease in consumer saving
B. a decrease in unemployment
C. an increase in labour productivity
D. an increase in taxes on imports",C
702,"Which statement about changing price levels is correct?

A. Anyone on a fixed income has rising real income during deflation.
B. Government revenue from indirect taxes falls during inflation.
C. Producers prefer deflation to inflation.
D. Savers prefer index-linked savings when there is deflation rather than inflation. ",A
703,"Trade in services is a component of the current account of the balance of payments. What is an example of a trade in services?

A. development aid for foreign countries
B. export revenue from primary commodities
C. income from foreign tourists
D. income from overseas investments",C
704,"What is a certain outcome on an aggregate demand and aggregate supply diagram of an increase in factor productivity?

A. downward shift of the aggregate demand curve
B. downward shift of the aggregate supply curve
C. an upward shift of the aggregate demand curve
D. an upward shift of the aggregate supply curve",B
705,"The price and volume indexes of a country's imports and exports are shown in the table, for year 2 [year 1 = 100].  What is the country's terms of trade index for year 2?

A. 90.9
B. 97.8
C. 110.0
D. 111.0",C
706,"A government removes the tariff on a product, as shown.   What will be the change in domestic production?

A. a reduction of WV
B. a reduction of XV
C. a reduction of XW
D. a reduction of ZY",A
707,"A government wishes to influence the price of a good. It introduces a maximum price, Pmax, and a minimum price, Pmin. The diagram shows these prices relative to the current market price P.   What can be concluded from the diagram? 

A. Both the maximum and the minimum price will be effective.
B. Only the maximum price will be effective.
C. Only the minimum price will be effective.
D. The market price will continue to operate.",B
708,"What does the incidence of an indirect tax on a product refer to?

A. the proportion of the tax paid by the consumer relative to the producer
B. the reduction in output as a result of the imposition of the tax
C. the revenue the tax generates for the government
D. the increase in the hidden economy as a result of tax evasion after the tax is imposed",A
709,"If an industry is currently state-owned and state-run, what does not represent a reason for it being privatised?

A. Decisions will no longer be taken with political considerations in mind.
B. The benefits of merit goods will be taken into account in decision-making.
C. Its owners would have more incentive to make it operate profitably.
D. There will be greater incentives for managers to introduce modern technology.",B
710,"In 2009, the Australian Government made a payment of $900 to those who earned less than $100 000 per year. How would this payment best be described?

A. neutral
B. progressive
C. proportional
D. regressive ",B
711,"The diagram shows two demand curves and two supply curves. The initial equilibrium is at H.  Which combinations of shifts in the demand and supply curves would result in a change in the equilibrium position from H to K?

A. an increase in demand and an increase in supply
B. an increase in demand and a decrease in supply
C. a decrease in demand and an increase in supply
D. a decrease in demand and a decrease in supply",A
712,"The market for a product is initially in equilibrium. Which combination of changes will cause the price of the product to rise and the quantity sold to fall?

A. a decrease in demand that is larger than a decrease in supply
B. a decrease in demand that is smaller than a decrease in supply
C. an increase in demand that is larger than an increase in supply
D. an increase in demand that is smaller than an increase in supply ",B
713,"The diagrams show the effect of a change in the market for good X on the market for good Y.  What can be concluded about the goods?

A. X and Y are complements.
B. X and Y are in joint supply.
C. X and Y are substitutes.
D. Y is a derived demand from X.",B
714,"What causes an inelastic market supply curve for an agricultural crop such as wheat?

A. a government decision to import crops at times of shortage
B. an efficient use of fertilisers causing crop production to rise
C. the storage of excess production for future sale
D. the very long time required to produce additional output  ",D
715,"The diagram shows the demand curve and supply curve for a product.  Which area represents producer surplus?

A. OWYZ minus OWY
B. OWYZ minus OYZ
C. OXYZ minus OYZ
D. OXYZ minus WXY",B
716,"Consumer surplus exists in the market for rice. What does this mean?

A. Consumers benefit from rice production more than producers.
B. Consumer demand for rice exceeds supply.
C. Some consumers would be willing to pay more than the market price for rice.
D. The production of rice exceeds the supply. ",C
717,"A government wishes to ensure adequate flood defences are provided in its coastal areas. Which action is most likely to be undertaken only by the government?

A. building the defences
B. designing the defences
C. financing the defences
D. maintaining the defences",C
718,"During a period of deflation an economy's aggregate monetary demand falls. Which function of money explains this fall?

A. a measure of value
B. a medium of exchange
C. a standard for deferred payment
D. a store of value ",D
719,"Which action would not raise the quality of the particular factor of production?

A. capital – operating a machine continuously at full capacity
B. enterprise – providing risk management advice
C. land – increasing the use of fertilisers
D. labour – making apprenticeships and training compulsory ",A
720,"Which type of economic policy is likely to be considered the most effective by a government that has greater income equality as its primary aim?

A. fiscal policy
B. international trade policy
C. monetary policy
D. supply side policy",A
721,"Which government policy is most likely to cause expenditure switching that will benefit a country's current account?

A. increasing import quotas
B. increasing income tax allowances
C. increasing spending on unemployment benefits
D. increasing subsidies to domestic firms ",D
722,"The diagram shows the effect of introducing a tariff on a product.   What determines the producer surplus that the tariff generates for domestic producers?

A. the price elasticities of domestic supply and demand
B. the tariff rate and the price elasticities of both domestic demand and supply
C. the tariff rate and the price elasticity of domestic demand
D. the tariff rate and the price elasticity of domestic supply",D
723,"Following a 10% depreciation in the $ value of the £ sterling, a UK exporter leaves the $ price of the goods it sells in the US market unchanged. Other things being equal, what will be the effect on the revenue measured in sterling obtained by the manufacturer from its sales in the US?

A. It will increase.
B. It will decrease.
C. It will be unchanged.
D. It will depend on the elasticity of demand for the manufacturer's good in the US. ",A
724,"From the same quantity of factors of production, country X and country Y each produce the following units of output.  Which statement is correct?

A. Country X has absolute advantage in the production of both goods.
B. Country X has comparative advantage in the production of sugar.
C. Country Y has absolute advantage in the production of textiles.
D. Country Y has comparative advantage in the production of sugar. ",D
725,"What is likely to happen if there is a fall in the international value of a country's currency?

A. a rise in the foreign currency price of its exports
B. a rise in the volume of its exports
C. a fall in the domestic currency price of its imports
D. a fall in the domestic price level ",B
726,"In which situation will a country's terms of trade improve?

A. Its total value of imports rises less than its total value of exports.
B. Its volume of imports rises less than its volume of exports.
C. The prices of its imports rise by less than the prices of its exports.
D. The value of its external payments rises by less than the value of its external receipts.",C
727,"Which effect of inflation is described as redistributive?

A. the improvement in the terms of trade
B. the deterioration in the balance of trade
C. the inconvenience of frequently changing prices
D. the loss of purchasing power for people on fixed incomes  ",D
728,"An increase in what will shift the aggregate demand curve in an economy to the right?

A. budget deficit
B. consumer savings
C. general price level
D. interest rate",A
729,"What defines a progressive tax?

A. Low-income earners pay the same proportion of income in taxes as high-income earners.
B. Low-income earners pay a lower proportion of income in taxes than high-income earners.
C. Low-income earners pay less in taxes than high-income earners.
D. Low-income earners pay more in taxes than high-income earners. ",B
730,"What best illustrates the process of privatisation?

A. a single private shareholder acquires complete control of an organisation
B. the purchase of government bonds by private sector commercial organisations
C. the purchase of shares in a private company
D. the transfer of public sector assets to the private sector",D
731,"What is a transfer payment?

A. the advertising expenditure of a firm
B. the allowance given by a parent to their child while at school
C. the rent paid to a land owner by a tenant farmer
D. the wage paid to a worker in the government service",B
732,"The diagram shows demand and supply curves for a good. S1 is the original supply curve, S2 is supply after a tax is added.   How much tax revenue is earned by the government?

A. $40
B. $160
C. $200
D. $320",C
733,"A government fixes a maximum price for a product in order to increase its consumption. What would be the likely outcome of such a policy?

A. Consumption will fall if the maximum price is above the current equilibrium price.
B. Consumption will rise if the maximum price is below the current equilibrium price.
C. Production will fall if the maximum price is above the current equilibrium price.
D. Production will fall if the maximum price is below the current equilibrium price.",D
734,"The table shows Lee's and Yim's price elasticity of demand for restaurant meals and cinema tickets.  There is a rise in the price of both products. What can definitely be concluded after these price changes?

A. Restaurant owners will receive more income.
B. Lee will spend more money on both products.
C. Yim will spend more money on both products.
D. Cinema owners will receive less income. ",C
735,"What is likely to affect the position of the demand curve for tickets to pop concerts but not the position of the supply curve?

A. a change in incomes of potential customers
B. a change in price of tickets to the concerts
C. a change in rents charged by venue owners
D. a change in seating capacity of concert venues",A
736,"A product has a high price elasticity of supply. What might explain this?

A. It has a high opportunity cost.
B. It has a non-perishable nature.
C. It is classed as an inferior good.
D. It is classed as a luxury good. ",B
737,"What is an example of a product in joint demand with a smartphone?

A. an alternative brand of smartphone
B. a personal computer (PC)
C. headphones that can be used with a smartphone
D. the metals used in the manufacture of a smartphone  ",C
738,"A country has health care provided by the free market. This is replaced by the government provision of Sg free health care.  What is the change in consumer surplus?

A. from 1 to (1 + 2)
B. from 1 to (1 + 2 + 3 + 4)
C. from (1 + 2) to (1 + 2 + 3)
D. from (1 + 2) to (2 + 3 + 4 + 5) ",B
739,"The diagram shows two linear supply curves labelled S1 and S2, where S2 is a 45° line.  Which statement about the price elasticity of supply is correct?

A. The price elasticity of supply is different at every point along both S1 and S2.
B. The price elasticity of supply of S1 is elastic and S2 is unit elastic.
C. The price elasticity of supply of S1 is inelastic and S2 is unit elastic.
D. The price elasticity of supply is unit elastic at every point along both S1 and S2. ",D
740,"The diagram shows the market demand for and supply of a good.  Which statement is not valid?

A. At price OP1, UV represents the market surplus.
B. At price OP3, P3X represents the quantity that consumers are able and willing to buy.
C. If price were to fall from OP1 to OP3, the extra quantity demanded would be equal to the extra quantity supplied.
D. Price OP2 is the market equilibrium price.",C
741,"The price elasticity of the supply of yoghurt is +1.5. If the demand for yoghurt rises and price rises by 20%, how much more will be supplied to the market?

A. 0.3%
B. 3.0%
C. 13.3%
D. 30%",D
742,"The diagram shows an economy's production possibility curve (PPC). The economy has moved from X to Y.   What can be deduced from the diagram?

A. Current living standards have fallen.
B. The economy has become more efficient.
C. There has been a rise in unemployment.
D. There has been an opportunity cost of OR consumer goods.  ",B
743,"What is a normative statement?

A. A firm receiving a government subsidy will increase the supply of a good.
B. Negative externalities are the most serious market failure.
C. A rise in incomes will lead to a rise in demand for normal goods.
D. A rise in the additional rate of income tax will decrease the incentive to work.",B
744,"A key concept in classifying goods is whether a good is rival or non-rival. Which good is rival in consumption?

A. an ice cream
B. street lighting
C. a radio broadcast
D. the internet ",A
745,"In a planned economy, what will determine the allocation of scarce resources?

A. a mixture of private and central decision making
B. the decisions of central government
C. the forces of demand and supply
D. the revenue generated from direct and indirect taxes",B
746,"What is a function of money?

A. to act as a medium of exchange
B. to be divisible into small units
C. to enable bartering to take place
D. to maintain its value when inflation is high",A
747,"Raising interest rates is proposed to reduce a balance of payments deficit. Which justification for this action is not valid?

A. It will attract more foreign currency inflows.
B. It will encourage exporters to find new foreign markets.
C. It will lower the level of imported consumer goods.
D. It will put downward pressure on the exchange rate. ",D
748,"What does the Marshall–Lerner condition state must be present for a depreciation of a currency to cause an improvement in the current account balance?

A. The price elasticity of demand for exports and the price elasticity of demand for imports are both greater than one.
B. The price elasticity of demand for exports and the price elasticity of demand for imports are both less than one.
C. The sum of the price elasticity of demand for exports and the price elasticity of demand for imports is greater than one.
D. The sum of the price elasticity of demand for exports and the price elasticity of demand for imports is less than one. ",C
749,"What is likely to explain an increase in the deficit on a country's current account of the balance of payments?

A. an increase in government foreign aid to countries abroad
B. an increase in government tax rates
C. an increase in other countries' exchange rates
D. an increase in the proportion of income saved by the country's residents",A
750,"What is likely to cause an increase in the exchange rate of an economy?

A. an increase in demand-pull inflation
B. an increase in national income
C. a decision of the central bank to raise money supply
D. a discovery of a natural resource that replaces imports",D
751,"What is a measure of a country's terms of trade index?

A. 
B. 
C. 
D. total value of exports – total value of imports",A
752,"The table shows information from the current account of the balance of payments for Canada and Singapore in 2019.  What can be concluded from the table?

A. Canada exported more goods than Singapore.
B. Canada and Singapore had current account deficits.
C. Singapore had a surplus on its trade in goods and services.
D. Singapore imported cheaper goods than Canada. ",C
753,"The diagram shows the demand and supply curves for solar panels in the US. In 2018, the US put a tariff on imported solar panels.   What is the quantity of imported solar panels after the imposition of the tariff?

A. MN
B. MX
C. NP
D. XP",C
754,"Assume the Chinese monetary authorities are committed to maintaining the exchange rate of China's currency, the Yuan, against the US$ between P1 and P2 on the diagram.   What might they do if supply changed from S1 to S2?

A. introduce controls on Chinese investment overseas
B. lower interest rates
C. remove tariffs on imports from USA
D. sell Yuan on the foreign exchange markets ",A
755,"A government announces its intention to reduce the level of transfer payments in the economy. Which statement made by the government is consistent with this intention?

A. There need to be more incentives for unemployed workers to seek jobs.
B. State pensions need to be increased.
C. The level of income tax needs to be raised.
D. The level of government expenditure needs to be increased. ",A
756,"The government has decided to guarantee manufacturers a price OPa for a product and to provide a subsidy to ensure that the market clears. In the diagram, QePe was the original equilibrium before the policy changes.   Which area represents the total cost to the government of this subsidy?

A. PaUZPb 
B. PaWYPb 
C. PeXYPb 
D. VWYZ",B
757,"The diagram shows the percentages of those on low pay and those on extremely low pay in a country from 1976 to 2012. A national minimum wage was introduced in 1999.  Which conclusion is consistent with the diagram?

A. The minimum wage helped the low paid more than the extremely low paid.
B. The minimum wage reduced the numbers of both low paid and extremely low paid.
C. The minimum wage reversed the trend in low pay of the previous 20 years.
D. The minimum wage was responsible for the largest reduction of low pay in the period. ",C
